gen	nevals	avg     	std    	min  	max
0  	200   	-320.209	485.081	-1000	500
1  	200   	-36.463 	250.49 	-1000	500
2  	200   	35.1325 	82.5091	9.7  	500
3  	200   	46.117  	100.251	9.7  	500
4  	200   	54.8105 	105.783	9.7  	500
5  	200   	63.818  	111.101	9.7  	500
6  	200   	77.975  	118.718	9.7  	500
7  	200   	89.7515 	128.238	10.1 	500
8  	200   	112.795 	143.06 	10.1 	500
9  	200   	138.048 	155.583	10.1 	500
10 	200   	166.798 	170.679	10.1 	500
11 	200   	177.907 	174.107	10.1 	500
12 	200   	195.553 	179.482	10.1 	500
13 	200   	237.619 	187.378	10.1 	500
14 	200   	270.012 	191.611	10.1 	500
15 	200   	287.204 	191.157	10.1 	500
16 	200   	310.389 	191.734	10.1 	500
17 	200   	330.398 	189.023	10.1 	500
18 	200   	352.795 	186.538	10.1 	500
19 	200   	371.213 	178.731	10.1 	500
20 	200   	381.666 	174.418	10.1 	500
21 	200   	397.017 	165.715	10.6 	500
22 	200   	402.079 	164.194	10.6 	500
23 	200   	414.715 	157.301	10.6 	500
24 	200   	426.421 	148.342	10.9 	500
25 	200   	436.859 	140.023	10.9 	500
26 	200   	453.586 	120.223	13.9 	500
27 	200   	462.779 	112.116	13.9 	500
28 	200   	465.287 	107.239	13.9 	500
29 	200   	473.796 	92.0857	13.9 	500
30 	200   	477.012 	87.0328	26.3 	500
31 	200   	478.979 	82.9929	26.3 	500
32 	200   	482.532 	77.1495	26.3 	500
33 	200   	485.544 	70.1281	26.3 	500
34 	200   	488.169 	63.2235	26.3 	500
35 	200   	490.993 	53.7829	45.7 	500
36 	200   	492.686 	48.4525	45.7 	500
37 	200   	493.936 	45.2975	45.7 	500
38 	200   	494.563 	39.59  	167.5	500
39 	200   	494.646 	39.5839	167.5	500
40 	200   	495.092 	39.1377	167.5	500
41 	200   	495.092 	39.1377	167.5	500
42 	200   	496.736 	31.7013	167.5	500
43 	200   	496.736 	31.7013	167.5	500
44 	200   	498.481 	21.4281	196.2	500
45 	200   	500     	0      	500  	500
46 	200   	500     	0      	500  	500
47 	200   	500     	0      	500  	500
48 	200   	500     	0      	500  	500
49 	200   	500     	0      	500  	500
50 	200   	500     	0      	500  	500
