gen	nevals	avg     	std    	min  	max  
0  	200   	-299.73 	469.67 	-1000	169.7
1  	200   	-34.1375	222.65 	-1000	169.7
2  	200   	22.9205 	42.3029	9.5  	500  
3  	200   	27.841  	47.352 	9.5  	500  
4  	200   	40.517  	69.3256	9.5  	500  
5  	200   	46.447  	70.6492	9.7  	500  
6  	200   	54.35   	70.9053	9.7  	500  
7  	200   	62.351  	78.2634	9.7  	500  
8  	200   	69.051  	84.6113	9.7  	500  
9  	200   	84.6545 	101.581	9.7  	500  
10 	200   	107.102 	124.735	9.7  	500  
11 	200   	132.491 	145.729	9.7  	500  
12 	200   	143.855 	150.343	9.7  	500  
13 	200   	163.381 	160.776	9.7  	500  
14 	200   	189.223 	170.312	9.7  	500  
15 	200   	213.152 	175.774	9.7  	500  
16 	200   	229.933 	179.245	9.7  	500  
17 	200   	258.368 	183.115	9.7  	500  
18 	200   	286.889 	183.899	9.7  	500  
19 	200   	318.53  	180.793	9.7  	500  
20 	200   	341.947 	177.27 	9.7  	500  
21 	200   	364.237 	171.238	9.7  	500  
22 	200   	382.647 	163.926	9.7  	500  
23 	200   	388.902 	161.892	9.7  	500  
24 	200   	399.266 	157.824	9.7  	500  
25 	200   	418.135 	142.798	46.3 	500  
26 	200   	433.488 	130.379	58.7 	500  
27 	200   	444.913 	119.163	58.7 	500  
28 	200   	455.091 	110.113	58.7 	500  
29 	200   	456.943 	108.013	58.7 	500  
30 	200   	464.883 	99.8255	58.7 	500  
31 	200   	474.197 	84.532 	114.9	500  
32 	200   	477.851 	79.847 	114.9	500  
33 	200   	481.271 	73.1062	114.9	500  
34 	200   	487.276 	62.0814	114.9	500  
35 	200   	490.428 	54.1374	114.9	500  
36 	200   	493.237 	42.6106	145.8	500  
37 	200   	493.237 	42.6106	145.8	500  
38 	200   	493.237 	42.6106	145.8	500  
39 	200   	493.237 	42.6106	145.8	500  
40 	200   	493.982 	41.401 	145.8	500  
41 	200   	497.087 	25.4049	183.6	500  
42 	200   	497.299 	25.2517	183.6	500  
43 	200   	497.639 	24.8231	183.6	500  
44 	200   	497.639 	24.8231	183.6	500  
45 	200   	497.639 	24.8231	183.6	500  
46 	200   	497.639 	24.8231	183.6	500  
47 	200   	497.639 	24.8231	183.6	500  
48 	200   	497.639 	24.8231	183.6	500  
49 	200   	497.639 	24.8231	183.6	500  
50 	200   	497.639 	24.8231	183.6	500  
