gen	nevals	avg     	std    	min  	max  
0  	200   	-328.522	482.805	-1000	324.7
1  	200   	-54.225 	273.448	-1000	500  
2  	200   	11.4965 	134.323	-1000	500  
3  	200   	41.3755 	80.3276	9.2  	500  
4  	200   	49.1675 	82.4135	9.2  	500  
5  	200   	61.071  	95.1496	9.6  	500  
6  	200   	73.6995 	104.36 	9.6  	500  
7  	200   	90.9575 	120.934	9.6  	500  
8  	200   	101.419 	129.748	9.6  	500  
9  	200   	112.977 	134.752	9.6  	500  
10 	200   	126.225 	142.853	9.6  	500  
11 	200   	142.269 	152.341	9.6  	500  
12 	200   	172.67  	161.284	9.6  	500  
13 	200   	185.554 	163.942	10   	500  
14 	200   	210.736 	169.147	10   	500  
15 	200   	233.727 	176.122	11.2 	500  
16 	200   	264.185 	174.242	12.6 	500  
17 	200   	287.134 	172.565	19.7 	500  
18 	200   	321.702 	168.393	19.7 	500  
19 	200   	349.944 	163.346	19.7 	500  
20 	200   	373.006 	156.946	31.8 	500  
21 	200   	393.416 	148.925	31.8 	500  
22 	200   	405.455 	143.371	31.8 	500  
23 	200   	415.763 	136.246	31.8 	500  
24 	200   	428.552 	127.483	31.8 	500  
25 	200   	438.523 	121.949	31.8 	500  
26 	200   	451.804 	110.467	31.8 	500  
27 	200   	462.386 	95.8391	43.4 	500  
28 	200   	472.829 	81.8146	43.4 	500  
29 	200   	477.462 	75.2707	43.4 	500  
30 	200   	478.437 	74.5963	43.4 	500  
31 	200   	481.261 	71.2889	43.4 	500  
32 	200   	481.506 	71.2687	43.4 	500  
33 	200   	484.177 	67.4402	43.4 	500  
34 	200   	485.992 	63.2783	43.4 	500  
35 	200   	486.68  	63.2774	43.4 	500  
36 	200   	487.46  	59.9641	43.4 	500  
37 	200   	489.131 	56.2228	43.4 	500  
38 	200   	490.712 	51.8938	43.4 	500  
39 	200   	496.071 	26.7052	203.7	500  
40 	200   	496.071 	26.7052	203.7	500  
41 	200   	496.209 	26.6543	203.7	500  
42 	200   	496.209 	26.6543	203.7	500  
43 	200   	496.209 	26.6543	203.7	500  
44 	200   	498.728 	10.8673	364.5	500  
45 	200   	498.866 	10.7074	364.5	500  
46 	200   	499.543 	4.89132	436.2	500  
47 	200   	499.543 	4.89132	436.2	500  
48 	200   	499.543 	4.89132	436.2	500  
49 	200   	499.681 	4.50005	436.2	500  
50 	200   	499.681 	4.50005	436.2	500  
