gen	nevals	avg     	std    	min  	max
0  	200   	-343.784	487.85 	-1000	370
1  	200   	-65.3195	288.937	-1000	500
2  	200   	16.048  	118.276	-1000	500
3  	200   	32.217  	62.365 	9.3  	500
4  	200   	37.737  	63.9631	9.3  	500
5  	200   	44.2705 	72.0265	10.4 	500
6  	200   	52.4535 	79.2493	10.4 	500
7  	200   	59.905  	79.4785	10.5 	500
8  	200   	69.9525 	85.8096	10.5 	500
9  	200   	77.746  	90.4079	10.5 	500
10 	200   	91.9405 	103.258	11   	500
11 	200   	105.743 	115.642	11   	500
12 	200   	123.247 	128.855	11   	500
13 	200   	144     	145.36 	11   	500
14 	200   	162.108 	156.935	11   	500
15 	200   	184.033 	164.651	11   	500
16 	200   	191.179 	166.063	11.1 	500
17 	200   	199.584 	168.713	11.1 	500
18 	200   	213.485 	171.54 	13.9 	500
19 	200   	223.034 	173.46 	13.9 	500
20 	200   	235.758 	176.879	13.9 	500
21 	200   	259.536 	182.313	13.9 	500
22 	200   	282.584 	183.193	13.9 	500
23 	200   	299.124 	182.321	14.8 	500
24 	200   	312.677 	180.848	14.8 	500
25 	200   	327.117 	178.307	14.8 	500
26 	200   	341.746 	173.944	14.8 	500
27 	200   	365.851 	169.524	40.9 	500
28 	200   	372.342 	168.442	40.9 	500
29 	200   	387.414 	160.769	49.1 	500
30 	200   	398.675 	155.655	49.1 	500
31 	200   	408.867 	149.227	49.1 	500
32 	200   	420.522 	141.752	54.1 	500
33 	200   	430.97  	135.061	54.1 	500
34 	200   	443.027 	123.949	54.1 	500
35 	200   	450.163 	115.537	54.1 	500
36 	200   	453.504 	111.312	54.1 	500
37 	200   	460.521 	103.026	54.1 	500
38 	200   	464.512 	98.374 	54.5 	500
39 	200   	468.851 	90.1845	61.6 	500
40 	200   	471     	88.5337	61.6 	500
41 	200   	473.526 	83.6367	74.4 	500
42 	200   	476.619 	79.4141	74.4 	500
43 	200   	480.759 	73.7105	74.4 	500
44 	200   	481.31  	73.0967	74.4 	500
45 	200   	481.697 	72.9901	74.4 	500
46 	200   	483.095 	70.6109	74.4 	500
47 	200   	485.034 	67.331 	74.4 	500
48 	200   	485.034 	67.331 	74.4 	500
49 	200   	488.161 	60.0924	74.4 	500
50 	200   	488.161 	60.0924	74.4 	500
