gen	nevals	avg     	std    	min  	max  
0  	200   	-92.9935	310.914	-1000	101.8
1  	200   	12.1685 	75.2922	-1000	233.3
2  	200   	18.326  	23.1232	9.3  	233.3
3  	200   	21.658  	30.3758	9.3  	285.5
4  	200   	27.6135 	37.8448	9.3  	285.5
5  	200   	32.7    	42.7475	9.3  	285.5
6  	200   	34.183  	42.6153	9.3  	285.5
7  	200   	37.5485 	45.3831	9.5  	285.5
8  	200   	43.1455 	51.6617	9.9  	314.4
9  	200   	49.0495 	54.1853	9.9  	314.4
10 	200   	52.5715 	55.2823	9.9  	314.4
11 	200   	54.974  	55.4823	9.9  	314.4
12 	200   	58.7975 	55.7767	9.9  	314.4
13 	200   	62.9165 	57.4016	9.9  	314.4
14 	200   	68.1235 	59.3051	9.9  	314.4
15 	200   	71.517  	59.5759	9.9  	314.4
16 	200   	80.388  	72.2389	9.9  	459.5
17 	200   	85.104  	72.3288	9.9  	459.5
18 	200   	90.642  	75.6151	9.9  	459.5
19 	200   	96.6865 	79.1984	9.9  	459.5
20 	200   	100.217 	80.8513	9.9  	459.5
21 	200   	107.084 	88.281 	9.9  	459.5
22 	200   	112.77  	91.0718	9.9  	459.5
23 	200   	118.48  	94.8986	9.9  	459.5
24 	200   	122.492 	96.1195	9.9  	459.5
25 	200   	124.594 	95.8932	9.9  	459.5
26 	200   	128.263 	96.0171	9.9  	459.5
27 	200   	132.112 	98.6393	9.9  	459.5
28 	200   	134.456 	97.5655	9.9  	459.5
29 	200   	137.145 	97.6006	9.9  	459.5
30 	200   	141.799 	98.2104	9.9  	459.5
31 	200   	145.299 	99.6591	9.9  	459.5
32 	200   	147.26  	98.8011	9.9  	459.5
33 	200   	153.648 	99.525 	9.9  	459.5
34 	200   	156.8   	101.716	9.9  	459.5
35 	200   	158.843 	101.143	9.9  	459.5
36 	200   	160.847 	101.361	9.9  	459.5
37 	200   	164.78  	101.695	9.9  	459.5
38 	200   	169.894 	104.073	9.9  	459.5
39 	200   	172.646 	102.817	9.9  	459.5
40 	200   	176.85  	103.63 	38.5 	459.5
41 	200   	179.157 	103.384	38.5 	459.5
42 	200   	182.927 	103.712	38.5 	459.5
43 	200   	185.88  	104.549	38.5 	459.5
44 	200   	188.151 	104.181	38.5 	459.5
45 	200   	192.096 	106.166	38.5 	459.5
46 	200   	194.69  	106.888	38.5 	489  
47 	200   	198.859 	108.791	38.5 	489  
48 	200   	203.412 	110.492	38.5 	489  
49 	200   	207.415 	111.417	38.5 	489  
50 	200   	211.109 	112.09 	38.9 	489  
51 	200   	214.493 	111.143	38.9 	489  
52 	200   	216.541 	111.018	38.9 	489  
53 	200   	218.957 	110.045	38.9 	489  
54 	200   	220.535 	109.372	38.9 	489  
55 	200   	222.762 	108.774	38.9 	489  
56 	200   	225.111 	107.814	38.9 	489  
57 	200   	230.023 	108.685	38.9 	489  
58 	200   	232.895 	108.429	38.9 	489  
59 	200   	235.959 	109.402	38.9 	489  
60 	200   	238.298 	108.012	38.9 	489  
61 	200   	239.409 	107.381	38.9 	489  
62 	200   	241.782 	108.083	38.9 	489  
63 	200   	245.291 	108.214	38.9 	489  
64 	200   	247.645 	108.396	38.9 	489  
65 	200   	250.75  	107.221	38.9 	489  
66 	200   	252.438 	106.506	38.9 	489  
67 	200   	255.53  	106.996	38.9 	489  
68 	200   	259.805 	107.187	38.9 	489  
69 	200   	261.632 	107.014	38.9 	489  
70 	200   	263.439 	107.078	38.9 	489  
71 	200   	266.23  	106.729	38.9 	489  
72 	200   	269.743 	107.145	38.9 	489  
73 	200   	272.058 	106.316	38.9 	489  
74 	200   	274.858 	106.435	38.9 	489.2
75 	200   	276.532 	105.111	38.9 	489.2
76 	200   	280.26  	105.099	38.9 	489.2
77 	200   	281.204 	105.054	38.9 	489.2
78 	200   	283.552 	105.097	38.9 	500  
79 	200   	286.658 	105.633	38.9 	500  
80 	200   	288.315 	105.664	38.9 	500  
81 	200   	292.566 	107.631	38.9 	500  
82 	200   	294.147 	108.122	38.9 	500  
83 	200   	296.578 	109.07 	38.9 	500  
84 	200   	298.934 	108.675	38.9 	500  
85 	200   	301.397 	108.805	38.9 	500  
86 	200   	304.435 	108.593	38.9 	500  
87 	200   	306.486 	109.036	38.9 	500  
88 	200   	308.591 	109.451	38.9 	500  
89 	200   	311.907 	109.567	38.9 	500  
90 	200   	314.436 	109.474	38.9 	500  
91 	200   	314.816 	109.086	38.9 	500  
92 	200   	316.866 	107.652	38.9 	500  
93 	200   	318.11  	106.74 	38.9 	500  
94 	200   	320.361 	106.902	38.9 	500  
95 	200   	322.196 	107.388	38.9 	500  
96 	200   	325.976 	108.5  	38.9 	500  
97 	200   	327.149 	108.501	38.9 	500  
98 	200   	327.968 	108.432	38.9 	500  
99 	200   	329.204 	108.436	38.9 	500  
100	200   	330.586 	109.017	38.9 	500  
