gen	nevals	avg     	std    	min  	max  
0  	200   	-68.8105	274.732	-1000	85.3 
1  	200   	18.441  	29.211 	9.7  	239  
2  	200   	22.168  	31.5656	9.7  	239  
3  	200   	24.4725 	32.2967	9.7  	239  
4  	200   	27.534  	32.5846	9.7  	239  
5  	200   	32.4295 	37.0336	9.7  	239  
6  	200   	37.6795 	41.8357	9.7  	239  
7  	200   	40.7215 	42.6145	10.1 	239  
8  	200   	44.34   	44.0392	10.1 	239  
9  	200   	48.7875 	45.0707	10.1 	239  
10 	200   	53.015  	49.5498	10.1 	353.6
11 	200   	60.0595 	53.5492	10.1 	353.6
12 	200   	62.814  	53.43  	10.1 	353.6
13 	200   	67.7295 	54.5043	10.1 	353.6
14 	200   	75.729  	58.3414	10.1 	353.6
15 	200   	82.8875 	64.3041	10.1 	353.6
16 	200   	89.1495 	66.2183	10.1 	353.6
17 	200   	95.1645 	67.1806	10.1 	353.6
18 	200   	99.978  	68.9113	10.1 	353.6
19 	200   	105.622 	69.2449	10.1 	353.6
20 	200   	111.288 	69.6367	10.1 	353.6
21 	200   	117.106 	69.9859	22.1 	353.6
22 	200   	122.576 	70.5764	22.1 	353.6
23 	200   	126.618 	74.2174	22.1 	483.4
24 	200   	130.989 	73.5895	22.1 	483.4
25 	200   	138.216 	76.2467	22.1 	483.4
26 	200   	143.213 	74.6325	22.1 	483.4
27 	200   	150.999 	76.2943	22.1 	483.4
28 	200   	154.708 	75.6189	22.7 	483.4
29 	200   	158.446 	76.0926	22.7 	483.4
30 	200   	163.862 	77.9557	50.6 	483.4
31 	200   	166.876 	77.075 	50.6 	483.4
32 	200   	171.834 	78.7406	50.6 	483.4
33 	200   	176.085 	78.2506	50.6 	483.4
34 	200   	179.326 	77.159 	50.6 	483.4
35 	200   	183.599 	77.5668	50.6 	483.4
36 	200   	187.347 	76.4283	50.6 	483.4
37 	200   	191.518 	76.8487	50.6 	483.4
38 	200   	195.407 	76.521 	50.6 	483.4
39 	200   	198.624 	75.1189	50.6 	483.4
40 	200   	201.562 	74.4241	50.6 	483.4
41 	200   	205.369 	73.4662	50.6 	483.4
42 	200   	209.561 	74.031 	50.6 	483.4
43 	200   	212.932 	72.026 	50.6 	483.4
44 	200   	215.482 	71.354 	50.6 	483.4
45 	200   	218.285 	71.317 	50.6 	483.4
46 	200   	221.721 	71.9296	50.6 	483.4
47 	200   	223.874 	71.1971	50.6 	483.4
48 	200   	226.379 	72.0716	50.6 	483.4
49 	200   	228.916 	71.0603	50.6 	483.4
50 	200   	231.313 	69.6861	52.8 	483.4
51 	200   	233.675 	67.7864	71.6 	483.4
52 	200   	235.604 	67.3756	71.6 	483.4
53 	200   	238.052 	66.8012	71.6 	483.4
54 	200   	240.023 	66.6917	78.9 	483.4
55 	200   	243.396 	66.1511	78.9 	483.4
56 	200   	246.904 	65.6053	121.7	483.4
57 	200   	248.627 	66.0097	121.7	483.4
58 	200   	250.169 	65.6259	121.7	483.4
59 	200   	251.248 	64.9698	121.7	483.4
60 	200   	252.093 	64.6445	121.7	483.4
61 	200   	253.514 	63.6416	121.7	483.4
62 	200   	255.126 	62.9162	121.7	483.4
63 	200   	257.152 	63.4382	121.7	483.4
64 	200   	257.656 	63.213 	121.7	483.4
65 	200   	258.911 	62.404 	121.7	483.4
66 	200   	259.511 	62.1926	121.7	483.4
67 	200   	260.048 	62.0313	121.7	483.4
68 	200   	261.589 	63.0256	121.7	489.3
69 	200   	262.31  	62.6908	121.7	489.3
70 	200   	263.123 	62.2798	121.7	489.3
71 	200   	263.698 	61.7869	126.1	489.3
72 	200   	263.838 	61.8151	126.1	489.3
73 	200   	264.576 	61.8963	126.1	489.3
74 	200   	267.065 	63.5549	126.1	489.3
75 	200   	268.27  	64.5534	126.1	489.3
76 	200   	269.65  	64.6404	148.1	489.3
77 	200   	272.026 	67.6669	148.1	500  
78 	200   	272.908 	67.8869	148.1	500  
79 	200   	274.285 	68.9454	148.1	500  
80 	200   	276.186 	71.7102	148.1	500  
81 	200   	277.208 	71.7618	148.1	500  
82 	200   	278.526 	72.9977	148.1	500  
83 	200   	279.893 	73.86  	148.1	500  
84 	200   	281.317 	74.3692	148.1	500  
85 	200   	282.234 	74.3783	148.1	500  
86 	200   	283.861 	74.4298	148.1	500  
87 	200   	285.409 	76.1244	148.1	500  
88 	200   	285.791 	76.1116	148.1	500  
89 	200   	286.359 	76.0917	148.1	500  
90 	200   	287.738 	77.5618	148.1	500  
91 	200   	289.076 	78.2897	148.1	500  
92 	200   	289.797 	78.1637	148.1	500  
93 	200   	290.646 	78.5335	148.1	500  
94 	200   	290.939 	78.5691	148.1	500  
95 	200   	291.811 	78.5059	148.1	500  
96 	200   	292.844 	78.6607	148.1	500  
97 	200   	294.297 	78.8508	148.1	500  
98 	200   	294.549 	78.7656	148.1	500  
99 	200   	296.919 	80.1401	148.1	500  
100	200   	299.295 	80.6293	148.1	500  
