gen	nevals	avg     	std    	min  	max  
0  	200   	-108.139	329.545	-1000	101.3
1  	200   	-3.803  	143.385	-1000	141.4
2  	200   	21.8195 	24.2746	9.5  	141.4
3  	200   	26.1125 	27.3136	9.5  	158.5
4  	200   	31.16   	33.9256	9.5  	244.9
5  	200   	36.587  	38.3787	9.5  	244.9
6  	200   	42.3295 	41.6382	9.7  	244.9
7  	200   	46.975  	42.8879	9.7  	244.9
8  	200   	51.7465 	44.8262	9.7  	244.9
9  	200   	57.7505 	50.2439	9.7  	257.2
10 	200   	62.391  	51.6713	9.7  	257.2
11 	200   	68.056  	54.3884	9.7  	290.3
12 	200   	72.46   	56.0772	9.7  	290.3
13 	200   	77.508  	57.0946	9.7  	290.3
14 	200   	83.378  	60.3424	9.7  	311.6
15 	200   	88.749  	60.6751	9.7  	311.6
16 	200   	93.192  	61.992 	10   	311.6
17 	200   	96.969  	62.4936	10   	311.6
18 	200   	102.948 	62.7593	10.5 	311.6
19 	200   	108.121 	61.5974	24.1 	311.6
20 	200   	113.72  	61.421 	24.1 	311.6
21 	200   	118.259 	61.3951	24.1 	311.6
22 	200   	123.965 	61.361 	27.4 	311.6
23 	200   	130.276 	62.1341	29.1 	361.3
24 	200   	133.692 	62.3524	29.1 	361.3
25 	200   	136.761 	62.1562	29.1 	361.3
26 	200   	139.66  	61.7738	29.1 	361.3
27 	200   	143.553 	61.2028	29.1 	361.3
28 	200   	146.799 	63.3629	29.1 	362.4
29 	200   	149.39  	63.6698	29.1 	362.4
30 	200   	151.681 	63.3135	29.1 	362.4
31 	200   	153.857 	63.4244	29.1 	362.4
32 	200   	156.651 	63.3101	29.1 	362.4
33 	200   	158.912 	63.538 	29.1 	362.4
34 	200   	161.696 	62.5687	29.1 	362.4
35 	200   	164.425 	60.9762	29.1 	362.4
36 	200   	166.88  	60.8197	29.1 	362.4
37 	200   	170.19  	60.9254	29.1 	362.4
38 	200   	174.905 	62.3355	29.1 	362.4
39 	200   	178.382 	62.6875	29.1 	362.4
40 	200   	181.703 	62.9308	29.1 	362.4
41 	200   	184.284 	63.5201	29.1 	362.4
42 	200   	187.24  	63.1475	29.1 	362.4
43 	200   	189.964 	63.9931	29.1 	400.9
44 	200   	192.032 	62.8389	47.7 	400.9
45 	200   	194.888 	63.0644	49.2 	400.9
46 	200   	197.108 	63.2684	57.2 	400.9
47 	200   	199.164 	61.776 	57.2 	400.9
48 	200   	201.221 	60.8566	57.2 	400.9
49 	200   	203.687 	59.9335	57.2 	400.9
50 	200   	205.4   	60.8746	57.2 	400.9
51 	200   	207.916 	60.5096	57.2 	400.9
52 	200   	209.352 	60.8918	57.2 	400.9
53 	200   	210.94  	60.0701	57.2 	400.9
54 	200   	213.273 	59.0726	57.2 	400.9
55 	200   	213.947 	58.8524	57.2 	400.9
56 	200   	215.652 	59.0321	57.2 	400.9
57 	200   	217.27  	57.9366	57.2 	400.9
58 	200   	219.501 	57.6047	57.2 	400.9
59 	200   	220.75  	57.4869	57.2 	400.9
60 	200   	222.898 	56.8391	57.2 	400.9
61 	200   	224.546 	55.9721	57.2 	400.9
62 	200   	225.435 	55.6176	57.2 	400.9
63 	200   	227.248 	55.1351	57.2 	400.9
64 	200   	229.501 	53.5849	57.2 	400.9
65 	200   	231.717 	53.0654	57.2 	400.9
66 	200   	232.766 	52.8033	57.2 	400.9
67 	200   	233.691 	52.6941	57.2 	400.9
68 	200   	235.181 	53.6091	57.2 	400.9
69 	200   	236.284 	53.7229	57.2 	400.9
70 	200   	236.776 	53.3791	57.2 	400.9
71 	200   	237.803 	52.6068	57.2 	400.9
72 	200   	239.686 	53.064 	57.2 	400.9
73 	200   	240.983 	52.724 	57.2 	400.9
74 	200   	242.044 	53.6285	57.2 	400.9
75 	200   	242.697 	53.6987	57.2 	400.9
76 	200   	243.474 	53.6481	57.2 	400.9
77 	200   	244.903 	54.7743	57.2 	400.9
78 	200   	245.745 	54.4302	57.2 	400.9
79 	200   	246.686 	54.2882	57.2 	400.9
80 	200   	248.857 	57.6237	57.2 	500  
81 	200   	249.452 	57.8269	57.2 	500  
82 	200   	250.236 	57.6252	57.2 	500  
83 	200   	251.456 	57.7892	57.2 	500  
84 	200   	251.866 	57.9007	57.2 	500  
85 	200   	252.766 	58.2184	57.2 	500  
86 	200   	253.732 	58.9854	57.2 	500  
87 	200   	254.999 	59.754 	57.2 	500  
88 	200   	256.036 	59.8922	57.2 	500  
89 	200   	257.005 	60.0455	57.2 	500  
90 	200   	259.018 	62.1831	57.2 	500  
91 	200   	262.379 	63.657 	141.4	500  
92 	200   	264.563 	66.9616	141.4	500  
93 	200   	264.887 	66.7233	141.4	500  
94 	200   	266.237 	66.588 	141.4	500  
95 	200   	266.717 	66.0293	141.4	500  
96 	200   	267.435 	65.9943	141.4	500  
97 	200   	268.114 	66.3271	141.4	500  
98 	200   	269.976 	66.6425	173.6	500  
99 	200   	270.639 	66.2988	173.6	500  
100	200   	272.142 	66.6896	173.6	500  
