gen	nevals	avg     	std    	min     	max     
0  	100   	-577.377	334.093	-1000   	-174.423
1  	100   	-321.394	179.839	-1000   	-153.191
2  	100   	-243.499	53.2193	-387.577	-112.096
3  	100   	-213.821	47.2108	-369.037	-112.096
4  	100   	-187.166	39.8651	-291.907	-85.446 
5  	100   	-165.717	34.9321	-276.548	-78.0217
6  	100   	-146.313	36.0339	-211.545	7.29282 
7  	100   	-134.201	40.1522	-198.231	54.7948 
8  	100   	-118.289	42.4324	-193.116	54.7948 
9  	100   	-98.3114	49.8559	-193.116	54.7948 
10 	100   	-76.4941	54.0983	-164.798	54.7948 
11 	100   	-47.9661	53.5203	-151.259	71.814  
12 	100   	-26.9044	46.0186	-138.743	71.814  
13 	100   	-6.67555	47.8699	-138.743	139.137 
14 	100   	12.0949 	46.6663	-138.743	139.137 
15 	100   	29.0281 	46.8985	-112.269	139.137 
16 	100   	52.3193 	42.4769	-46.9005	139.137 
17 	100   	71.8037 	39.5806	-42.3323	141.451 
18 	100   	88.2138 	34.9152	-27.2182	182.544 
19 	100   	101.691 	33.6683	-27.2182	182.544 
20 	100   	116.648 	28.6913	20.7247 	191.923 
21 	100   	128.465 	30.831 	58.7481 	237.043 
22 	100   	136.225 	29.084 	58.7481 	237.043 
23 	100   	144.751 	28.7563	69.3658 	237.043 
24 	100   	150.279 	28.4878	90.3759 	237.161 
25 	100   	158.017 	28.5269	98.2907 	237.161 
26 	100   	165.052 	31.699 	98.2907 	257.747 
27 	100   	181.495 	35.2101	98.2907 	257.747 
28 	100   	192.53  	36.0182	98.2907 	257.747 
29 	100   	204.371 	34.1362	98.2907 	257.747 
30 	100   	216.034 	30.1536	123.711 	264.241 
31 	100   	225.272 	27.9726	123.711 	264.241 
32 	100   	231.778 	24.7788	123.711 	264.241 
33 	100   	238.96  	23.689 	123.711 	264.241 
34 	100   	243.164 	21.4616	123.711 	268.112 
35 	100   	246.96  	17.3294	177.892 	268.112 
36 	100   	248.552 	17.2624	177.892 	268.112 
37 	100   	249.889 	16.5327	177.892 	268.112 
38 	100   	253.382 	12.4294	177.892 	268.974 
39 	100   	256.394 	8.00517	203.671 	268.974 
40 	100   	257.655 	7.59351	203.671 	268.974 
41 	100   	258.985 	4.76665	237.17  	268.974 
42 	100   	259.935 	4.59122	237.17  	268.978 
43 	100   	260.595 	4.3505 	246     	268.978 
44 	100   	261.289 	4.284  	246     	268.978 
45 	100   	261.975 	4.14397	246.217 	268.978 
46 	100   	262.592 	4.29457	246.217 	268.983 
47 	100   	263.214 	4.10907	246.655 	271.067 
48 	100   	263.729 	4.07284	246.655 	271.067 
49 	100   	264.352 	3.99756	246.655 	271.067 
50 	100   	264.853 	3.89128	246.655 	271.067 
51 	100   	265.163 	3.82649	246.655 	271.067 
52 	100   	265.938 	3.65769	246.655 	271.067 
53 	100   	266.433 	3.08523	257.912 	271.067 
54 	100   	266.609 	3.01819	257.912 	271.067 
55 	100   	266.925 	3.06185	257.912 	271.067 
56 	100   	267.209 	2.94573	257.912 	271.067 
57 	100   	267.669 	2.7871 	257.912 	271.067 
58 	100   	267.74  	2.82059	257.912 	271.067 
59 	100   	267.946 	2.75144	257.912 	271.067 
60 	100   	268.154 	2.72236	257.912 	271.067 
61 	100   	268.344 	2.76848	257.912 	271.067 
62 	100   	268.503 	2.72739	257.912 	271.067 
63 	100   	268.69  	2.7556 	257.912 	271.067 
64 	100   	268.875 	2.72523	257.912 	271.067 
65 	100   	269.032 	2.67802	257.912 	271.067 
66 	100   	269.088 	2.59202	259.149 	271.067 
67 	100   	269.504 	2.33035	259.281 	271.067 
68 	100   	269.82  	2.13317	259.281 	271.067 
69 	100   	269.902 	2.15776	259.281 	273.493 
70 	100   	270.105 	2.02946	259.281 	273.493 
71 	100   	270.324 	1.69974	263.652 	273.493 
72 	100   	270.396 	1.54247	263.652 	273.493 
73 	100   	270.484 	1.45947	263.652 	273.493 
74 	100   	270.651 	1.34934	263.652 	273.493 
75 	100   	270.672 	1.33987	263.652 	273.493 
76 	100   	270.799 	1.19425	265.515 	273.493 
77 	100   	270.808 	1.19301	265.515 	273.493 
78 	100   	270.863 	1.18914	265.515 	273.493 
79 	100   	270.892 	1.22993	265.515 	274.024 
80 	100   	271.006 	1.17251	265.515 	274.264 
81 	100   	271.118 	1.19181	265.515 	274.264 
82 	100   	271.204 	1.08793	265.782 	274.264 
83 	100   	271.343 	1.23322	265.782 	274.264 
84 	100   	271.432 	1.31465	265.782 	274.264 
85 	100   	271.537 	1.35639	265.782 	274.264 
86 	100   	271.665 	1.45149	265.782 	274.264 
87 	100   	271.839 	1.54043	265.782 	274.264 
88 	100   	272.083 	1.61434	265.782 	274.264 
89 	100   	272.379 	1.68098	265.782 	274.394 
90 	100   	272.441 	1.68767	265.782 	274.394 
91 	100   	272.552 	1.65487	265.782 	274.394 
92 	100   	272.746 	1.63509	265.782 	274.557 
93 	100   	272.921 	1.63091	265.782 	274.557 
94 	100   	273.08  	1.62477	265.782 	274.767 
95 	100   	273.265 	1.45547	271.067 	274.767 
96 	100   	273.446 	1.39051	271.067 	274.767 
97 	100   	273.567 	1.34182	271.067 	274.767 
98 	100   	273.755 	1.2282 	271.067 	274.767 
99 	100   	273.864 	1.14104	271.067 	274.767 
100	100   	273.92  	1.11145	271.067 	274.767 
