gen	nevals	avg     	std     	min     	max     
0  	100   	-580.487	338.109 	-1000   	-176.023
1  	100   	-332.203	177.819 	-1000   	-158.049
2  	100   	-246.481	46.0945 	-332.769	-130.124
3  	100   	-215.369	42.902  	-313.39 	-124.114
4  	100   	-191.227	36.2297 	-277.307	-124.114
5  	100   	-167.727	27.4899 	-236.435	-52.9817
6  	100   	-157.055	25.2334 	-231.772	-52.9817
7  	100   	-148.727	23.8987 	-197.216	-52.9817
8  	100   	-141.119	30.8175 	-185.736	11.7972 
9  	100   	-131.244	38.4387 	-185.736	11.7972 
10 	100   	-120.874	42.8293 	-172.718	11.7972 
11 	100   	-105.456	52.7303 	-172.718	53.1559 
12 	100   	-82.8134	59.9573 	-172.718	65.3576 
13 	100   	-51.9153	55.6824 	-158.049	65.3576 
14 	100   	-22.0711	48.4994 	-148.154	65.3576 
15 	100   	1.64843 	37.6691 	-121.051	65.3576 
16 	100   	19.2811 	34.6094 	-63.9732	73.4104 
17 	100   	35.3452 	31.1709 	-52.0569	107.831 
18 	100   	45.5697 	29.0259 	-34.9901	110.304 
19 	100   	59.7595 	25.5344 	-34.9901	131.465 
20 	100   	73.2678 	24.1151 	7.2454  	131.684 
21 	100   	84.8158 	25.5336 	7.2454  	131.684 
22 	100   	100.332 	23.2311 	24.4847 	136.544 
23 	100   	111.008 	19.8785 	53.1559 	138.026 
24 	100   	119.508 	16.7501 	65.3576 	139.46  
25 	100   	124.678 	12.1397 	73.4104 	139.46  
26 	100   	128.411 	9.9515  	73.4104 	150.723 
27 	100   	131.842 	6.29438 	107.831 	150.723 
28 	100   	133.624 	5.65583 	107.831 	150.723 
29 	100   	135.622 	5.13249 	117.298 	150.723 
30 	100   	137.24  	5.43106 	124.563 	150.723 
31 	100   	138.651 	5.75028 	124.563 	150.723 
32 	100   	140.695 	6.44005 	124.563 	159.765 
33 	100   	142.174 	6.48927 	131.465 	159.765 
34 	100   	144.571 	6.0065  	131.465 	159.765 
35 	100   	147.37  	8.02638 	131.465 	203.375 
36 	100   	149.303 	9.52053 	131.465 	203.375 
37 	100   	151.547 	9.23121 	131.465 	203.375 
38 	100   	153.678 	10.459  	131.465 	203.375 
39 	100   	157.574 	13.7069 	131.465 	203.375 
40 	100   	161.432 	16.787  	137.568 	232.943 
41 	100   	168.868 	20.749  	137.568 	232.943 
42 	100   	174.01  	21.3494 	137.568 	232.943 
43 	100   	181.193 	22.6936 	141.505 	235.587 
44 	100   	186.35  	22.9079 	141.505 	235.587 
45 	100   	194.865 	22.7215 	152.725 	235.587 
46 	100   	206.442 	22.1762 	152.932 	242.643 
47 	100   	213.982 	21.8274 	152.932 	242.643 
48 	100   	223.036 	18.1941 	174.114 	246.156 
49 	100   	228.628 	14.3458 	179.744 	246.156 
50 	100   	231.533 	13.0359 	179.744 	246.156 
51 	100   	236.159 	6.94982 	201.288 	249.722 
52 	100   	237.507 	6.63989 	201.288 	249.722 
53 	100   	238.72  	6.61046 	201.288 	249.722 
54 	100   	240.406 	5.97776 	201.288 	252.311 
55 	100   	241.463 	6.17164 	201.288 	252.311 
56 	100   	242.772 	6.14645 	201.288 	252.311 
57 	100   	243.749 	4.58885 	233.857 	253.151 
58 	100   	244.622 	4.5491  	233.857 	253.151 
59 	100   	246.588 	4.39958 	233.857 	253.675 
60 	100   	247.788 	4.27395 	233.857 	253.675 
61 	100   	248.965 	3.77448 	233.857 	257.176 
62 	100   	249.938 	3.58266 	233.857 	257.176 
63 	100   	250.799 	3.07823 	237.66  	257.176 
64 	100   	251.656 	2.68442 	240.897 	257.176 
65 	100   	252.323 	2.30708 	244.257 	257.176 
66 	100   	252.836 	2.16287 	246.156 	257.176 
67 	100   	253.257 	2.08593 	246.156 	257.176 
68 	100   	253.685 	1.75384 	246.961 	257.176 
69 	100   	254.094 	1.77861 	247.177 	257.176 
70 	100   	254.472 	1.81863 	247.177 	257.243 
71 	100   	254.817 	1.87794 	247.177 	257.243 
72 	100   	255.287 	1.99471 	247.177 	258.266 
73 	100   	255.667 	1.99867 	247.177 	258.266 
74 	100   	255.942 	1.93984 	247.177 	258.266 
75 	100   	256.309 	1.64778 	249.656 	258.266 
76 	100   	256.604 	1.505   	249.656 	258.266 
77 	100   	256.91  	1.20976 	249.656 	258.266 
78 	100   	257.107 	1.09898 	249.656 	258.266 
79 	100   	257.193 	1.06553 	249.656 	258.266 
80 	100   	257.362 	0.975699	249.656 	258.266 
81 	100   	257.49  	1.01483 	249.656 	258.266 
82 	100   	257.671 	0.950379	249.656 	258.266 
83 	100   	257.751 	0.9527  	249.656 	258.266 
84 	100   	257.853 	0.947563	249.656 	258.266 
85 	100   	257.936 	0.933841	249.656 	258.266 
86 	100   	258.063 	0.394954	257.176 	258.266 
87 	100   	258.095 	0.370104	257.176 	258.266 
88 	100   	258.153 	0.310696	257.176 	258.266 
89 	100   	258.174 	0.280229	257.176 	258.266 
90 	100   	258.204 	0.234829	257.176 	258.266 
91 	100   	258.278 	0.777107	257.176 	265.649 
92 	100   	258.28  	0.776924	257.176 	265.649 
93 	100   	258.376 	1.05571 	257.176 	265.649 
94 	100   	258.532 	1.46261 	257.176 	265.649 
95 	100   	258.616 	1.61928 	257.176 	265.649 
96 	100   	258.921 	2.11864 	257.176 	265.649 
97 	100   	259.215 	2.48556 	257.176 	265.649 
98 	100   	259.743 	2.94131 	258.266 	265.771 
99 	100   	260.409 	3.34067 	258.266 	265.771 
100	100   	261.095 	3.57106 	258.266 	265.771 
