gen 	nevals	avg     	std     	min   	max   
0   	200   	-443.937	368.369 	-1000 	-193.3
1   	200   	-247.884	190.02  	-1000 	-193.3
2   	200   	-203.816	56.4488 	-1000 	-192.5
3   	200   	-199.755	1.10475 	-200  	-192.5
4   	200   	-199.712	1.19403 	-200  	-192.5
5   	200   	-199.581	1.71525 	-200  	-183.4
6   	200   	-199.346	2.58313 	-200  	-176.6
7   	200   	-199.297	2.62187 	-200  	-176.6
8   	200   	-198.988	3.52089 	-200  	-168.8
9   	200   	-198.663	4.04982 	-200  	-168.8
10  	200   	-198.523	4.10576 	-200  	-168.8
11  	200   	-198.106	5.07368 	-200  	-166.6
12  	200   	-197.458	6.36696 	-200  	-148  
13  	200   	-197.243	6.50489 	-200  	-148  
14  	200   	-196.5  	7.82125 	-200  	-148  
15  	200   	-195.929	8.42225 	-200  	-148  
16  	200   	-195.637	8.42959 	-200  	-148  
17  	200   	-195.268	8.67149 	-200  	-148  
18  	200   	-194.607	9.60886 	-200  	-148  
19  	200   	-193.699	10.4575 	-200  	-145.3
20  	200   	-192.73 	11.4373 	-200  	-145.3
21  	200   	-192.023	11.8162 	-200  	-145.3
22  	200   	-191.468	12.096  	-200  	-145.3
23  	200   	-190.198	12.653  	-200  	-145.3
24  	200   	-189.599	12.8135 	-200  	-145.3
25  	200   	-188.391	13.3759 	-200  	-145  
26  	200   	-187.259	14.1113 	-200  	-124.8
27  	200   	-186.583	14.287  	-200  	-124.8
28  	200   	-185.65 	15.0005 	-200  	-124.8
29  	200   	-184.697	15.5961 	-200  	-124.8
30  	200   	-183.266	16.3599 	-200  	-122.6
31  	200   	-182.662	17.081  	-200  	-122.6
32  	200   	-180.962	18.2829 	-200  	-122.6
33  	200   	-180.114	18.315  	-200  	-122.6
34  	200   	-179.046	18.2367 	-200  	-122.6
35  	200   	-177.942	18.6679 	-200  	-122.6
36  	200   	-177.378	18.7365 	-200  	-122.6
37  	200   	-176.593	19.0196 	-200  	-122.6
38  	200   	-175.671	19.5689 	-200  	-122.6
39  	200   	-175.058	19.5411 	-200  	-122.6
40  	200   	-173.752	20.0712 	-200  	-122.6
