gen 	nevals	avg     	std     	min   	max   
0   	200   	-392    	341.667 	-1000 	-200  
1   	200   	-215.951	112.008 	-1000 	-194.3
2   	200   	-203.947	56.4327 	-1000 	-194.3
3   	200   	-199.942	0.468448	-200  	-194.3
4   	200   	-199.519	4.17439 	-200  	-142.8
5   	200   	-199.319	4.46949 	-200  	-142.8
6   	200   	-199.215	4.55447 	-200  	-142.8
7   	200   	-199.215	4.55447 	-200  	-142.8
8   	200   	-199.038	4.78088 	-200  	-142.8
9   	200   	-198.521	6.0048  	-200  	-142.8
10  	200   	-198.144	6.5729  	-200  	-142.8
11  	200   	-197.523	7.3452  	-200  	-142.8
12  	200   	-196.663	8.64942 	-200  	-142.8
13  	200   	-195.824	9.3334  	-200  	-142.8
14  	200   	-194.605	11.0575 	-200  	-134.3
15  	200   	-193.518	12.0438 	-200  	-134.3
16  	200   	-192.302	13.4084 	-200  	-134.3
17  	200   	-191.554	13.808  	-200  	-134.3
18  	200   	-190.303	14.3418 	-200  	-134.3
19  	200   	-189.64 	14.564  	-200  	-134.3
20  	200   	-188.527	15.5424 	-200  	-134.3
21  	200   	-187.343	16.2868 	-200  	-134.3
22  	200   	-186.595	16.5456 	-200  	-134.3
23  	200   	-185.753	16.8952 	-200  	-134.3
24  	200   	-184.417	17.9639 	-200  	-134.3
25  	200   	-182.514	18.7116 	-200  	-134.3
26  	200   	-181.232	19.5017 	-200  	-134.3
27  	200   	-180.124	19.7466 	-200  	-134.3
28  	200   	-179.54 	19.6397 	-200  	-134.3
29  	200   	-178.802	19.6925 	-200  	-134.3
30  	200   	-177.828	19.6723 	-200  	-134.3
31  	200   	-176.322	20.1781 	-200  	-127.3
32  	200   	-175.872	20.0721 	-200  	-127.3
33  	200   	-174.935	19.9636 	-200  	-127.3
34  	200   	-174.523	20.1048 	-200  	-127.3
35  	200   	-173.34 	20.3595 	-200  	-127.3
36  	200   	-172.711	20.4842 	-200  	-127.3
37  	200   	-171.736	20.5788 	-200  	-127.3
38  	200   	-171.469	20.6979 	-200  	-127.3
39  	200   	-171.085	20.9134 	-200  	-127.3
