gen 	nevals	avg     	std      	min   	max   
0   	200   	-411.708	353.252  	-1000 	-164.8
1   	200   	-223.698	136.55   	-1000 	-164.8
2   	200   	-203.698	56.513   	-1000 	-164.8
3   	200   	-203.619	56.5217  	-1000 	-164.8
4   	200   	-199.517	2.87865  	-200  	-164.8
5   	200   	-199.199	3.80468  	-200  	-164.8
6   	200   	-198.934	4.31816  	-200  	-164.8
7   	200   	-198.776	4.5582   	-200  	-164.8
8   	200   	-198.509	4.82331  	-200  	-164.8
9   	200   	-198.278	4.9822   	-200  	-164.8
10  	200   	-197.519	7.09957  	-200  	-140.9
11  	200   	-197.149	7.23393  	-200  	-140.9
12  	200   	-196.817	7.44594  	-200  	-140.9
13  	200   	-195.732	9.37554  	-200  	-140.9
14  	200   	-195.181	9.91681  	-200  	-140.9
15  	200   	-194.195	10.84    	-200  	-140.9
16  	200   	-193.422	11.4829  	-200  	-140.9
17  	200   	-192.268	12.6138  	-200  	-140.9
18  	200   	-190.782	13.834   	-200  	-140.9
19  	200   	-190.248	13.871   	-200  	-140.9
20  	200   	-189.231	14.5486  	-200  	-140.7
21  	200   	-188.308	15.7189  	-200  	-130.3
22  	200   	-187.708	15.8535  	-200  	-130.3
23  	200   	-187.04 	16.0862  	-200  	-130.3
24  	200   	-185.773	16.3661  	-200  	-130.3
25  	200   	-184.423	16.8992  	-200  	-125.5
26  	200   	-183.419	17.2857  	-200  	-125.5
27  	200   	-182.269	17.5064  	-200  	-125.5
28  	200   	-181.132	17.7491  	-200  	-125.5
29  	200   	-179.889	18.0059  	-200  	-125.5
30  	200   	-179.321	17.899   	-200  	-125.5
31  	200   	-178.098	18.1589  	-200  	-125.5
32  	200   	-177.206	18.2879  	-200  	-125.5
33  	200   	-176.477	18.4699  	-200  	-125.5
34  	200   	-175.739	18.4764  	-200  	-125.5
35  	200   	-174.588	18.7869  	-200  	-125.5
36  	200   	-173.901	18.5519  	-200  	-125.5
37  	200   	-173.03 	18.5968  	-200  	-125.5
38  	200   	-172.492	18.5838  	-200  	-125.5
39  	200   	-171.216	18.7892  	-200  	-125.5
40  	200   	-170.81 	18.726   	-200  	-125.5
41  	200   	-169.874	18.7195  	-200  	-125.5
42  	200   	-169.223	18.4792  	-200  	-125.5
43  	200   	-168.828	18.3963  	-200  	-125.5
44  	200   	-168.388	18.4552  	-200  	-125.5
45  	200   	-168.055	18.263   	-200  	-125.5
46  	200   	-167.058	18.2462  	-200  	-125.5
47  	200   	-166.282	18.3505  	-200  	-125.5
48  	200   	-165.776	18.5092  	-200  	-125.5
49  	200   	-164.583	17.8519  	-198.6	-125.5
50  	200   	-164.215	17.6285  	-198.6	-125.5
51  	200   	-163.441	17.6459  	-198.6	-125.5
52  	200   	-163.153	17.4795  	-197.8	-125.5
53  	200   	-162.697	17.4582  	-197.8	-125.5
54  	200   	-162.405	17.3424  	-197.8	-125.5
55  	200   	-161.887	17.113   	-197.8	-125.5
56  	200   	-161.052	16.6156  	-197.8	-125.5
57  	200   	-160.478	16.6068  	-197.8	-125.5
58  	200   	-159.727	16.6322  	-194.5	-125.5
59  	200   	-159.672	16.5353  	-194.5	-125.5
60  	200   	-159.572	16.5957  	-194.5	-125.5
61  	200   	-159.525	16.5365  	-194.5	-125.5
62  	200   	-159.084	16.4181  	-194.5	-125.5
63  	200   	-158.901	16.3688  	-194.5	-125.5
64  	200   	-158.545	16.1128  	-194.5	-125.5
65  	200   	-158.238	15.9619  	-194.5	-125.5
66  	200   	-157.815	16.0191  	-194.5	-125.5
67  	200   	-157.155	16.0154  	-194.5	-125.5
68  	200   	-156.452	15.6396  	-194.5	-125.5
69  	200   	-155.88 	15.2905  	-194.5	-125.5
70  	200   	-155.512	15.2771  	-193.2	-125.5
71  	200   	-155.139	15.188   	-193.2	-125.5
72  	200   	-155.097	15.1657  	-193.2	-125.5
73  	200   	-155    	15.2365  	-193.2	-125.5
74  	200   	-154.556	14.8239  	-193.2	-125.5
75  	200   	-154.513	14.837   	-193.2	-125.5
76  	200   	-154.208	14.7115  	-193.2	-125.5
77  	200   	-153.894	14.7543  	-193.2	-125.5
78  	200   	-153.885	14.7517  	-193.2	-125.5
79  	200   	-153.243	14.5506  	-193.2	-125.5
80  	200   	-152.71 	14.0744  	-193.2	-125.5
81  	200   	-152.002	13.993   	-193.2	-125.5
82  	200   	-151.722	13.7234  	-190.4	-125.5
83  	200   	-151.502	13.8213  	-190.4	-125.5
84  	200   	-151.314	13.7755  	-190.4	-125.5
85  	200   	-150.934	13.7075  	-190.4	-125.2
86  	200   	-150.588	13.4729  	-190.4	-125.2
87  	200   	-150.306	13.2789  	-190.4	-125.2
88  	200   	-150.218	13.1174  	-190.4	-125.2
89  	200   	-149.883	13.1404  	-190.4	-125.2
90  	200   	-149.742	13.2067  	-190.4	-125.2
91  	200   	-149.488	13.0191  	-190.4	-125.2
92  	200   	-149.035	12.8648  	-190.4	-125.2
93  	200   	-148.619	12.4863  	-183.6	-125.2
94  	200   	-148.479	12.5665  	-183.6	-125.2
95  	200   	-148.227	12.5137  	-183.6	-125.2
96  	200   	-147.993	12.398   	-183.6	-125.2
97  	200   	-147.817	12.5454  	-183.6	-125.2
98  	200   	-147.267	12.1008  	-181.9	-125.2
99  	200   	-147.267	12.1008  	-181.9	-125.2
100 	200   	-147.025	12.1017  	-181.9	-125.2
101 	200   	-146.885	12.1414  	-181.9	-125.2
102 	200   	-146.769	12.005   	-181.9	-125.2
103 	200   	-146.635	11.956   	-181.9	-125.2
104 	200   	-146.533	11.9834  	-181.9	-125.2
105 	200   	-146.434	11.9741  	-181.9	-125.2
106 	200   	-146.048	11.8532  	-181.9	-125.2
107 	200   	-145.812	11.9258  	-181.9	-125.2
108 	200   	-145.785	11.9208  	-181.9	-125.2
109 	200   	-145.308	11.8951  	-181.9	-125.2
110 	200   	-145.188	11.9258  	-181.9	-125.2
111 	200   	-145.167	11.9259  	-181.9	-125.2
112 	200   	-145.145	11.9297  	-181.9	-125.2
113 	200   	-145.103	11.972   	-181.9	-125.2
114 	200   	-144.863	11.9756  	-181.9	-125.2
115 	200   	-144.846	11.9674  	-181.9	-125.2
116 	200   	-144.428	11.6833  	-177.6	-125.2
117 	200   	-144.271	11.586   	-177.6	-125.2
118 	200   	-144.083	11.6718  	-177.6	-125.2
119 	200   	-143.953	11.6161  	-177.6	-125.2
120 	200   	-143.727	11.5385  	-177.6	-125.2
121 	200   	-143.727	11.5385  	-177.6	-125.2
122 	200   	-143.727	11.5385  	-177.6	-125.2
123 	200   	-143.727	11.5385  	-177.6	-125.2
124 	200   	-143.653	11.5072  	-177.6	-125.2
125 	200   	-143.615	11.4658  	-177.6	-125.2
126 	200   	-143.427	11.4872  	-177.6	-125.2
127 	200   	-143.335	11.4369  	-177.6	-125.2
128 	200   	-143.137	11.1834  	-176.9	-125.2
129 	200   	-142.824	11.1754  	-176.9	-125.2
130 	200   	-142.784	11.2076  	-176.9	-125.2
131 	200   	-142.624	11.1696  	-176.9	-125.2
132 	200   	-142.427	11.0584  	-176.9	-125.2
133 	200   	-142.229	10.9074  	-176.9	-125.2
134 	200   	-142.207	10.8897  	-176.9	-125.2
135 	200   	-141.984	10.854   	-176.9	-125.2
136 	200   	-141.87 	10.826   	-176.9	-125.2
137 	200   	-141.69 	10.7225  	-176.9	-125.2
138 	200   	-141.641	10.7493  	-176.9	-125.2
139 	200   	-141.537	10.7125  	-176.9	-125.2
140 	200   	-141.503	10.693   	-176.9	-125.2
141 	200   	-141.067	10.4558  	-176.9	-125.2
142 	200   	-140.799	10.3895  	-176.9	-125.2
143 	200   	-140.657	10.2557  	-170.6	-125.2
144 	200   	-140.657	10.2557  	-170.6	-125.2
145 	200   	-140.657	10.2559  	-170.6	-125.2
146 	200   	-140.607	10.3052  	-170.6	-125.2
147 	200   	-140.607	10.3052  	-170.6	-125.2
148 	200   	-140.607	10.3052  	-170.6	-125.2
149 	200   	-140.57 	10.2412  	-170.6	-125.2
150 	200   	-140.472	10.2162  	-170.6	-125.2
151 	200   	-140.472	10.2162  	-170.6	-125.2
152 	200   	-140.428	10.1997  	-170.6	-125.2
153 	200   	-140.317	10.177   	-170.6	-125.2
154 	200   	-140.228	10.2189  	-170.6	-125.2
155 	200   	-140.182	10.2439  	-170.6	-125.2
156 	200   	-140.182	10.2439  	-170.6	-125.2
157 	200   	-140.123	10.2695  	-170.6	-125.2
158 	200   	-140.065	10.319   	-170.6	-125.2
159 	200   	-139.796	10.3793  	-170.6	-120.9
160 	200   	-139.796	10.3793  	-170.6	-120.9
161 	200   	-139.758	10.3684  	-170.6	-120.9
162 	200   	-139.614	10.2638  	-169.4	-120.9
163 	200   	-139.493	10.2759  	-169.4	-120.9
164 	200   	-139.493	10.2759  	-169.4	-120.9
165 	200   	-139.389	10.1988  	-169.4	-120.9
166 	200   	-139.351	10.183   	-169.4	-120.9
167 	200   	-139.184	10.0171  	-169.4	-120.9
168 	200   	-138.984	9.9937   	-169.4	-120.9
169 	200   	-138.846	10.057   	-169.4	-120.9
170 	200   	-138.833	10.0407  	-169.4	-120.9
171 	200   	-138.72 	10.0006  	-169.4	-120.9
172 	200   	-138.686	10.0065  	-169.4	-120.9
173 	200   	-138.609	10.0477  	-169.4	-120.9
174 	200   	-138.451	9.87392  	-169.4	-120.9
175 	200   	-138.403	9.75964  	-169.4	-120.9
176 	200   	-138.403	9.75964  	-169.4	-120.9
177 	200   	-138.191	9.72729  	-169.4	-120.9
178 	200   	-138.085	9.81393  	-169.4	-120.9
179 	200   	-138.084	9.81379  	-169.4	-120.9
180 	200   	-138.072	9.8003   	-169.4	-120.9
181 	200   	-137.834	9.63573  	-169.4	-120.9
182 	200   	-137.822	9.64334  	-169.4	-120.9
183 	200   	-137.514	9.60354  	-169.4	-120.9
184 	200   	-137.44 	9.59387  	-169.4	-120.9
185 	200   	-137.26 	9.62934  	-169.4	-120.9
186 	200   	-137.153	9.69784  	-169.4	-120.9
187 	200   	-137.048	9.76173  	-169.4	-120.9
188 	200   	-137.019	9.77398  	-169.4	-120.9
189 	200   	-136.818	9.52546  	-169.4	-120.9
190 	200   	-136.818	9.52546  	-169.4	-120.9
191 	200   	-136.818	9.52546  	-169.4	-120.9
192 	200   	-136.818	9.52546  	-169.4	-120.9
193 	200   	-136.615	9.39454  	-169.4	-120.9
194 	200   	-136.5  	9.38912  	-169.4	-120.9
195 	200   	-136.497	9.38912  	-169.4	-120.9
196 	200   	-136.497	9.38912  	-169.4	-120.9
197 	200   	-136.429	9.36546  	-169.4	-120.9
198 	200   	-136.397	9.36117  	-169.4	-120.9
199 	200   	-136.324	9.38267  	-169.4	-120.9
200 	200   	-136.176	9.23996  	-169.4	-120.9
201 	200   	-136.041	9.11263  	-169.4	-120.9
202 	200   	-136.041	9.11263  	-169.4	-120.9
203 	200   	-135.996	9.08022  	-169.4	-120.9
204 	200   	-135.787	9.16068  	-169.4	-120.9
205 	200   	-135.692	9.19265  	-169.4	-120.9
206 	200   	-135.692	9.19265  	-169.4	-120.9
207 	200   	-135.663	9.1992   	-169.4	-120.9
208 	200   	-135.662	9.19874  	-169.4	-120.9
209 	200   	-135.611	9.20132  	-169.4	-120.9
210 	200   	-135.604	9.19798  	-169.4	-120.9
211 	200   	-135.567	9.1921   	-169.4	-120.9
212 	200   	-135.556	9.20544  	-169.4	-120.9
213 	200   	-135.483	9.22801  	-169.4	-120.9
214 	200   	-135.418	9.2061   	-169.4	-120.9
215 	200   	-135.418	9.2061   	-169.4	-120.9
216 	200   	-135.343	9.22547  	-169.4	-120.9
217 	200   	-135.343	9.22547  	-169.4	-120.9
218 	200   	-135.281	9.21186  	-169.4	-120.9
219 	200   	-135.114	9.0766   	-169.4	-120.9
220 	200   	-135.114	9.07668  	-169.4	-120.9
221 	200   	-135.1  	9.08307  	-169.4	-120.9
222 	200   	-135.018	8.84393  	-162.5	-120.9
223 	200   	-134.829	8.86929  	-162.5	-120.9
224 	200   	-134.799	8.86229  	-162.5	-120.9
225 	200   	-134.799	8.86229  	-162.5	-120.9
226 	200   	-134.648	8.76038  	-162.5	-120.9
227 	200   	-134.648	8.76038  	-162.5	-120.9
228 	200   	-134.648	8.76038  	-162.5	-120.9
229 	200   	-134.542	8.78474  	-162.5	-120.9
230 	200   	-134.522	8.80142  	-162.5	-120.9
