gen 	nevals	avg     	std     	min   	max   
0   	200   	-435.927	364.883 	-1000 	-185.3
1   	200   	-215.647	112.082 	-1000 	-167.6
2   	200   	-203.514	56.5315 	-1000 	-167.6
3   	200   	-199.303	3.38834 	-200  	-167.6
4   	200   	-199.109	3.67713 	-200  	-167.6
5   	200   	-198.75 	4.43981 	-200  	-167.3
6   	200   	-198.596	4.65689 	-200  	-167.3
7   	200   	-198.357	4.84849 	-200  	-167.3
8   	200   	-198.222	4.87327 	-200  	-167.3
9   	200   	-197.998	4.92758 	-200  	-167.3
10  	200   	-197.445	6.29062 	-200  	-145.5
11  	200   	-196.667	7.74521 	-200  	-141.3
12  	200   	-196.443	7.78765 	-200  	-141.3
13  	200   	-196.128	7.84107 	-200  	-141.3
14  	200   	-195.71 	8.07249 	-200  	-141.3
15  	200   	-195.449	8.38155 	-200  	-141.3
16  	200   	-194.355	9.6285  	-200  	-141.3
17  	200   	-193.912	9.75138 	-200  	-141.3
18  	200   	-193.127	10.2915 	-200  	-141.3
19  	200   	-192.558	10.4847 	-200  	-141.3
20  	200   	-191.809	11.2404 	-200  	-141.3
21  	200   	-191.473	11.2098 	-200  	-141.3
22  	200   	-190.703	12.1794 	-200  	-130.9
23  	200   	-190.477	12.1306 	-200  	-130.9
24  	200   	-189.94 	12.13   	-200  	-130.9
25  	200   	-188.935	12.6081 	-200  	-130.9
26  	200   	-188.12 	13.0864 	-200  	-130.9
27  	200   	-187.219	13.5431 	-200  	-130.9
28  	200   	-186.492	14.1457 	-200  	-127  
29  	200   	-185.748	14.6034 	-200  	-127  
30  	200   	-184.741	15.443  	-200  	-127  
31  	200   	-184.193	15.4945 	-200  	-127  
32  	200   	-183.843	15.3144 	-200  	-127  
33  	200   	-183.171	16.2528 	-200  	-127  
34  	200   	-182.861	16.3287 	-200  	-127  
35  	200   	-182.502	16.1774 	-200  	-127  
36  	200   	-182.011	16.1971 	-200  	-127  
37  	200   	-181.194	16.5677 	-200  	-127  
38  	200   	-180.704	17.2925 	-200  	-112.8
39  	200   	-179.847	17.8167 	-200  	-112.8
40  	200   	-179.062	17.8103 	-200  	-112.8
41  	200   	-178.457	17.6097 	-200  	-112.8
42  	200   	-177.276	17.7663 	-200  	-112.8
43  	200   	-176.536	18.192  	-200  	-112.8
44  	200   	-175.736	18.1461 	-199.9	-112.8
45  	200   	-174.764	18.1615 	-199.9	-112.8
46  	200   	-173.766	18.0113 	-199.3	-112.8
47  	200   	-172.967	18.5517 	-199.2	-112.8
48  	200   	-172.058	18.6913 	-199.2	-112.8
49  	200   	-171.609	18.8406 	-199.2	-112.8
50  	200   	-170.25 	18.9443 	-199.2	-112.8
51  	200   	-169.702	19.2428 	-199.2	-112.8
52  	200   	-169.312	19.4583 	-199.2	-112.8
53  	200   	-168.315	19.6525 	-199.2	-112.8
54  	200   	-166.898	20.2625 	-199.2	-112.8
55  	200   	-166.631	20.3588 	-199.2	-112.8
56  	200   	-165.845	20.3927 	-199.1	-112.8
57  	200   	-165.254	20.3136 	-199.1	-112.8
58  	200   	-164.396	20.7371 	-197.4	-112.8
59  	200   	-163.318	20.7355 	-197.4	-112.8
60  	200   	-162.131	20.8373 	-195.6	-112.8
61  	200   	-161.4  	20.7311 	-195.6	-112.8
