gen 	nevals	avg     	std     	min   	max   
0   	200   	-463.769	376.338 	-1000 	-176.1
1   	200   	-255.729	204.203 	-1000 	-176.1
2   	200   	-211.695	97.3038 	-1000 	-176.1
3   	200   	-199.536	2.66535 	-200  	-176.1
4   	200   	-199.245	4.36578 	-200  	-150.8
5   	200   	-199.141	4.42962 	-200  	-150.8
6   	200   	-199.052	4.46905 	-200  	-150.8
7   	200   	-198.933	4.75024 	-200  	-150.8
8   	200   	-198.512	5.85191 	-200  	-150.8
9   	200   	-198.438	5.86109 	-200  	-150.8
10  	200   	-198.163	6.05979 	-200  	-150.8
11  	200   	-197.984	6.2294  	-200  	-150.8
12  	200   	-197.53 	7.10813 	-200  	-150.6
13  	200   	-196.567	9.06458 	-200  	-142.6
14  	200   	-195.971	10.0326 	-200  	-137.4
15  	200   	-194.59 	12.3781 	-200  	-130.9
16  	200   	-193.973	12.6653 	-200  	-130.9
17  	200   	-193.214	13.0738 	-200  	-130.9
18  	200   	-192.249	13.8781 	-200  	-130.9
19  	200   	-190.057	16.0572 	-200  	-130.9
20  	200   	-189.571	16.1728 	-200  	-130.9
21  	200   	-188.552	16.4584 	-200  	-130.9
22  	200   	-185.742	18.557  	-200  	-130.7
23  	200   	-184.958	18.8903 	-200  	-130.7
24  	200   	-182.184	19.5307 	-200  	-130.7
25  	200   	-179.907	19.6929 	-200  	-130.7
26  	200   	-177.89 	20.385  	-200  	-130.7
27  	200   	-174.333	21.7712 	-200  	-130.7
28  	200   	-173.059	21.5339 	-200  	-130.7
29  	200   	-171.618	21.6181 	-200  	-130.7
30  	200   	-170.213	21.7459 	-200  	-130.7
31  	200   	-168.948	21.3235 	-200  	-130.7
32  	200   	-168.683	21.1195 	-200  	-130.7
33  	200   	-167.391	21.0053 	-200  	-129.9
34  	200   	-166.258	21.2026 	-200  	-129.9
35  	200   	-165.768	21.232  	-200  	-129.9
36  	200   	-164.832	21.1823 	-200  	-129.9
37  	200   	-164.327	21.0661 	-200  	-129.9
38  	200   	-162.572	21.2021 	-200  	-129.9
39  	200   	-162.192	20.9551 	-200  	-129.9
40  	200   	-161.471	20.956  	-200  	-129.9
41  	200   	-160.098	20.791  	-200  	-129.9
42  	200   	-159.477	20.5714 	-198.7	-129.9
43  	200   	-158.796	20.6053 	-198.7	-129.9
44  	200   	-158.582	20.6015 	-198.7	-129.9
45  	200   	-158.049	20.6039 	-198.7	-129.9
46  	200   	-157.755	20.4765 	-198.7	-129.9
47  	200   	-156.607	20.1251 	-198.7	-129.9
48  	200   	-155.928	20.1124 	-198.7	-129.9
49  	200   	-155.122	20.2404 	-198.7	-129.9
50  	200   	-154.432	19.7352 	-198.7	-129.9
51  	200   	-153.981	19.8272 	-198.7	-129.9
52  	200   	-152.726	19.2507 	-198.7	-129.9
53  	200   	-151.541	19.0434 	-198.7	-129.9
54  	200   	-150.427	18.69   	-198.7	-129.9
55  	200   	-150.027	18.3483 	-190.8	-129.9
56  	200   	-149.282	17.8517 	-190.8	-129.9
57  	200   	-149.209	17.8769 	-190.8	-129.9
58  	200   	-148.99 	17.7088 	-190.5	-129.9
59  	200   	-148.658	17.4874 	-188.8	-129.9
60  	200   	-148.614	17.5119 	-188.8	-129.9
61  	200   	-148.482	17.521  	-188.8	-129.9
62  	200   	-148.482	17.521  	-188.8	-129.9
63  	200   	-148.405	17.4492 	-188.8	-129.9
64  	200   	-147.988	17.257  	-188.8	-129.9
