gen 	nevals	avg     	std    	min   	max   
0   	200   	-259.75 	210.791	-1000 	-185.9
1   	146   	-202.927	56.8657	-1000 	-135.2
2   	142   	-198.222	8.05968	-200  	-135.2
3   	151   	-197.106	10.2311	-200  	-135.2
4   	152   	-195.917	11.9399	-200  	-135.2
5   	156   	-194.696	13.4147	-200  	-135.2
6   	147   	-193.864	13.8651	-200  	-135.2
7   	149   	-192.42 	15.7898	-200  	-122.8
8   	153   	-191.376	16.9053	-200  	-122.8
9   	152   	-190.111	17.9174	-200  	-122.8
10  	156   	-188.882	18.674 	-200  	-119.5
11  	147   	-187.324	19.9618	-200  	-119.5
12  	146   	-185.494	21.8679	-200  	-119.5
13  	155   	-184.041	23.0924	-200  	-119.5
14  	149   	-181.713	24.6376	-200  	-119.5
15  	141   	-179.442	25.6955	-200  	-119.5
16  	164   	-177.896	25.9474	-200  	-119.5
17  	155   	-175.712	26.4668	-200  	-119.5
18  	148   	-174.095	27.011 	-200  	-119.5
19  	154   	-172.582	27.1753	-200  	-119.5
20  	149   	-170.703	27.6581	-200  	-119.5
21  	157   	-169.437	27.6919	-200  	-119.5
22  	141   	-167.371	28.1142	-200  	-119.5
23  	150   	-166.321	28.2202	-200  	-119.5
24  	158   	-164.735	28.4291	-200  	-119.5
25  	150   	-163.281	28.3841	-200  	-119.5
26  	147   	-161.87 	28.38  	-200  	-119.5
27  	153   	-160.504	28.256 	-200  	-119.5
28  	157   	-159.168	28.227 	-200  	-119.5
29  	148   	-157.859	27.8503	-200  	-119.5
30  	147   	-156.715	27.6219	-200  	-119.5
31  	163   	-155.431	27.7577	-200  	-118.8
32  	148   	-153.794	27.251 	-200  	-118.8
33  	150   	-152.184	26.7359	-200  	-118.8
34  	145   	-150.069	26.1477	-200  	-118.8
35  	146   	-148.5  	25.6368	-200  	-118.8
36  	145   	-146.921	25.2005	-200  	-118.8
37  	150   	-145.663	24.6752	-200  	-118.8
38  	152   	-144.253	24.3856	-200  	-118.8
39  	146   	-143.369	23.8218	-200  	-118.8
40  	154   	-142.488	23.3519	-200  	-118.8
41  	144   	-141.672	22.856 	-200  	-118.8
42  	153   	-140.626	22.7284	-200  	-118.8
43  	145   	-139.591	22.3759	-200  	-118.8
44  	144   	-138.436	21.802 	-200  	-118.8
45  	161   	-137.541	21.3833	-200  	-118.8
46  	138   	-136.222	20.8953	-200  	-118.8
47  	145   	-135.118	20.2542	-200  	-118.8
48  	158   	-134.257	19.7319	-200  	-118.8
49  	145   	-133.434	19.4621	-200  	-118.8
50  	141   	-132.279	18.7717	-200  	-118.7
51  	145   	-131.519	18.2957	-200  	-118.7
52  	147   	-130.942	17.9187	-200  	-118.7
53  	153   	-129.999	17.1034	-200  	-118.7
54  	155   	-129.656	16.918 	-200  	-118.7
55  	158   	-129.072	16.5785	-200  	-118.7
56  	152   	-127.846	15.6435	-200  	-118.7
57  	144   	-127.209	15.1574	-200  	-118.7
58  	149   	-126.565	14.537 	-200  	-118.7
59  	161   	-126.228	14.383 	-200  	-118.7
60  	138   	-125.793	14.0897	-200  	-118.7
61  	137   	-125.274	13.4189	-200  	-118.7
62  	149   	-124.888	13.1201	-200  	-118.7
63  	148   	-124.368	12.6626	-200  	-118.7
64  	161   	-123.976	12.1522	-200  	-118.7
65  	158   	-123.938	12.1609	-200  	-118.7
66  	142   	-123.409	11.6482	-200  	-118.7
67  	156   	-123.037	11.2514	-200  	-118.7
68  	146   	-122.733	10.8582	-200  	-118.7
69  	142   	-122.464	10.6038	-200  	-118.7
70  	153   	-122.297	10.3693	-200  	-118.7
71  	148   	-122.125	10.2211	-200  	-118.7
72  	149   	-121.927	10.0794	-200  	-118.7
73  	153   	-121.669	9.73841	-200  	-118.7
74  	140   	-121.64 	9.74062	-200  	-118.7
75  	159   	-121.453	9.46517	-200  	-118.7
76  	147   	-121.278	9.30937	-200  	-118.7
77  	163   	-121.06 	9.13317	-200  	-118.7
