gen 	nevals	avg     	std    	min   	max   
0   	200   	-295.567	260.155	-1000 	-150.8
1   	151   	-210.815	97.5533	-1000 	-150.8
2   	144   	-197.952	7.16653	-200  	-150.8
3   	166   	-197.238	8.16106	-200  	-150.8
4   	139   	-196.761	8.81969	-200  	-150.8
5   	150   	-195.908	9.64177	-200  	-150.8
6   	153   	-195.102	10.5006	-200  	-150.8
7   	153   	-193.788	12.0066	-200  	-148.4
8   	162   	-192.915	12.797 	-200  	-148.4
9   	153   	-191.476	14.4185	-200  	-148.4
10  	154   	-189.472	16.6101	-200  	-120.3
11  	155   	-188.093	17.8526	-200  	-120.3
12  	153   	-185.607	19.5451	-200  	-120.3
13  	160   	-183.756	20.6349	-200  	-120.3
14  	149   	-181.812	21.9973	-200  	-120.3
15  	155   	-179.906	22.5844	-200  	-120.3
16  	160   	-178.569	23.1978	-200  	-120.3
17  	153   	-177.155	23.8286	-200  	-120.3
18  	152   	-175.609	24.2371	-200  	-120.3
19  	145   	-174.053	24.6301	-200  	-120.3
20  	148   	-172.687	24.841 	-200  	-120.3
21  	152   	-170.786	25.0429	-200  	-120.3
22  	159   	-169.285	24.9038	-200  	-120.3
23  	144   	-167.542	24.9127	-200  	-120.3
24  	160   	-166.432	24.9405	-200  	-120.2
25  	145   	-165.171	24.8637	-200  	-120.2
26  	160   	-163.414	24.9294	-200  	-120.2
27  	146   	-161.88 	24.9564	-200  	-120.2
28  	156   	-160.67 	24.8964	-200  	-120.2
29  	145   	-159.456	24.5742	-200  	-120.2
30  	156   	-157.742	24.6297	-200  	-120.2
31  	162   	-156.66 	24.6143	-200  	-120.2
32  	149   	-154.877	24.5748	-200  	-120.2
33  	156   	-153.894	24.2799	-200  	-120.2
34  	142   	-152.637	23.8475	-200  	-120.2
35  	152   	-151.758	23.5871	-200  	-120.2
36  	141   	-150.712	23.7391	-200  	-120.2
37  	140   	-149.257	23.177 	-200  	-120.2
38  	142   	-148.343	22.8313	-200  	-120.2
39  	151   	-147.365	22.1664	-200  	-120.2
40  	152   	-146.448	21.734 	-200  	-120.2
41  	143   	-145.405	21.1077	-200  	-120.2
42  	152   	-144.333	20.4345	-200  	-120.2
43  	142   	-143.322	20.1282	-200  	-120.2
44  	158   	-142.526	19.6752	-200  	-120.2
45  	152   	-141.951	19.5736	-200  	-120.2
46  	149   	-141.459	19.2329	-200  	-120.2
47  	138   	-140.726	18.8175	-200  	-120.2
48  	163   	-140.246	18.6246	-200  	-120.2
49  	142   	-139.568	18.5699	-200  	-120.2
50  	159   	-138.959	18.3782	-200  	-120.2
51  	146   	-138.342	18.1167	-200  	-120.2
52  	147   	-137.77 	17.9964	-200  	-120.2
53  	157   	-137.212	17.7878	-200  	-120.2
54  	145   	-136.624	17.6423	-200  	-120.2
