gen 	nevals	avg     	std    	min  	max   
0   	200   	-303.733	269.162	-1000	-159.1
1   	146   	-215.376	112.17 	-1000	-159.1
2   	149   	-199.294	4.31233	-200 	-159.1
3   	147   	-198.935	4.93744	-200 	-159.1
4   	159   	-198.298	6.67912	-200 	-150.4
5   	149   	-197.362	8.80618	-200 	-145.8
6   	155   	-196.322	10.5065	-200 	-145.8
7   	155   	-195.393	11.6224	-200 	-145.8
8   	148   	-194.494	12.5773	-200 	-145.8
9   	146   	-193.832	13.0767	-200 	-145.8
10  	148   	-192.803	14.168 	-200 	-145.8
11  	149   	-192.058	14.7867	-200 	-145.8
12  	147   	-191.328	15.5209	-200 	-145.8
13  	144   	-190.415	16.3589	-200 	-145.8
14  	135   	-189.407	17.0337	-200 	-145.8
15  	145   	-188.173	17.6791	-200 	-145.8
16  	156   	-187.237	18.1692	-200 	-145.8
17  	158   	-186.167	18.8107	-200 	-136.5
18  	149   	-185.339	19.1761	-200 	-136.5
19  	147   	-184.01 	19.8659	-200 	-136.5
20  	152   	-183.315	20.154 	-200 	-136.5
21  	156   	-182.076	20.6225	-200 	-136.5
22  	155   	-181.104	21.3251	-200 	-121.1
23  	145   	-180.492	21.6157	-200 	-121.1
24  	158   	-179.288	21.9447	-200 	-121.1
25  	146   	-177.482	23.3523	-200 	-121.1
26  	157   	-176.057	24.2924	-200 	-121.1
27  	142   	-174.013	25.3297	-200 	-121.1
28  	141   	-170.645	26.5946	-200 	-121.1
29  	154   	-169.025	27.0899	-200 	-121.1
30  	126   	-165.986	27.9547	-200 	-121.1
31  	148   	-164.157	28.0551	-200 	-121.1
32  	146   	-162.284	28.0976	-200 	-121.1
33  	150   	-160.179	28.5587	-200 	-121.1
34  	148   	-158.194	28.7004	-200 	-121.1
35  	153   	-156.195	28.7163	-200 	-121.1
36  	143   	-154.69 	28.6611	-200 	-121.1
37  	150   	-153.498	28.039 	-200 	-121.1
38  	156   	-152.364	27.7667	-200 	-121.1
39  	145   	-150.987	27.4124	-200 	-121.1
40  	160   	-149.655	26.8862	-200 	-120.9
41  	151   	-148.168	26.4878	-200 	-120.9
42  	143   	-147.153	26.2193	-200 	-120.9
43  	162   	-146.19 	25.734 	-200 	-120.9
44  	140   	-145.125	25.3443	-200 	-120.9
45  	151   	-144.232	24.8661	-200 	-120.9
46  	154   	-143.63 	24.6616	-200 	-120.9
47  	138   	-142.002	23.9318	-200 	-120.9
48  	150   	-141.015	23.7373	-200 	-120.9
49  	156   	-139.957	23.368 	-200 	-120.9
50  	149   	-139.212	23.0168	-200 	-120.9
51  	153   	-138.825	22.9218	-200 	-120.9
52  	172   	-138.143	22.5756	-200 	-120.9
53  	161   	-137.266	22.2127	-200 	-120.9
54  	139   	-135.993	21.7685	-200 	-120.9
55  	147   	-135.374	21.7663	-200 	-120.9
56  	137   	-134.31 	21.5225	-200 	-120.9
57  	153   	-134.208	21.5301	-200 	-120.9
58  	144   	-133.398	21.0433	-200 	-120.9
59  	151   	-132.891	20.9348	-200 	-120.9
60  	152   	-132.331	20.7321	-200 	-120.9
61  	149   	-131.735	20.3433	-200 	-120.9
62  	151   	-131.414	20.329 	-200 	-120.9
63  	159   	-131.072	20.3556	-200 	-120.9
64  	146   	-130.561	20.1668	-200 	-120.9
65  	141   	-129.977	19.9629	-200 	-120.9
66  	148   	-129.716	19.747 	-200 	-120.9
67  	143   	-129.171	19.4528	-200 	-120.9
68  	161   	-129.121	19.3991	-200 	-120.9
69  	161   	-128.908	19.26  	-200 	-120.9
70  	145   	-128.802	19.2467	-200 	-120.9
71  	154   	-128.611	19.1344	-200 	-120.9
72  	149   	-128.415	19.076 	-200 	-120.9
73  	153   	-128.149	18.8305	-200 	-120.9
74  	145   	-128.066	18.8255	-200 	-120.9
75  	140   	-127.873	18.7969	-200 	-120.9
76  	146   	-127.871	18.7977	-200 	-120.9
77  	148   	-127.871	18.7977	-200 	-120.9
78  	136   	-127.87 	18.798 	-200 	-120.9
79  	142   	-127.869	18.7984	-200 	-120.9
80  	149   	-127.867	18.7991	-200 	-120.9
81  	151   	-127.866	18.7995	-200 	-120.9
82  	150   	-127.853	18.7945	-200 	-120.9
83  	157   	-127.84 	18.7887	-200 	-120.9
84  	160   	-127.839	18.789 	-200 	-120.9
85  	155   	-127.839	18.789 	-200 	-120.9
86  	164   	-127.838	18.7894	-200 	-120.9
87  	139   	-127.838	18.7894	-200 	-120.9
88  	138   	-127.838	18.7894	-200 	-120.9
89  	158   	-127.837	18.7898	-200 	-120.9
90  	151   	-127.765	18.7879	-200 	-120.9
91  	145   	-127.763	18.7886	-200 	-120.9
92  	150   	-127.762	18.7889	-200 	-120.9
93  	140   	-127.691	18.7881	-200 	-120.9
94  	143   	-127.636	18.6307	-200 	-120.9
95  	153   	-127.565	18.6294	-200 	-120.9
96  	152   	-127.495	18.6278	-200 	-120.9
97  	150   	-127.495	18.6278	-200 	-120.9
98  	155   	-127.495	18.6278	-200 	-120.9
99  	156   	-127.495	18.6278	-200 	-120.9
100 	151   	-127.495	18.6278	-200 	-120.9
101 	154   	-127.495	18.6278	-200 	-120.9
102 	158   	-127.495	18.6278	-200 	-120.9
103 	143   	-127.495	18.6278	-200 	-120.9
104 	151   	-127.495	18.6278	-200 	-120.9
105 	156   	-127.493	18.6285	-200 	-120.9
106 	147   	-127.491	18.6292	-200 	-120.9
107 	145   	-127.49 	18.6295	-200 	-120.9
108 	151   	-127.488	18.6302	-200 	-120.9
109 	144   	-127.487	18.6306	-200 	-120.9
110 	160   	-127.487	18.6306	-200 	-120.9
111 	148   	-127.487	18.6306	-200 	-120.9
112 	154   	-127.486	18.6309	-200 	-120.9
113 	156   	-127.486	18.6309	-200 	-120.9
114 	155   	-127.486	18.6309	-200 	-120.9
115 	145   	-127.485	18.6313	-200 	-120.9
116 	150   	-127.485	18.6313	-200 	-120.9
117 	145   	-127.485	18.6313	-200 	-120.9
118 	146   	-127.485	18.6313	-200 	-120.9
119 	144   	-127.485	18.6313	-200 	-120.9
120 	140   	-127.485	18.6313	-200 	-120.9
121 	144   	-127.484	18.6316	-200 	-120.9
122 	152   	-127.402	18.3744	-200 	-120.9
123 	148   	-127.402	18.3744	-200 	-120.9
124 	155   	-127.349	18.2132	-200 	-120.9
125 	158   	-127.296	18.0505	-200 	-120.9
126 	169   	-127.296	18.0505	-200 	-120.9
127 	144   	-127.296	18.0505	-200 	-120.9
128 	156   	-127.296	18.0505	-200 	-120.9
129 	149   	-127.296	18.0505	-200 	-120.9
130 	144   	-127.295	18.0508	-200 	-120.9
131 	151   	-127.295	18.0508	-200 	-120.9
132 	156   	-127.295	18.0508	-200 	-120.9
133 	139   	-127.295	18.0508	-200 	-120.9
134 	157   	-127.295	18.0508	-200 	-120.9
135 	145   	-127.295	18.0508	-200 	-120.9
136 	134   	-127.294	18.0512	-200 	-120.9
137 	153   	-127.294	18.0512	-200 	-120.9
138 	152   	-127.294	18.0512	-200 	-120.9
139 	159   	-127.293	18.0515	-200 	-120.9
140 	146   	-127.293	18.0515	-200 	-120.9
141 	143   	-127.293	18.0515	-200 	-120.9
142 	154   	-127.293	18.0515	-200 	-120.9
143 	149   	-127.293	18.0519	-200 	-120.9
144 	155   	-127.291	18.0522	-200 	-120.9
145 	156   	-127.291	18.0522	-200 	-120.9
146 	147   	-127.29 	18.0526	-200 	-120.9
147 	156   	-127.29 	18.0526	-200 	-120.9
148 	137   	-127.29 	18.0526	-200 	-120.9
149 	151   	-127.29 	18.0526	-200 	-120.9
150 	158   	-127.29 	18.0526	-200 	-120.9
151 	153   	-127.29 	18.0526	-200 	-120.9
152 	151   	-127.29 	18.0526	-200 	-120.9
