gen 	nevals	avg     	std     	min   	max   
0   	200   	-243.983	182.388 	-1000 	-196.6
1   	148   	-199.983	0.239815	-200  	-196.6
2   	142   	-199.953	0.485377	-200  	-194  
3   	150   	-199.877	0.801838	-200  	-192.9
4   	162   	-199.725	1.46498 	-200  	-188.5
5   	152   	-199.652	1.64049 	-200  	-188.5
6   	151   	-199.449	2.01211 	-200  	-188.5
7   	149   	-199.285	2.30833 	-200  	-188.5
8   	161   	-199.185	2.45941 	-200  	-188.5
9   	152   	-198.978	2.79417 	-200  	-185.4
10  	149   	-198.461	4.98777 	-200  	-142.9
11  	150   	-198.184	5.27193 	-200  	-142.9
12  	151   	-197.891	5.50358 	-200  	-142.9
13  	146   	-197.292	6.90614 	-200  	-142.9
14  	146   	-196.87 	7.18055 	-200  	-142.9
15  	154   	-196.145	8.27393 	-200  	-142.9
16  	146   	-195.526	8.82029 	-200  	-142.9
17  	139   	-194.751	10.2593 	-200  	-142.9
18  	142   	-194.141	10.8946 	-200  	-142.9
19  	149   	-193.697	11.4156 	-200  	-142.9
20  	164   	-193.37 	11.5213 	-200  	-142.9
21  	143   	-192.853	12.0886 	-200  	-142.9
22  	149   	-192.472	12.2265 	-200  	-142.9
23  	149   	-191.835	13.1289 	-200  	-142.9
24  	155   	-191.38 	13.7175 	-200  	-142.9
25  	155   	-190.142	15.305  	-200  	-142.3
26  	151   	-189.348	16.236  	-200  	-142.3
27  	138   	-188.637	16.6897 	-200  	-142.3
28  	154   	-187.706	17.2591 	-200  	-142.3
29  	146   	-186.799	17.8227 	-200  	-142.3
30  	145   	-186.121	18.0775 	-200  	-142.3
31  	135   	-184.653	19.2435 	-200  	-136.3
32  	148   	-183.574	19.9937 	-200  	-136.3
33  	159   	-182.583	20.8431 	-200  	-136.3
34  	154   	-181.394	21.6468 	-200  	-136.3
35  	145   	-180.241	22.4321 	-200  	-136.3
36  	138   	-179.12 	22.9402 	-200  	-136.3
37  	147   	-177.825	23.5226 	-200  	-130.9
38  	141   	-176.937	23.8633 	-200  	-130.9
39  	147   	-175.953	24.2097 	-200  	-130.9
40  	155   	-175.41 	24.345  	-200  	-130.9
41  	132   	-174.285	24.8409 	-200  	-130.9
42  	148   	-173.243	25.387  	-200  	-124.4
43  	162   	-172.187	25.8192 	-200  	-124.4
44  	158   	-171.37 	25.9829 	-200  	-124.4
45  	148   	-170.841	26.1117 	-200  	-124.4
46  	144   	-169.943	26.2274 	-200  	-124.4
47  	162   	-169.434	26.1802 	-200  	-124.4
48  	150   	-168.72 	26.3866 	-200  	-124.4
49  	149   	-167.873	26.499  	-200  	-124.4
50  	160   	-167.127	26.5713 	-200  	-124.4
51  	147   	-166.436	26.7998 	-200  	-124.4
52  	161   	-165.899	26.8202 	-200  	-124.4
53  	133   	-165.1  	26.8859 	-200  	-124.4
54  	159   	-164.54 	26.8368 	-200  	-124.4
55  	161   	-164.077	26.781  	-200  	-124.4
56  	154   	-163.344	26.7794 	-200  	-124.4
57  	139   	-162.644	26.7178 	-200  	-124.4
58  	140   	-162.094	26.4797 	-200  	-124.4
59  	140   	-161.484	26.4863 	-200  	-124.4
60  	152   	-160.899	26.6714 	-200  	-124.4
61  	143   	-160.319	26.4425 	-200  	-124.4
62  	157   	-159.963	26.4792 	-200  	-124.4
63  	151   	-159.526	26.4691 	-200  	-124.4
64  	140   	-158.665	26.1484 	-200  	-124.4
65  	148   	-158.35 	26.0073 	-200  	-124.4
66  	160   	-157.911	25.7744 	-200  	-124.4
67  	151   	-157.22 	25.5087 	-200  	-124.4
68  	153   	-156.487	25.0626 	-200  	-124.4
69  	133   	-156.048	24.7029 	-200  	-124.4
70  	149   	-155.535	24.3604 	-200  	-124.4
71  	143   	-154.922	23.9549 	-200  	-124.4
72  	149   	-154.497	23.728  	-200  	-124.4
73  	160   	-154.165	23.4714 	-200  	-124.4
74  	150   	-153.715	23.2271 	-200  	-124.4
75  	154   	-153.071	22.791  	-200  	-124.4
76  	157   	-152.696	22.648  	-200  	-124.4
77  	155   	-152.332	22.382  	-200  	-124.4
78  	149   	-151.936	22.1629 	-200  	-124.4
79  	138   	-151.45 	21.8375 	-200  	-124.4
80  	161   	-150.962	21.5749 	-200  	-124.4
81  	155   	-150.246	21.1901 	-200  	-124.4
82  	142   	-149.519	20.7047 	-200  	-124.4
83  	146   	-148.822	20.3626 	-200  	-124.4
84  	140   	-148.076	19.83   	-200  	-124.4
85  	149   	-147.593	19.4341 	-200  	-124.4
86  	156   	-147.139	19.1362 	-200  	-124.4
87  	147   	-146.757	18.9418 	-200  	-124.4
88  	157   	-146.265	18.5448 	-200  	-124.4
89  	148   	-145.79 	18.0652 	-200  	-124.4
90  	153   	-145.384	17.673  	-200  	-124.4
91  	163   	-144.988	17.342  	-200  	-124.4
92  	141   	-144.518	17.0997 	-200  	-124.4
93  	146   	-144.197	16.969  	-200  	-124.4
94  	145   	-143.849	16.7648 	-200  	-124.4
95  	152   	-143.576	16.7178 	-200  	-124.4
96  	158   	-143.323	16.6407 	-200  	-124.4
97  	152   	-143.054	16.599  	-200  	-124.4
98  	154   	-142.839	16.6042 	-200  	-124.4
99  	153   	-142.678	16.587  	-200  	-124.4
100 	140   	-142.504	16.5557 	-200  	-124.4
101 	148   	-142.257	16.3782 	-200  	-124.4
102 	152   	-141.925	16.2239 	-200  	-122.9
103 	153   	-141.571	16.2134 	-200  	-122.9
104 	144   	-141.3  	16.1691 	-200  	-122.9
105 	145   	-140.92 	16.0639 	-200  	-122.9
106 	156   	-140.612	15.9702 	-200  	-121.4
107 	151   	-140.179	15.8956 	-200  	-121.4
108 	151   	-139.979	15.8518 	-200  	-121.4
109 	145   	-139.776	15.7746 	-200  	-121.4
110 	150   	-139.463	15.7315 	-200  	-121.4
111 	154   	-139.219	15.6971 	-200  	-121.4
112 	145   	-138.953	15.6996 	-200  	-121.4
113 	152   	-138.667	15.6341 	-200  	-121.4
114 	135   	-138.405	15.6195 	-200  	-121.4
115 	143   	-138.169	15.6072 	-200  	-121.4
116 	159   	-137.947	15.5262 	-200  	-121.4
117 	153   	-137.644	15.4493 	-200  	-119.4
118 	151   	-137.423	15.4442 	-200  	-119.4
119 	153   	-137.104	15.3524 	-200  	-119.4
120 	133   	-136.741	15.2406 	-200  	-119.4
121 	143   	-136.605	15.2796 	-200  	-119.3
122 	154   	-136.381	15.1502 	-200  	-119.3
123 	160   	-136.345	15.1355 	-200  	-119.3
124 	150   	-136.043	14.9812 	-200  	-119.3
125 	153   	-135.874	14.8775 	-200  	-119.3
126 	150   	-135.684	14.7183 	-200  	-119.3
127 	153   	-135.593	14.7342 	-200  	-119.3
128 	148   	-135.499	14.7433 	-200  	-119.3
129 	147   	-135.403	14.7352 	-200  	-119.3
130 	149   	-135.328	14.7552 	-200  	-119.3
131 	134   	-135.245	14.7661 	-200  	-119.3
132 	150   	-135.14 	14.7918 	-200  	-119.3
133 	145   	-134.999	14.778  	-200  	-119.3
134 	154   	-134.864	14.7947 	-200  	-119.3
135 	139   	-134.75 	14.8308 	-200  	-119.3
136 	152   	-134.51 	14.5709 	-200  	-119.3
137 	148   	-134.225	14.1802 	-200  	-119.3
138 	159   	-134.139	14.1568 	-200  	-119.3
139 	134   	-133.697	13.3425 	-200  	-119.3
140 	153   	-133.495	13.2927 	-200  	-119.3
141 	138   	-133.262	13.0746 	-200  	-119.3
142 	139   	-133.22 	13.0693 	-200  	-119.3
143 	146   	-133.06 	12.8918 	-200  	-119.3
144 	150   	-132.785	12.0732 	-200  	-119.3
145 	142   	-132.492	11.144  	-200  	-119.3
146 	141   	-132.351	10.9411 	-200  	-119.3
147 	158   	-132.268	10.9342 	-200  	-119.3
148 	145   	-132.053	10.6501 	-200  	-119.3
149 	148   	-131.916	10.5962 	-200  	-119.3
150 	159   	-131.869	10.5953 	-200  	-119.3
151 	159   	-131.724	10.5097 	-200  	-119.3
152 	161   	-131.643	10.4724 	-200  	-119.3
153 	143   	-131.602	10.4788 	-200  	-119.3
154 	148   	-131.553	10.4133 	-200  	-119.3
155 	152   	-131.522	10.3819 	-200  	-119.3
156 	151   	-131.445	10.4119 	-200  	-118  
157 	152   	-131.417	10.4228 	-200  	-118  
158 	158   	-131.293	10.4489 	-200  	-118  
159 	148   	-131.225	10.4613 	-200  	-118  
160 	140   	-131.18 	10.462  	-200  	-118  
161 	149   	-131.12 	10.4704 	-200  	-118  
162 	142   	-131.019	10.4583 	-200  	-118  
163 	150   	-130.855	10.4974 	-200  	-118  
164 	153   	-130.747	10.5731 	-200  	-118  
165 	152   	-130.657	10.5478 	-200  	-118  
166 	150   	-130.494	10.5654 	-200  	-118  
167 	161   	-130.438	10.5774 	-200  	-118  
168 	141   	-130.289	10.5839 	-200  	-118  
169 	153   	-130.132	10.6109 	-200  	-118  
170 	162   	-130.017	10.6234 	-200  	-118  
171 	147   	-129.978	10.638  	-200  	-118  
172 	139   	-129.867	10.6041 	-200  	-118  
173 	150   	-129.79 	10.6393 	-200  	-118  
174 	157   	-129.678	10.6375 	-200  	-118  
175 	148   	-129.597	10.6416 	-200  	-118  
176 	156   	-129.5  	10.6859 	-200  	-118  
177 	155   	-129.411	10.6362 	-200  	-118  
178 	162   	-129.371	10.6564 	-200  	-118  
179 	141   	-129.325	10.6689 	-200  	-118  
180 	155   	-129.253	10.6903 	-200  	-118  
181 	147   	-129.178	10.6849 	-200  	-118  
182 	152   	-129.037	10.6703 	-200  	-118  
183 	151   	-128.968	10.6963 	-200  	-118  
184 	160   	-128.905	10.7103 	-200  	-118  
185 	151   	-128.785	10.6626 	-200  	-117.5
186 	152   	-128.715	10.6783 	-200  	-117.5
187 	153   	-128.635	10.6345 	-200  	-117.5
188 	139   	-128.58 	10.6553 	-200  	-117.5
189 	151   	-128.502	10.6902 	-200  	-116  
190 	159   	-128.428	10.7008 	-200  	-116  
191 	152   	-128.379	10.721  	-200  	-116  
192 	158   	-128.325	10.742  	-200  	-116  
193 	149   	-128.28 	10.7559 	-200  	-116  
194 	153   	-128.246	10.7751 	-200  	-116  
195 	155   	-128.197	10.7843 	-200  	-116  
196 	151   	-128.169	10.8067 	-200  	-116  
197 	155   	-128.135	10.8311 	-200  	-116  
198 	151   	-128.091	10.8444 	-200  	-116  
199 	162   	-128.06 	10.8618 	-200  	-116  
200 	156   	-128.029	10.8824 	-200  	-116  
201 	152   	-127.992	10.9041 	-200  	-116  
202 	153   	-127.975	10.9134 	-200  	-116  
203 	148   	-127.953	10.9257 	-200  	-116  
204 	145   	-127.903	10.9587 	-200  	-116  
205 	144   	-127.853	10.9894 	-200  	-116  
206 	152   	-127.817	11.0043 	-200  	-116  
207 	160   	-127.783	11.0123 	-200  	-116  
208 	141   	-127.767	11.0221 	-200  	-116  
209 	150   	-127.75 	11.0315 	-200  	-116  
210 	149   	-127.74 	11.0363 	-200  	-116  
211 	153   	-127.7  	11.0608 	-200  	-116  
212 	143   	-127.64 	11.0931 	-200  	-116  
213 	154   	-127.62 	11.107  	-200  	-116  
214 	152   	-127.594	11.124  	-200  	-116  
215 	162   	-127.539	11.147  	-200  	-116  
216 	158   	-127.521	11.152  	-200  	-116  
217 	153   	-127.474	11.1757 	-200  	-116  
218 	161   	-127.43 	11.1946 	-200  	-116  
219 	143   	-127.385	11.2189 	-200  	-116  
220 	152   	-127.37 	11.22   	-200  	-115.8
221 	140   	-127.328	11.2381 	-200  	-115.8
222 	147   	-127.293	11.2564 	-200  	-115.8
223 	147   	-127.272	11.2605 	-200  	-115.8
224 	152   	-127.237	11.2801 	-200  	-115.8
225 	158   	-127.213	11.2927 	-200  	-115.8
226 	143   	-127.192	11.3    	-200  	-115.8
227 	152   	-127.121	11.278  	-200  	-115.8
228 	149   	-127.096	11.2853 	-200  	-115.8
229 	148   	-127.061	11.2987 	-200  	-115.8
230 	155   	-127.029	11.3164 	-200  	-115.8
231 	136   	-126.957	11.2856 	-200  	-115.8
232 	164   	-126.903	11.2492 	-200  	-115.8
233 	147   	-126.897	11.2469 	-200  	-115.8
234 	149   	-126.888	11.2505 	-200  	-115.8
235 	142   	-126.83 	11.2165 	-200  	-115.8
236 	148   	-126.773	11.0786 	-195.1	-115.8
237 	155   	-126.756	11.0865 	-195.1	-115.8
238 	131   	-126.726	11.1027 	-195.1	-115.8
239 	151   	-126.713	11.1066 	-195.1	-115.8
240 	157   	-126.69 	11.1129 	-195.1	-115.8
241 	144   	-126.632	11.0743 	-195.1	-115.8
242 	145   	-126.605	11.0905 	-195.1	-113.5
243 	160   	-126.571	11.1109 	-195.1	-113.5
244 	149   	-126.546	11.1269 	-195.1	-113.5
245 	141   	-126.475	11.095  	-195.1	-113.5
246 	160   	-126.397	11.0783 	-195.1	-113.5
247 	154   	-126.378	11.0872 	-195.1	-113.5
248 	155   	-126.341	11.1138 	-195.1	-113.5
249 	149   	-126.304	11.1403 	-195.1	-113.5
250 	154   	-126.285	11.1501 	-195.1	-113.5
251 	157   	-126.26 	11.1602 	-195.1	-113.5
252 	151   	-126.227	11.1836 	-195.1	-113.5
253 	152   	-126.214	11.1865 	-195.1	-113.5
254 	153   	-126.199	11.1865 	-195.1	-113.5
255 	150   	-126.176	11.1933 	-195.1	-113.5
256 	150   	-126.106	11.1572 	-195.1	-113.5
257 	155   	-125.987	11.1174 	-195.1	-113.5
258 	145   	-125.925	11.1203 	-195.1	-113.5
