gen 	nevals	avg     	std    	min   	max   
0   	200   	-255.582	204.248	-1000 	-174.5
1   	200   	-199.231	3.45783	-200  	-174.5
2   	200   	-198.13 	7.49845	-200  	-124.9
3   	200   	-196.965	9.55443	-200  	-124.9
4   	200   	-196.112	10.4359	-200  	-124.9
5   	200   	-195.325	11.0463	-200  	-124.9
6   	200   	-193.864	12.9316	-200  	-124.9
7   	200   	-192.952	13.5279	-200  	-124.9
8   	200   	-191.093	15.337 	-200  	-124.9
9   	200   	-189.252	17.0556	-200  	-124.9
10  	200   	-187.373	18.5197	-200  	-124.9
11  	200   	-185.929	19.3697	-200  	-124.9
12  	200   	-184.515	20.1229	-200  	-124.9
13  	200   	-183.147	20.3332	-200  	-124.9
14  	200   	-181.884	20.3385	-200  	-124.9
15  	200   	-180.804	20.6259	-200  	-124.9
16  	200   	-179.402	20.9822	-200  	-124.9
17  	200   	-177.77 	21.4698	-200  	-124.9
18  	200   	-175.957	21.8846	-200  	-124.9
19  	200   	-174.185	22.3206	-200  	-124.9
20  	200   	-172.872	22.6045	-200  	-124.9
21  	200   	-171.88 	22.3956	-200  	-124.9
22  	200   	-169.901	22.4306	-200  	-124.9
23  	200   	-168.745	22.1862	-200  	-124.9
24  	200   	-167.535	22.0471	-200  	-124.9
25  	200   	-166.243	22.1099	-200  	-124.9
26  	200   	-165.389	22.0294	-200  	-124.9
27  	200   	-164.233	21.9218	-200  	-124.9
28  	200   	-163.476	21.698 	-200  	-124.9
29  	200   	-162.423	21.558 	-200  	-124.9
30  	200   	-161.65 	21.1702	-200  	-124.9
31  	200   	-160.646	20.6964	-200  	-124.9
32  	200   	-159.879	20.6007	-200  	-124.9
33  	200   	-159.306	20.3369	-200  	-124.9
34  	200   	-158.694	19.9006	-200  	-124.9
35  	200   	-158.072	19.607 	-200  	-124.9
36  	200   	-157.548	19.4256	-200  	-124.9
37  	200   	-156.649	19.0618	-194.3	-124.9
38  	200   	-156.264	18.9959	-194.3	-124.9
39  	200   	-155.651	19.0427	-194.3	-124.9
40  	200   	-155.159	18.8117	-194.3	-124.9
41  	200   	-154.172	18.161 	-189.8	-124.9
42  	200   	-153.226	17.7499	-189.8	-124.9
43  	200   	-152.421	17.3752	-189.8	-124.9
44  	200   	-151.811	17.0561	-189.8	-124.9
45  	200   	-151.107	16.6607	-189.8	-124.9
46  	200   	-150.692	16.2572	-187  	-124.9
47  	200   	-149.863	15.4799	-187  	-124.9
48  	200   	-149.04 	14.9642	-187  	-124.9
49  	200   	-148.638	14.6629	-187  	-124.9
50  	200   	-148.017	14.2165	-187  	-124.9
51  	200   	-147.696	13.857 	-187  	-124.9
52  	200   	-147.502	13.7362	-187  	-124.9
53  	200   	-147.176	13.3344	-187  	-124.9
54  	200   	-146.683	12.9692	-187  	-124.9
55  	200   	-146.244	12.5748	-187  	-124.9
56  	200   	-145.893	12.2587	-187  	-124.9
57  	200   	-145.594	12.0917	-187  	-124.9
58  	200   	-145.218	11.7312	-187  	-124.9
59  	200   	-144.859	11.4622	-187  	-124.9
60  	200   	-144.651	11.2526	-187  	-124.9
61  	200   	-144.066	10.6597	-187  	-124.9
62  	200   	-143.568	10.2841	-187  	-124.9
63  	200   	-143.3  	10.2631	-187  	-119.5
64  	200   	-143.119	10.0974	-187  	-119.5
65  	200   	-142.796	9.77352	-187  	-119.5
66  	200   	-142.725	9.75   	-187  	-119.5
67  	200   	-142.46 	9.35412	-185.2	-119.5
68  	200   	-142.283	9.09518	-185.2	-119.5
69  	200   	-142.033	8.69495	-185.2	-119.5
70  	200   	-141.807	8.65216	-185.2	-119.5
71  	200   	-141.294	8.63458	-185.2	-119.5
72  	200   	-141.083	8.52661	-185.2	-119.5
73  	200   	-140.903	8.43112	-185.2	-119.5
74  	200   	-140.755	8.43407	-185.2	-119.5
75  	200   	-140.466	8.14688	-185.2	-119.5
76  	200   	-140.245	7.96779	-185.2	-119.5
77  	200   	-140.007	7.71617	-185.2	-119.5
78  	200   	-139.766	7.67894	-185.2	-119.5
79  	200   	-139.56 	7.59779	-185.2	-119.5
80  	200   	-139.41 	7.53069	-185.2	-119.5
81  	200   	-139.276	7.42342	-185.2	-119.5
82  	200   	-139.16 	7.39625	-185.2	-119.5
83  	200   	-139.004	7.34328	-185.2	-119.5
84  	200   	-138.939	7.35272	-185.2	-119.5
85  	200   	-138.704	7.38631	-185.2	-119.5
86  	200   	-138.648	7.39445	-185.2	-119.5
87  	200   	-138.379	7.42195	-185.2	-119.5
88  	200   	-138.242	7.40606	-185.2	-119.5
89  	200   	-138.116	7.42004	-185.2	-119.5
90  	200   	-138.011	7.39186	-185.2	-119.5
91  	200   	-137.904	7.36741	-185.2	-119.5
92  	200   	-137.754	7.32981	-185.2	-119.5
93  	200   	-137.616	7.2462 	-185.2	-119.5
94  	200   	-137.517	7.23415	-185.2	-119.5
95  	200   	-137.413	7.23969	-185.2	-119.5
96  	200   	-137.352	7.25102	-185.2	-119.5
97  	200   	-137.285	7.25696	-185.2	-119.5
98  	200   	-137.107	7.31636	-185.2	-119.5
99  	200   	-136.98 	7.35728	-185.2	-119.5
100 	200   	-136.922	7.3535 	-185.2	-119.5
101 	200   	-136.721	7.46776	-185.2	-119.5
102 	200   	-136.62 	7.45062	-185.2	-119.5
103 	200   	-136.504	7.4562 	-185.2	-119.5
104 	200   	-136.379	7.45352	-185.2	-119.5
105 	200   	-136.298	7.44742	-185.2	-119.5
106 	200   	-136.212	7.43221	-185.2	-119.5
107 	200   	-136.144	7.42508	-185.2	-119.5
108 	200   	-136.085	7.42496	-185.2	-119.5
109 	200   	-135.975	7.3848 	-185.2	-119.5
110 	200   	-135.868	7.37532	-185.2	-119.5
111 	200   	-135.602	7.38249	-185.2	-119.5
112 	200   	-135.5  	7.32613	-185.2	-119.5
113 	200   	-135.372	7.34654	-185.2	-119.5
114 	200   	-135.133	7.32188	-185.2	-119.5
115 	200   	-135.012	7.35055	-185.2	-119.5
116 	200   	-134.918	7.33499	-185.2	-119.5
117 	200   	-134.804	7.34694	-185.2	-119.5
118 	200   	-134.706	7.34351	-185.2	-119.5
119 	200   	-134.643	7.33643	-185.2	-119.5
120 	200   	-134.562	7.32938	-185.2	-119.5
121 	200   	-134.421	7.31525	-185.2	-119.5
122 	200   	-134.243	7.35417	-185.2	-119.5
123 	200   	-134.181	7.36075	-185.2	-119.5
124 	200   	-134.007	7.40522	-185.2	-119.5
125 	200   	-133.847	7.44801	-185.2	-119.5
126 	200   	-133.711	7.4594 	-185.2	-119.5
127 	200   	-133.562	7.47577	-185.2	-119.5
128 	200   	-133.394	7.50118	-185.2	-119.5
129 	200   	-133.284	7.51102	-185.2	-119.5
130 	200   	-133.096	7.56091	-185.2	-119.5
131 	200   	-132.941	7.58965	-185.2	-119.5
132 	200   	-132.843	7.62536	-185.2	-119.5
133 	200   	-132.753	7.64977	-185.2	-119.5
134 	200   	-132.601	7.44132	-185.2	-119.5
135 	200   	-132.435	7.50706	-185.2	-119.5
136 	200   	-132.308	7.55716	-185.2	-119.5
137 	200   	-132.22 	7.56551	-185.2	-119.5
138 	200   	-132.155	7.57481	-185.2	-119.5
139 	200   	-132.044	7.59647	-185.2	-119.5
140 	200   	-131.887	7.6826 	-185.2	-119.5
141 	200   	-131.737	7.75129	-185.2	-119.5
142 	200   	-131.613	7.81137	-185.2	-119.5
143 	200   	-131.52 	7.84793	-185.2	-119.5
144 	200   	-131.339	7.93527	-185.2	-119.5
145 	200   	-131.24 	7.99248	-185.2	-119.5
146 	200   	-131.105	8.04397	-185.2	-119.5
147 	200   	-130.962	8.10532	-185.2	-119.5
148 	200   	-130.78 	8.15234	-185.2	-119.5
149 	200   	-130.488	7.9839 	-185.2	-119.5
150 	200   	-130.36 	8.00688	-185.2	-119.5
151 	200   	-130.253	8.04568	-185.2	-119.5
152 	200   	-130.116	8.05397	-185.2	-119.5
153 	200   	-130.048	8.05235	-185.2	-119.5
154 	200   	-129.985	8.07466	-185.2	-119.5
155 	200   	-129.845	8.10078	-185.2	-119.1
156 	200   	-129.726	8.11747	-185.2	-119.1
157 	200   	-129.638	8.12438	-185.2	-119.1
158 	200   	-129.48 	8.14395	-185.2	-119.1
159 	200   	-129.388	8.1666 	-185.2	-119.1
160 	200   	-129.214	8.20924	-185.2	-119.1
161 	200   	-129.023	8.19899	-185.2	-119.1
162 	200   	-128.867	8.22104	-185.2	-119.1
163 	200   	-128.736	8.24794	-185.2	-119.1
164 	200   	-128.561	8.26609	-185.2	-119.1
165 	200   	-128.419	8.30865	-185.2	-119.1
166 	200   	-128.335	8.33737	-185.2	-119.1
167 	200   	-128.213	8.35435	-185.2	-119.1
168 	200   	-128.097	8.36144	-185.2	-119.1
169 	200   	-128.04 	8.36202	-185.2	-119.1
170 	200   	-127.921	8.38237	-185.2	-119.1
171 	200   	-127.763	8.39216	-185.2	-119.1
172 	200   	-127.643	8.40617	-185.2	-119.1
173 	200   	-127.432	8.44497	-185.2	-117.7
174 	200   	-127.277	8.45648	-185.2	-117.7
175 	200   	-127.152	8.49254	-185.2	-117.7
176 	200   	-127.055	8.50059	-185.2	-117.7
177 	200   	-126.97 	8.5058 	-185.2	-117.7
178 	200   	-126.847	8.52621	-185.2	-117.7
179 	200   	-126.743	8.53595	-185.2	-117.6
180 	200   	-126.591	8.53827	-185.2	-117.6
181 	200   	-126.48 	8.55145	-185.2	-117.6
182 	200   	-126.354	8.56485	-185.2	-117.6
183 	200   	-126.224	8.58912	-185.2	-117.6
184 	200   	-126.133	8.58845	-185.2	-117.6
185 	200   	-126.007	8.58492	-185.2	-117.6
186 	200   	-125.908	8.57292	-185.2	-117.6
187 	200   	-125.763	8.55791	-185.2	-117.6
188 	200   	-125.676	8.57677	-185.2	-117.6
189 	200   	-125.552	8.59326	-185.2	-117.6
190 	200   	-125.427	8.58409	-185.2	-117.6
191 	200   	-125.334	8.61307	-185.2	-117.6
192 	200   	-125.267	8.61189	-185.2	-117.2
193 	200   	-125.186	8.61827	-185.2	-117.2
194 	200   	-125.074	8.60603	-185.2	-117.2
195 	200   	-124.941	8.63047	-185.2	-117.2
196 	200   	-124.873	8.63669	-185.2	-117.2
197 	200   	-124.819	8.65494	-185.2	-117.2
198 	200   	-124.689	8.65829	-185.2	-117.2
199 	200   	-124.58 	8.65942	-185.2	-117.2
200 	200   	-124.484	8.6651 	-185.2	-117.2
201 	200   	-124.38 	8.64948	-185.2	-117.2
202 	200   	-124.334	8.66387	-185.2	-117.2
203 	200   	-124.162	8.67   	-185.2	-116.7
204 	200   	-123.867	8.64885	-185.2	-116.2
205 	200   	-123.71 	8.63895	-185.2	-116.2
206 	200   	-123.647	8.64183	-185.2	-116.2
207 	200   	-123.515	8.64734	-185.2	-116.2
208 	200   	-123.35 	8.63294	-185.2	-116.2
209 	200   	-123.221	8.61207	-185.2	-116.2
210 	200   	-123.032	8.57468	-185.2	-116.2
211 	200   	-122.87 	8.56334	-185.2	-116.2
212 	200   	-122.769	8.56515	-185.2	-116.2
213 	200   	-122.703	8.55735	-185.2	-116.2
214 	200   	-122.548	8.55367	-185.2	-116.2
215 	200   	-122.397	8.56389	-185.2	-116.2
216 	200   	-122.29 	8.57909	-185.2	-116.2
