gen	nevals	avg     	std    	min  	max  
0  	200   	-316.368	474.523	-1000	144.1
1  	200   	-86.5875	304.878	-1000	144.1
2  	200   	8.4185  	104.562	-1000	270.3
3  	200   	22.23   	27.6132	9.3  	270.3
4  	200   	28.683  	44.8309	9.3  	500  
5  	200   	33.85   	46.5854	9.9  	500  
6  	200   	39.913  	50.367 	9.9  	500  
7  	200   	53.0155 	77.4435	9.9  	500  
8  	200   	63.83   	87.0481	9.9  	500  
9  	200   	72.35   	92.7388	9.9  	500  
10 	200   	89.8575 	116.688	9.9  	500  
11 	200   	99.702  	122.472	9.9  	500  
12 	200   	114.814 	133.341	9.9  	500  
13 	200   	133.703 	147.328	9.9  	500  
14 	200   	149.19  	156.816	9.9  	500  
15 	200   	177.382 	171.011	9.9  	500  
16 	200   	202.831 	179.281	11.1 	500  
17 	200   	224.744 	183.889	11.1 	500  
18 	200   	240.195 	184.965	11.1 	500  
19 	200   	276.384 	189.061	11.1 	500  
20 	200   	297.471 	190.831	17.5 	500  
21 	200   	324.183 	187.622	18.7 	500  
22 	200   	341.842 	183.316	18.7 	500  
23 	200   	357.83  	178.593	18.7 	500  
24 	200   	380.016 	167.796	28   	500  
25 	200   	399.057 	156.71 	37.1 	500  
26 	200   	409.393 	150.414	37.1 	500  
27 	200   	421.893 	142.033	37.1 	500  
28 	200   	425.613 	139.631	37.1 	500  
29 	200   	430.587 	136.824	37.1 	500  
30 	200   	441.719 	127.268	37.1 	500  
31 	200   	448.694 	117.987	66.3 	500  
32 	200   	456.284 	111.519	66.3 	500  
33 	200   	463.702 	103.487	66.3 	500  
34 	200   	466.718 	101.089	66.3 	500  
35 	200   	472.089 	93.266 	66.3 	500  
36 	200   	476.358 	85.0817	71.5 	500  
37 	200   	479.603 	79.0644	71.5 	500  
38 	200   	481.945 	72.6435	89.1 	500  
39 	200   	483.798 	68.5589	89.1 	500  
40 	200   	485.397 	65.0992	89.1 	500  
41 	200   	486.17  	64.3469	89.1 	500  
42 	200   	486.17  	64.3469	89.1 	500  
43 	200   	487.036 	63.354 	89.1 	500  
44 	200   	488.767 	58.7907	89.1 	500  
45 	200   	492.778 	50.7435	89.1 	500  
46 	200   	497.021 	31.7245	89.1 	500  
47 	200   	497.021 	31.7245	89.1 	500  
48 	200   	497.021 	31.7245	89.1 	500  
49 	200   	497.021 	31.7245	89.1 	500  
50 	200   	497.021 	31.7245	89.1 	500  
