gen	nevals	avg     	std    	min  	max  
0  	200   	-315.793	474.915	-1000	143.7
1  	200   	-39.711 	232.494	-1000	143.7
2  	200   	8.2995  	103.913	-1000	143.7
3  	200   	27.4665 	39.971 	9.4  	409.1
4  	200   	33.2625 	43.1003	9.4  	409.1
5  	200   	39.0025 	45.9034	9.4  	409.1
6  	200   	45.0725 	47.999 	9.4  	409.1
7  	200   	55.102  	51.9699	9.9  	409.1
8  	200   	65.93   	60.9179	9.9  	409.1
9  	200   	76.396  	68.5042	9.9  	500  
10 	200   	88.7155 	77.5152	9.9  	500  
11 	200   	96.704  	83.6315	9.9  	500  
12 	200   	109.438 	101.376	9.9  	500  
13 	200   	123.765 	111.489	9.9  	500  
14 	200   	134.707 	118.854	9.9  	500  
15 	200   	146.463 	122.825	9.9  	500  
16 	200   	166.625 	132.204	9.9  	500  
17 	200   	179.202 	135.755	9.9  	500  
18 	200   	195.295 	149.387	9.9  	500  
19 	200   	204.827 	152.769	9.9  	500  
20 	200   	228.78  	162.372	9.9  	500  
21 	200   	250.733 	168.632	9.9  	500  
22 	200   	279.498 	173.707	9.9  	500  
23 	200   	294.97  	171.875	14.5 	500  
24 	200   	323.488 	170.222	14.5 	500  
25 	200   	347.68  	162.986	14.5 	500  
26 	200   	359.758 	157.764	15.3 	500  
27 	200   	367.691 	156.782	15.3 	500  
28 	200   	383.148 	152.85 	15.3 	500  
29 	200   	397.531 	147.064	15.3 	500  
30 	200   	406.198 	143.698	15.3 	500  
31 	200   	420.197 	135.732	35.2 	500  
32 	200   	426.513 	132.061	35.2 	500  
33 	200   	432.826 	128.763	35.2 	500  
34 	200   	440.368 	124.652	35.2 	500  
35 	200   	452.149 	113.903	35.2 	500  
36 	200   	460.592 	105.485	35.2 	500  
37 	200   	465.209 	101.442	35.2 	500  
38 	200   	471.759 	91.2236	35.2 	500  
39 	200   	473.159 	90.4364	35.2 	500  
40 	200   	477.918 	83.7011	35.2 	500  
41 	200   	480.284 	80.01  	35.2 	500  
42 	200   	484.259 	73.6284	35.2 	500  
43 	200   	486.041 	69.5651	35.2 	500  
44 	200   	491.915 	51.2639	81.5 	500  
45 	200   	491.915 	51.2639	81.5 	500  
46 	200   	492.112 	49.7394	120.9	500  
47 	200   	494.942 	41.1572	120.9	500  
48 	200   	496.837 	31.4788	176.9	500  
49 	200   	496.837 	31.4788	176.9	500  
50 	200   	498.452 	21.8302	190.5	500  
