gen	nevals	avg     	std    	min  	max  
0  	200   	-316.284	474.599	-1000	123.7
1  	200   	-46.543 	241.433	-1000	123.7
2  	200   	20.6425 	47.9133	9.4  	500  
3  	200   	24.197  	50.1393	9.4  	500  
4  	200   	29.704  	53.1637	9.4  	500  
5  	200   	42.975  	79.8979	9.4  	500  
6  	200   	47.2805 	79.8656	9.6  	500  
7  	200   	54.5625 	87.1586	9.6  	500  
8  	200   	67.128  	101.514	9.6  	500  
9  	200   	80.7495 	113.002	9.6  	500  
10 	200   	88.26   	115.642	9.6  	500  
11 	200   	105.948 	132.633	9.6  	500  
12 	200   	118.841 	137.951	9.6  	500  
13 	200   	141.103 	152.37 	9.6  	500  
14 	200   	163.882 	162.296	9.6  	500  
15 	200   	171.4   	163.134	9.6  	500  
16 	200   	194.507 	170.482	10.5 	500  
17 	200   	218.787 	178.134	10.5 	500  
18 	200   	243.023 	184.698	11   	500  
19 	200   	261.746 	187.412	11   	500  
20 	200   	281.341 	188.74 	11   	500  
21 	200   	304.968 	189.12 	11   	500  
22 	200   	329.681 	185.678	11   	500  
23 	200   	352.818 	179.388	11   	500  
24 	200   	369.971 	171.922	11   	500  
25 	200   	391.074 	162.077	11   	500  
26 	200   	400.379 	158.291	24.3 	500  
27 	200   	419.919 	146.926	26.7 	500  
28 	200   	430.753 	138.64 	32.3 	500  
29 	200   	436.951 	133.915	32.3 	500  
30 	200   	450.227 	121.545	32.3 	500  
31 	200   	461.236 	107.487	32.3 	500  
32 	200   	473.654 	87.9548	53.1 	500  
33 	200   	474.748 	87.4619	53.1 	500  
34 	200   	479.334 	79.0589	53.1 	500  
35 	200   	481.747 	76.0852	53.1 	500  
36 	200   	482.227 	75.9641	53.1 	500  
37 	200   	484.322 	70.4444	53.1 	500  
38 	200   	486.001 	66.699 	53.1 	500  
39 	200   	488.531 	59.2202	65.6 	500  
40 	200   	489.343 	58.2493	65.6 	500  
41 	200   	490.499 	56.1141	65.6 	500  
42 	200   	492.796 	47.3345	91   	500  
43 	200   	493.735 	45.5706	91   	500  
44 	200   	493.735 	45.5706	91   	500  
45 	200   	495.78  	35.5206	163.2	500  
46 	200   	495.78  	35.5206	163.2	500  
47 	200   	495.78  	35.5206	163.2	500  
48 	200   	495.78  	35.5206	163.2	500  
49 	200   	497.464 	26.5692	163.2	500  
50 	200   	497.464 	26.5692	163.2	500  
