gen	nevals	avg     	std    	min  	max
0  	200   	-223.398	439.551	-1000	500
1  	200   	-5.5855 	184.664	-1000	500
2  	200   	31.957  	110.895	-1000	500
3  	200   	46.6535 	85.1106	9.3  	500
4  	200   	58.316  	98.501 	9.3  	500
5  	200   	75.8095 	111.757	9.6  	500
6  	200   	83.073  	118.528	9.6  	500
7  	200   	94.974  	124.712	9.6  	500
8  	200   	108.188 	131.967	9.6  	500
9  	200   	136.45  	151.937	9.6  	500
10 	200   	161.898 	163.353	9.6  	500
11 	200   	183.26  	170.049	9.6  	500
12 	200   	200.611 	176.621	9.6  	500
13 	200   	218.188 	180.512	9.6  	500
14 	200   	242.002 	184.911	9.6  	500
15 	200   	261.15  	190.36 	9.6  	500
16 	200   	284.747 	190.185	9.6  	500
17 	200   	303.13  	189.179	9.6  	500
18 	200   	318.298 	186.369	9.6  	500
19 	200   	331.254 	184.926	9.6  	500
20 	200   	348.281 	181.544	9.6  	500
21 	200   	362.441 	178.302	9.6  	500
22 	200   	375.123 	174.231	9.6  	500
23 	200   	388.381 	167.984	9.6  	500
24 	200   	409.837 	155.893	9.6  	500
25 	200   	424.613 	145.704	22.5 	500
26 	200   	428.36  	142.745	22.5 	500
27 	200   	432.528 	139.867	33.4 	500
28 	200   	442.259 	130.065	33.4 	500
29 	200   	453.623 	117.736	33.4 	500
30 	200   	459.703 	111.831	33.4 	500
31 	200   	466.64  	101.838	33.4 	500
32 	200   	470.179 	96.6527	33.4 	500
33 	200   	472.868 	93.2669	33.4 	500
34 	200   	474.406 	91.059 	33.4 	500
35 	200   	474.799 	89.9058	33.4 	500
36 	200   	478.038 	84.5897	33.4 	500
37 	200   	478.323 	84.6144	33.4 	500
38 	200   	483.782 	73.3311	33.4 	500
39 	200   	483.782 	73.3311	33.4 	500
40 	200   	486.115 	66.0235	68.1 	500
41 	200   	490.022 	56.9997	68.1 	500
42 	200   	493.106 	48.3293	68.1 	500
43 	200   	494.356 	45.1514	68.1 	500
44 	200   	494.356 	45.1514	68.1 	500
45 	200   	494.356 	45.1514	68.1 	500
46 	200   	496.129 	37.7777	68.1 	500
47 	200   	496.129 	37.7777	68.1 	500
48 	200   	496.129 	37.7777	68.1 	500
49 	200   	496.129 	37.7777	68.1 	500
50 	200   	496.129 	37.7777	68.1 	500
