gen	nevals	avg     	std    	min  	max
0  	200   	-305.053	479.836	-1000	500
1  	200   	-39.7245	249.343	-1000	500
2  	200   	16.7485 	124.229	-1000	500
3  	200   	39.611  	89.0757	9.3  	500
4  	200   	46.5455 	99.2795	9.3  	500
5  	200   	56.965  	113.737	10   	500
6  	200   	69.8185 	125.365	10   	500
7  	200   	86.8795 	137.122	10   	500
8  	200   	101.341 	144.366	10   	500
9  	200   	121.141 	152.361	10   	500
10 	200   	134.933 	155.485	10   	500
11 	200   	161.888 	166.817	10   	500
12 	200   	179.266 	170.441	10   	500
13 	200   	210.629 	177.603	10.8 	500
14 	200   	236.934 	179.082	10.9 	500
15 	200   	253.656 	181.353	10.9 	500
16 	200   	269.049 	180.826	10.9 	500
17 	200   	283.216 	180.925	10.9 	500
18 	200   	313.118 	177.269	10.9 	500
19 	200   	325.223 	174.615	12.6 	500
20 	200   	334.441 	172.626	12.6 	500
21 	200   	352.333 	166.489	13.5 	500
22 	200   	372.527 	160.914	13.5 	500
23 	200   	386.716 	155.879	13.5 	500
24 	200   	397.954 	153.118	13.5 	500
25 	200   	418.86  	139.995	14.8 	500
26 	200   	429.296 	134.845	14.8 	500
27 	200   	435.633 	129.129	14.8 	500
28 	200   	438.566 	128.216	14.8 	500
29 	200   	449.503 	117.253	14.8 	500
30 	200   	456.16  	107.988	14.8 	500
31 	200   	460.603 	103.609	20.7 	500
32 	200   	464.318 	98.2891	20.7 	500
33 	200   	466.831 	95.6622	20.7 	500
34 	200   	469.256 	92.3015	62.5 	500
35 	200   	469.406 	92.3269	62.5 	500
36 	200   	471.909 	90.6283	62.5 	500
37 	200   	474.933 	85.8559	62.5 	500
38 	200   	475.442 	85.7006	62.5 	500
39 	200   	475.442 	85.7006	62.5 	500
40 	200   	477.617 	83.0424	62.5 	500
41 	200   	480.034 	78.1957	62.5 	500
42 	200   	483.422 	71.7904	62.5 	500
43 	200   	483.921 	71.5566	62.5 	500
44 	200   	483.921 	71.5566	62.5 	500
45 	200   	488.754 	60.5223	62.5 	500
46 	200   	490.543 	55.3225	62.5 	500
47 	200   	492.169 	50.5924	62.5 	500
48 	200   	492.169 	50.5924	62.5 	500
49 	200   	493.257 	49.5109	62.5 	500
50 	200   	493.94  	48.6509	62.5 	500
