gen	nevals	avg     	std    	min  	max
0  	200   	-342.275	490.236	-1000	500
1  	200   	-35.5375	238.533	-1000	500
2  	200   	26.075  	62.646 	9.6  	500
3  	200   	40.276  	91.4206	9.6  	500
4  	200   	50.046  	100.384	9.6  	500
5  	200   	57.5205 	101.543	9.6  	500
6  	200   	72.772  	114.542	9.7  	500
7  	200   	98.7415 	139.251	9.7  	500
8  	200   	112.685 	143.219	9.7  	500
9  	200   	133.522 	154.575	9.7  	500
10 	200   	162.345 	163.567	10.2 	500
11 	200   	179.398 	167.853	10.2 	500
12 	200   	200.559 	175.364	10.2 	500
13 	200   	222.227 	180.014	10.2 	500
14 	200   	247.718 	182.436	12.3 	500
15 	200   	269.606 	181.186	12.3 	500
16 	200   	285.159 	179.477	12.3 	500
17 	200   	300.649 	177.747	19.1 	500
18 	200   	313.143 	177.395	19.1 	500
19 	200   	336.932 	173.642	19.1 	500
20 	200   	350.775 	169.392	30.8 	500
21 	200   	370.789 	165.283	30.8 	500
22 	200   	380.742 	160.392	30.8 	500
23 	200   	396.341 	154.972	30.8 	500
24 	200   	406.488 	151.122	30.8 	500
25 	200   	418.637 	144.931	30.8 	500
26 	200   	428.957 	135.895	31.9 	500
27 	200   	444.734 	121.743	31.9 	500
28 	200   	447.176 	121.074	31.9 	500
29 	200   	456.729 	106.375	39   	500
30 	200   	461.221 	100.267	53.1 	500
31 	200   	463.922 	98.479 	53.1 	500
32 	200   	470.459 	88.8088	53.1 	500
33 	200   	473.186 	84.7291	53.1 	500
34 	200   	479.262 	70.4629	135.2	500
35 	200   	479.508 	70.4492	135.2	500
36 	200   	479.818 	69.5539	135.2	500
37 	200   	481.942 	66.8768	135.2	500
38 	200   	483.993 	62.1821	171.6	500
39 	200   	484.247 	62.1438	171.6	500
40 	200   	485.112 	61.1437	171.6	500
41 	200   	486.346 	58.8981	171.6	500
42 	200   	486.59  	58.8534	171.6	500
43 	200   	489.572 	51.4133	171.6	500
44 	200   	490.891 	48.1809	171.6	500
45 	200   	490.909 	48.1837	171.6	500
46 	200   	495.316 	35.4737	171.6	500
47 	200   	495.316 	35.4737	171.6	500
48 	200   	495.316 	35.4737	171.6	500
49 	200   	495.316 	35.4737	171.6	500
50 	200   	495.316 	35.4737	171.6	500
