gen	nevals	avg     	std    	min  	max  
0  	200   	-41.8955	231.721	-1000	163.9
1  	200   	7.0195  	103.157	-1000	163.9
2  	200   	21.298  	24.5139	9.3  	163.9
3  	200   	26.975  	32.9748	9.3  	181.8
4  	200   	33.642  	38.7524	9.3  	181.8
5  	200   	36.681  	38.9765	9.6  	181.8
6  	200   	43.668  	45.2408	9.6  	234.6
7  	200   	49.11   	47.9938	9.6  	234.6
8  	200   	55.4935 	50.8875	9.6  	234.6
9  	200   	60.0755 	53.5519	9.6  	262.5
10 	200   	65.0555 	54.6787	9.6  	262.5
11 	200   	69.156  	55.0708	9.6  	262.5
12 	200   	75.5825 	57.3758	9.6  	262.5
13 	200   	79.4775 	58.1052	9.6  	262.5
14 	200   	84.461  	58.2766	9.6  	262.5
15 	200   	89.699  	58.7324	9.6  	262.5
16 	200   	93.4785 	59.0276	9.6  	262.5
17 	200   	96.847  	58.2311	9.6  	262.5
18 	200   	102.508 	58.5077	9.6  	262.5
19 	200   	106.507 	59.9336	16.5 	325.5
20 	200   	110.671 	59.8001	16.5 	325.5
21 	200   	114.212 	59.5973	16.5 	325.5
22 	200   	116.822 	59.4534	24.6 	325.5
23 	200   	120.665 	59.0077	24.6 	325.5
24 	200   	124.567 	58.0554	32.6 	325.5
25 	200   	127.572 	59.0834	32.6 	325.5
26 	200   	130.582 	59.2359	32.6 	325.5
27 	200   	133.458 	57.9568	32.6 	325.5
28 	200   	136.458 	57.0585	32.6 	325.5
29 	200   	140.069 	57.0451	32.6 	325.5
30 	200   	142.411 	56.2338	32.6 	325.5
31 	200   	145.772 	55.999 	32.6 	325.5
32 	200   	148.448 	57.0277	32.6 	325.5
33 	200   	151.659 	55.8361	32.6 	325.5
34 	200   	153.272 	55.7476	32.6 	325.5
35 	200   	154.364 	55.8146	32.6 	325.5
36 	200   	156.204 	56.8356	32.6 	325.5
37 	200   	158.948 	56.3884	32.6 	325.5
38 	200   	164.144 	64.5057	32.6 	477.8
39 	200   	166.564 	63.5831	32.6 	477.8
40 	200   	170.095 	63.8342	32.6 	477.8
41 	200   	174.042 	66.8926	32.6 	477.8
42 	200   	175.734 	67.2353	32.6 	477.8
43 	200   	177.325 	67.2721	32.6 	477.8
44 	200   	180.283 	66.8845	32.6 	477.8
45 	200   	183.014 	68.0536	32.6 	477.8
46 	200   	184.768 	67.8776	32.6 	477.8
47 	200   	185.997 	67.6168	32.6 	477.8
48 	200   	188.98  	69.383 	32.6 	477.8
49 	200   	190.593 	69.2657	32.6 	477.8
50 	200   	191.912 	69.3336	32.6 	477.8
51 	200   	194.135 	68.9732	32.6 	477.8
52 	200   	196.195 	70.7659	32.6 	477.8
53 	200   	198.787 	71.9391	32.6 	500  
54 	200   	199.93  	71.3327	32.6 	500  
55 	200   	200.891 	71.0383	32.6 	500  
56 	200   	201.746 	70.8852	32.6 	500  
57 	200   	203.112 	70.542 	32.6 	500  
58 	200   	205.386 	72.3172	32.6 	500  
59 	200   	209.302 	76.2383	32.6 	500  
60 	200   	211.511 	77.8421	37   	500  
61 	200   	214.487 	79.7244	37   	500  
62 	200   	215.282 	79.4374	37   	500  
63 	200   	216.743 	79.4399	37   	500  
64 	200   	220.847 	83.0064	37   	500  
65 	200   	222.023 	83.0544	37   	500  
66 	200   	226.559 	86.7645	37   	500  
67 	200   	227.866 	86.1985	37   	500  
68 	200   	231.407 	88.3626	37   	500  
69 	200   	232.283 	87.9504	37   	500  
70 	200   	234.416 	88.4539	37   	500  
71 	200   	236.368 	89.0037	37   	500  
72 	200   	239.298 	89.6421	37   	500  
73 	200   	241.706 	90.9918	37   	500  
74 	200   	243.343 	91.5934	37   	500  
75 	200   	244.429 	91.1492	37   	500  
76 	200   	245.933 	91.7249	37   	500  
77 	200   	248.255 	92.4639	37   	500  
78 	200   	249.718 	92.9063	37   	500  
79 	200   	251.17  	93.5183	37   	500  
80 	200   	252.877 	93.7139	37   	500  
81 	200   	253.671 	93.2996	37   	500  
82 	200   	255.933 	93.9822	37   	500  
83 	200   	257.63  	94.1279	37   	500  
84 	200   	259.844 	95.7515	37   	500  
85 	200   	260.805 	95.3053	37   	500  
86 	200   	262.512 	95.4998	37   	500  
87 	200   	264.004 	94.5138	37   	500  
88 	200   	264.5   	94.4254	37   	500  
89 	200   	265.855 	94.4176	37   	500  
90 	200   	267.228 	94.103 	37   	500  
91 	200   	269.316 	95.2778	37   	500  
92 	200   	270.829 	95.3343	37   	500  
93 	200   	272.872 	96.2065	37   	500  
94 	200   	275.315 	97.3897	37   	500  
95 	200   	276.034 	97.7543	37   	500  
96 	200   	276.482 	97.7797	37   	500  
97 	200   	277.561 	97.1373	37   	500  
98 	200   	279.009 	97.8256	37   	500  
99 	200   	279.311 	97.721 	37   	500  
100	200   	281.827 	99.2395	37   	500  
