gen	nevals	avg     	std    	min  	max  
0  	200   	-61.4225	268.452	-1000	331.2
1  	200   	15.7215 	81.0598	-1000	331.2
2  	200   	30.9685 	49.6777	9.4  	331.2
3  	200   	40.2795 	60.5105	9.4  	331.2
4  	200   	46.435  	62.6826	9.4  	331.2
5  	200   	55.796  	67.7402	9.4  	331.2
6  	200   	63.3975 	73.712 	9.4  	456.8
7  	200   	70.286  	73.7537	9.9  	456.8
8  	200   	75.2775 	73.7075	9.9  	456.8
9  	200   	84.1455 	79.3539	9.9  	486.3
10 	200   	91.051  	82.5222	9.9  	486.3
11 	200   	98.166  	87.0517	9.9  	486.3
12 	200   	103.517 	90.475 	9.9  	486.3
13 	200   	108.954 	91.2151	9.9  	486.3
14 	200   	114.42  	90.7487	10   	486.3
15 	200   	118.694 	90.2163	10   	486.3
16 	200   	121.814 	92.1113	10   	486.3
17 	200   	123.668 	91.3892	14.5 	486.3
18 	200   	126.215 	91.2959	14.5 	486.3
19 	200   	128.258 	90.8644	15.9 	486.3
20 	200   	131.068 	90.075 	15.9 	486.3
21 	200   	134.373 	89.3568	15.9 	486.3
22 	200   	136.733 	89.4372	15.9 	486.3
23 	200   	140.811 	91.4016	15.9 	486.3
24 	200   	144.92  	92.8789	15.9 	486.3
25 	200   	147.415 	92.2277	15.9 	486.3
26 	200   	151.84  	93.7614	37.2 	486.3
27 	200   	155.96  	92.1244	38.8 	486.3
28 	200   	158.44  	91.6178	38.8 	486.3
29 	200   	163.411 	91.5375	44.4 	486.3
30 	200   	166.824 	90.3919	47.2 	486.3
31 	200   	169.903 	90.6457	47.2 	486.3
32 	200   	172.41  	89.7394	47.2 	486.3
33 	200   	176.451 	87.7568	49.5 	486.3
34 	200   	178.942 	88.8639	49.5 	486.3
35 	200   	184.186 	90.1812	49.5 	486.3
36 	200   	188.641 	91.1532	49.5 	486.3
37 	200   	194.201 	94.4448	49.5 	486.3
38 	200   	199.074 	97.7414	49.5 	491.5
39 	200   	202.754 	97.6625	49.5 	491.5
40 	200   	206.134 	96.7569	49.5 	491.5
41 	200   	209.675 	97.5366	58   	491.5
42 	200   	213.214 	97.7229	58   	491.5
43 	200   	217.442 	97.4057	58   	491.5
44 	200   	219.088 	96.7229	58   	491.5
45 	200   	222.704 	94.8837	58   	491.5
46 	200   	226.058 	94.4256	58   	500  
47 	200   	227.519 	93.7262	58   	500  
48 	200   	228.849 	93.7497	58   	500  
49 	200   	230.33  	92.855 	58   	500  
50 	200   	232.303 	92.3778	58   	500  
51 	200   	235.703 	93.4893	58   	500  
52 	200   	237.729 	93.1408	58   	500  
53 	200   	240.357 	93.0968	58   	500  
54 	200   	242.993 	93.245 	58   	500  
55 	200   	245.179 	93.4914	58   	500  
56 	200   	247.593 	93.6702	58   	500  
57 	200   	249.905 	93.786 	58   	500  
58 	200   	251.743 	92.5881	102.1	500  
59 	200   	252.861 	92.2537	102.1	500  
60 	200   	254.702 	92.3993	102.1	500  
61 	200   	256.183 	91.275 	102.1	500  
62 	200   	258.173 	92.1837	102.1	500  
63 	200   	260.281 	92.809 	102.1	500  
64 	200   	262.713 	91.4056	102.1	500  
65 	200   	264.835 	90.716 	102.1	500  
66 	200   	266.164 	89.8425	102.1	500  
67 	200   	267.839 	89.9165	102.1	500  
68 	200   	269.663 	88.8388	102.1	500  
69 	200   	270.758 	88.3179	102.1	500  
70 	200   	274.351 	90.0609	102.1	500  
71 	200   	275.504 	89.4946	102.1	500  
72 	200   	275.916 	89.0534	102.1	500  
73 	200   	277.573 	90.0906	102.1	500  
74 	200   	278.303 	89.6358	102.1	500  
75 	200   	278.613 	89.5451	102.1	500  
76 	200   	279.208 	89.2393	102.1	500  
77 	200   	279.957 	88.8688	102.1	500  
78 	200   	280.768 	88.6114	102.1	500  
79 	200   	281.866 	88.3618	102.1	500  
80 	200   	283.088 	87.7044	102.1	500  
81 	200   	285.481 	87.828 	102.1	500  
82 	200   	286.083 	87.5694	102.1	500  
83 	200   	288.294 	88.3189	102.1	500  
84 	200   	289.059 	88.6131	102.1	500  
85 	200   	289.752 	88.4669	102.1	500  
86 	200   	290.905 	87.6795	177.7	500  
87 	200   	291.58  	87.5547	177.7	500  
88 	200   	292.233 	87.0314	177.7	500  
89 	200   	293.067 	86.4578	177.7	500  
90 	200   	294.173 	86.3788	177.7	500  
91 	200   	295.418 	86.2177	177.7	500  
92 	200   	296.873 	86.6137	177.7	500  
93 	200   	297.713 	86.5957	177.7	500  
94 	200   	298.463 	87.0496	177.7	500  
95 	200   	298.997 	86.9359	177.7	500  
96 	200   	299.324 	86.8335	177.7	500  
97 	200   	299.705 	86.8473	177.7	500  
98 	200   	302.791 	88.1712	177.7	500  
99 	200   	305.057 	88.4776	177.7	500  
100	200   	306.457 	89.4498	177.7	500  
