gen	nevals	avg    	std    	min  	max  
0  	200   	-49.095	240.336	-1000	59.9 
1  	200   	15.5805	18.6048	9.1  	159.5
2  	200   	20.938 	29.8947	9.4  	222  
3  	200   	24.1295	32.3368	9.4  	222  
4  	200   	29.9865	38.9417	9.4  	222  
5  	200   	33.347 	40.1252	9.6  	222  
6  	200   	35.997 	40.9294	9.6  	222  
7  	200   	38.8415	42.3802	9.6  	222  
8  	200   	42.6525	45.8908	9.6  	263  
9  	200   	47.5505	48.213 	9.6  	263  
10 	200   	54.8385	53.1519	9.6  	263  
11 	200   	58.3225	54.4736	9.6  	263  
12 	200   	63.2665	56.2087	9.6  	263  
13 	200   	69.046 	56.7631	9.6  	263  
14 	200   	73.6635	57.7099	9.6  	263  
15 	200   	79.3445	61.1544	9.6  	286.5
16 	200   	84.8085	62.1055	9.6  	286.5
17 	200   	89.105 	63.8864	9.6  	286.5
18 	200   	92.301 	63.6993	9.6  	286.5
19 	200   	97.5195	63.7878	9.6  	286.5
20 	200   	102.805	62.7431	17.4 	286.5
21 	200   	105.114	62.1651	17.4 	286.5
22 	200   	107.28 	62.6116	17.4 	286.5
23 	200   	110.972	62.3291	17.4 	286.5
24 	200   	115.067	64.1626	17.4 	367.7
25 	200   	118.582	67.7588	17.4 	444.1
26 	200   	121.095	67.3147	17.4 	444.1
27 	200   	126.26 	72.6014	17.4 	470.2
28 	200   	129.529	76.2264	17.4 	481.7
29 	200   	132.812	76.7647	17.4 	481.7
30 	200   	136.802	76.6821	27   	481.7
31 	200   	140.662	77.4682	27   	481.7
32 	200   	143.12 	77.7054	27   	481.7
33 	200   	145.842	76.9332	27   	481.7
34 	200   	148.668	76.3627	28.5 	481.7
35 	200   	151.019	75.9641	38.6 	481.7
36 	200   	155.268	75.2158	38.6 	481.7
37 	200   	157.461	77.6189	38.6 	481.7
38 	200   	163.981	77.3595	38.6 	481.7
39 	200   	166.4  	76.2932	38.6 	481.7
40 	200   	170.484	76.3736	38.6 	481.7
41 	200   	172.188	75.9321	38.6 	481.7
42 	200   	176.171	77.1366	38.6 	481.7
43 	200   	177.992	77.4281	38.6 	481.7
44 	200   	179.687	78.4274	38.6 	481.7
45 	200   	183.655	78.9771	39.3 	481.7
46 	200   	185.001	78.288 	39.3 	481.7
47 	200   	186.967	76.6465	39.3 	481.7
48 	200   	188.662	77.2563	39.3 	481.7
49 	200   	189.271	77.0953	39.3 	481.7
50 	200   	190.633	75.8654	39.3 	481.7
51 	200   	191.593	75.7274	39.3 	481.7
52 	200   	193.931	75.6683	39.3 	481.7
53 	200   	196.609	77.3745	39.3 	481.7
54 	200   	197.934	77.8899	39.3 	481.7
55 	200   	201.705	78.4033	39.3 	481.7
56 	200   	202.872	79.9526	39.3 	481.7
57 	200   	204.896	81.2983	39.3 	481.7
58 	200   	206.956	81.6148	39.3 	481.7
59 	200   	207.78 	81.2266	39.3 	481.7
60 	200   	209.372	81.4425	39.3 	481.7
61 	200   	211.401	82.0966	39.3 	481.7
62 	200   	214.244	82.4812	39.3 	481.7
63 	200   	216.473	81.0802	40.9 	481.7
64 	200   	217.668	80.7165	40.9 	481.7
65 	200   	221.752	80.7845	43.2 	481.7
66 	200   	225.223	79.5528	43.2 	481.7
67 	200   	226.756	79.217 	43.2 	481.7
68 	200   	229.619	80.544 	43.2 	482  
69 	200   	231.817	79.9048	43.2 	482  
70 	200   	233.28 	79.2615	43.2 	482  
71 	200   	234.893	78.394 	43.2 	482  
72 	200   	236.01 	78.0229	43.2 	482  
73 	200   	237.325	79.1523	43.2 	482  
74 	200   	239.848	80.567 	43.2 	499.1
75 	200   	240.934	79.8865	43.2 	499.1
76 	200   	242.345	79.6876	43.2 	499.1
77 	200   	243.749	79.6229	43.2 	499.1
78 	200   	244.93 	78.9573	43.2 	499.1
79 	200   	246.574	78.8445	43.2 	499.1
80 	200   	248.591	77.6012	43.2 	499.1
81 	200   	250.782	77.2343	43.2 	499.1
82 	200   	252.73 	75.7669	159.5	499.1
83 	200   	254.704	76.6315	159.5	499.1
84 	200   	255.326	76.6156	159.5	499.1
85 	200   	257.964	77.4491	159.5	499.1
86 	200   	259.751	77.3223	159.5	499.1
87 	200   	260.511	76.7995	159.5	499.1
88 	200   	261.694	76.4729	159.5	499.1
89 	200   	263.406	76.9311	159.5	499.1
90 	200   	264.488	76.7169	159.5	499.1
91 	200   	265.175	76.4591	159.5	499.1
92 	200   	267.998	77.837 	159.5	499.1
93 	200   	270.002	78.3966	159.5	499.1
94 	200   	272.185	78.0997	159.5	499.1
95 	200   	273.512	77.9775	159.5	499.1
96 	200   	275.604	77.8931	159.5	499.1
97 	200   	277.818	78.6414	159.5	499.1
98 	200   	279.632	79.4412	159.5	499.1
99 	200   	281.296	80.1104	159.5	499.1
100	200   	282.943	78.9203	159.5	499.1
