gen	nevals	avg     	std    	min  	max  
0  	200   	-116.775	341.886	-1000	203.4
1  	200   	9.208   	103.726	-1000	203.4
2  	200   	22.923  	23.3727	9.3  	203.4
3  	200   	27.8625 	26.6501	9.3  	203.4
4  	200   	30.7515 	28.098 	10   	203.4
5  	200   	35.4945 	31.989 	10   	208.1
6  	200   	39.7755 	33.4448	10   	208.1
7  	200   	43.689  	35.0858	10   	208.1
8  	200   	50.415  	44.2765	10   	379.1
9  	200   	57.381  	55.1946	10   	500  
10 	200   	70.3215 	78.9952	10   	500  
11 	200   	77.5465 	86.1844	10   	500  
12 	200   	85.381  	86.7062	10   	500  
13 	200   	89.363  	86.4222	10   	500  
14 	200   	93.873  	86.2518	10   	500  
15 	200   	98.1455 	86.4187	10   	500  
16 	200   	101.858 	88.4613	10   	500  
17 	200   	105.982 	89.9166	10   	500  
18 	200   	107.25  	89.8245	10   	500  
19 	200   	112.883 	92.1146	10   	500  
20 	200   	117.3   	93.7988	18.7 	500  
21 	200   	120.165 	93.5515	18.7 	500  
22 	200   	124.331 	95.7262	18.7 	500  
23 	200   	127.255 	97.7001	18.7 	500  
24 	200   	133.164 	101.002	21.8 	500  
25 	200   	139.373 	103.926	21.8 	500  
26 	200   	141.617 	103.406	21.8 	500  
27 	200   	149.217 	106.104	22.8 	500  
28 	200   	153.235 	105.747	22.8 	500  
29 	200   	160.111 	111.633	22.8 	500  
30 	200   	163.409 	113.586	22.8 	500  
31 	200   	166.965 	112.558	22.8 	500  
32 	200   	169.873 	111.786	22.8 	500  
33 	200   	174.481 	113.711	22.8 	500  
34 	200   	177.064 	113.207	22.8 	500  
35 	200   	179.895 	113.634	22.8 	500  
36 	200   	182.376 	114.66 	22.8 	500  
37 	200   	185.705 	114.379	22.8 	500  
38 	200   	188.848 	113.573	22.8 	500  
39 	200   	190.939 	112.917	22.8 	500  
40 	200   	195.481 	111.554	22.8 	500  
41 	200   	198.949 	111.843	22.8 	500  
42 	200   	201.798 	111.602	22.8 	500  
43 	200   	205.583 	111.741	22.8 	500  
44 	200   	207.625 	110.564	51.2 	500  
45 	200   	211.115 	109.688	51.2 	500  
46 	200   	212.567 	108.865	51.2 	500  
47 	200   	214.179 	109    	51.2 	500  
48 	200   	216.13  	109.98 	51.2 	500  
49 	200   	222.819 	112.104	51.2 	500  
50 	200   	225.915 	113.951	51.2 	500  
51 	200   	229.01  	114.046	51.2 	500  
52 	200   	234.471 	114.614	51.2 	500  
53 	200   	236.374 	113.945	63.5 	500  
54 	200   	238.566 	113.052	63.5 	500  
55 	200   	241.446 	113.684	63.5 	500  
56 	200   	245.085 	114.07 	63.5 	500  
57 	200   	248.417 	113.351	63.5 	500  
58 	200   	250.594 	113.672	63.5 	500  
59 	200   	253.046 	113.574	63.5 	500  
60 	200   	254.283 	113.08 	63.5 	500  
61 	200   	257.409 	113.1  	63.5 	500  
62 	200   	260.698 	114.775	63.5 	500  
63 	200   	263.107 	114.621	63.5 	500  
64 	200   	268.394 	114.662	63.5 	500  
65 	200   	270.674 	114.836	63.5 	500  
66 	200   	272.965 	115.684	63.5 	500  
67 	200   	274.73  	115.013	63.5 	500  
68 	200   	277.541 	113.552	63.5 	500  
69 	200   	281.214 	114.995	63.5 	500  
70 	200   	283.831 	115.214	67.7 	500  
71 	200   	286.219 	114.181	67.7 	500  
72 	200   	288.639 	114.099	67.7 	500  
73 	200   	289.899 	114.412	67.7 	500  
74 	200   	291.859 	114.026	67.7 	500  
75 	200   	294.992 	114.276	67.7 	500  
76 	200   	297.647 	114.507	67.7 	500  
77 	200   	299.051 	113.567	67.7 	500  
78 	200   	300.758 	112.639	67.7 	500  
79 	200   	302.202 	111.961	67.7 	500  
80 	200   	303.542 	111.317	67.7 	500  
81 	200   	306.512 	110.432	67.7 	500  
82 	200   	308.482 	110.226	67.7 	500  
83 	200   	312.003 	111.533	67.7 	500  
84 	200   	314.498 	110.407	104.4	500  
85 	200   	315.917 	110.452	104.4	500  
86 	200   	317.837 	110.147	104.4	500  
87 	200   	319.282 	109.283	104.4	500  
88 	200   	320.557 	108.87 	104.4	500  
89 	200   	321.848 	108.408	104.4	500  
90 	200   	322.938 	108.372	104.4	500  
91 	200   	324.329 	107.505	117.9	500  
92 	200   	326.242 	108.6  	117.9	500  
93 	200   	329.262 	108.735	117.9	500  
94 	200   	330.348 	108.392	117.9	500  
95 	200   	332.502 	107.564	117.9	500  
96 	200   	334.973 	107.347	117.9	500  
97 	200   	336.382 	107.157	117.9	500  
98 	200   	337.129 	106.983	117.9	500  
99 	200   	340.03  	106.456	117.9	500  
100	200   	342.231 	106.308	122.8	500  
