gen	nevals	avg     	std    	min  	max  
0  	200   	-126.521	352.988	-1000	188  
1  	200   	-1.454  	145.915	-1000	281.3
2  	200   	27.02   	42.8728	9.2  	281.3
3  	200   	32.027  	45.3997	9.2  	281.3
4  	200   	35.205  	47.3281	9.2  	281.3
5  	200   	42.9125 	52.9571	9.2  	281.3
6  	200   	46.9535 	54.7017	9.6  	281.3
7  	200   	50.264  	55.057 	9.6  	281.3
8  	200   	54.856  	56.4618	9.6  	281.3
9  	200   	60.3115 	59.2744	9.6  	281.3
10 	200   	65.348  	60.7036	9.6  	281.3
11 	200   	70.946  	65.9551	9.6  	344.6
12 	200   	76.5295 	67.1365	9.6  	344.6
13 	200   	81.3605 	68.85  	9.6  	344.6
14 	200   	88.6455 	73.8292	9.6  	344.6
15 	200   	93.349  	75.9075	9.6  	344.6
16 	200   	99.398  	78.8919	9.6  	344.6
17 	200   	103.312 	79.8472	14.6 	344.6
18 	200   	107.696 	80.8458	15.9 	344.6
19 	200   	112.725 	81.8816	15.9 	344.6
20 	200   	117.185 	81.5979	17.3 	344.6
21 	200   	122.982 	83.6196	17.3 	344.6
22 	200   	126.55  	83.6324	17.3 	344.6
23 	200   	129.343 	84.3458	17.3 	344.6
24 	200   	136.739 	84.5632	17.3 	344.6
25 	200   	140.102 	83.8647	17.3 	344.6
26 	200   	144.789 	85.3037	17.3 	369.3
27 	200   	148.668 	84.993 	23   	369.3
28 	200   	150.34  	84.3521	23   	369.3
29 	200   	153.147 	83.4049	23   	369.3
30 	200   	159.308 	83.4508	31.6 	369.3
31 	200   	164.754 	82.4175	31.6 	369.3
32 	200   	166.977 	82.141 	31.6 	369.3
33 	200   	170.511 	81.492 	31.6 	369.3
34 	200   	175.064 	81.291 	31.6 	369.3
35 	200   	179.331 	82.916 	38.7 	428.8
36 	200   	181.478 	82.0691	38.7 	428.8
37 	200   	184.772 	81.1073	38.7 	428.8
38 	200   	188.036 	82.4936	50.9 	455.2
39 	200   	191.97  	82.2718	50.9 	455.2
40 	200   	194.425 	81.3992	50.9 	455.2
41 	200   	195.473 	80.7465	50.9 	455.2
42 	200   	197.705 	80.3677	50.9 	455.2
43 	200   	201.028 	79.5763	50.9 	455.2
44 	200   	202.931 	79.0924	50.9 	455.2
45 	200   	204.996 	80.2075	50.9 	455.2
46 	200   	207.533 	79.6289	50.9 	455.2
47 	200   	209.136 	79.3337	62.5 	455.2
48 	200   	211.207 	79.3324	62.5 	455.2
49 	200   	213.12  	78.6437	62.5 	455.2
50 	200   	216.748 	80.3309	62.5 	455.2
51 	200   	218.874 	79.9193	70.2 	455.2
52 	200   	221.055 	80.4706	70.2 	455.2
53 	200   	223.413 	79.7911	70.2 	455.2
54 	200   	225.334 	79.5078	70.2 	455.2
55 	200   	228.036 	79.9261	70.2 	455.2
56 	200   	229.452 	79.3311	70.2 	455.2
57 	200   	230.726 	79.3274	70.2 	455.2
58 	200   	231.775 	78.9048	70.2 	455.2
59 	200   	233.166 	79.9628	70.2 	481.1
60 	200   	234.315 	79.8041	70.2 	481.1
61 	200   	235.896 	80.0812	70.2 	481.1
62 	200   	237.549 	79.9955	70.2 	481.1
63 	200   	239.096 	80.9565	70.2 	481.1
64 	200   	240.432 	81.2866	70.2 	481.1
65 	200   	241.661 	80.6454	70.2 	481.1
66 	200   	243.164 	79.8833	70.2 	481.1
67 	200   	245.147 	79.1288	70.2 	481.1
68 	200   	247.32  	80.1739	70.2 	498.4
69 	200   	248.301 	79.85  	70.2 	498.4
70 	200   	249.656 	79.0406	70.2 	498.4
71 	200   	251.265 	78.7581	70.2 	498.4
72 	200   	252.278 	78.3844	70.2 	498.4
73 	200   	254.487 	79.3785	70.2 	498.4
74 	200   	257.299 	81.0062	70.2 	498.4
75 	200   	258.296 	80.8385	70.2 	498.4
76 	200   	258.999 	80.9122	70.2 	498.4
77 	200   	261.623 	81.6954	70.2 	498.4
78 	200   	263.279 	80.8428	80.7 	498.4
79 	200   	265.756 	82.1507	80.7 	498.4
80 	200   	266.397 	82.0176	80.7 	498.4
81 	200   	270.011 	82.7787	80.7 	498.4
82 	200   	272.04  	82.8942	84.9 	498.4
83 	200   	274.543 	83.6863	84.9 	498.4
84 	200   	276.654 	84.6375	84.9 	498.4
85 	200   	279.444 	84.4338	84.9 	498.4
86 	200   	279.953 	84.2726	84.9 	498.4
87 	200   	281.612 	83.5881	84.9 	498.4
88 	200   	282.042 	83.3434	84.9 	498.4
89 	200   	283.96  	84.524 	84.9 	498.4
90 	200   	285.144 	84.9786	84.9 	498.4
91 	200   	286.075 	85.2305	84.9 	498.4
92 	200   	287.141 	85.2459	84.9 	498.4
93 	200   	288.698 	85.62  	84.9 	498.4
94 	200   	291.938 	87.5821	84.9 	498.4
95 	200   	293.772 	87.6854	84.9 	498.4
96 	200   	296.507 	87.6636	84.9 	498.4
97 	200   	298.596 	87.3779	84.9 	498.4
98 	200   	299.8   	88.1515	84.9 	498.4
99 	200   	300.916 	87.9488	84.9 	498.4
100	200   	302.687 	88.5229	84.9 	498.4
