gen	nevals	avg    	std    	min  	max  
0  	200   	-56.893	259.512	-1000	199  
1  	200   	6.0615 	103.776	-1000	199  
2  	200   	20.92  	36.8835	9.6  	399.8
3  	200   	25.6315	44.2647	9.6  	399.8
4  	200   	29.384 	45.1455	9.6  	399.8
5  	200   	33.1515	46.7609	9.7  	399.8
6  	200   	42.9525	66.0773	9.7  	471.1
7  	200   	51.4235	76.4805	9.7  	471.1
8  	200   	55.1365	77.8459	9.7  	471.1
9  	200   	60.4245	78.9817	9.7  	471.1
10 	200   	64.5315	81.0221	9.7  	471.1
11 	200   	71.781 	88.4378	9.7  	471.1
12 	200   	80.5965	94.8526	9.7  	471.1
13 	200   	85.37  	95.2375	9.7  	471.1
14 	200   	91.3535	97.6745	9.7  	471.1
15 	200   	96.711 	99.3218	9.7  	471.1
16 	200   	103.196	101.058	9.7  	471.1
17 	200   	110.029	104.801	9.7  	471.1
18 	200   	118.454	107.019	15.5 	471.1
19 	200   	121.893	105.804	15.5 	471.1
20 	200   	126.094	105.803	15.5 	471.1
21 	200   	130.472	105.751	15.5 	471.1
22 	200   	134.662	107.419	15.5 	471.1
23 	200   	139.489	106.632	16.5 	471.1
24 	200   	143.502	105.331	16.5 	471.1
25 	200   	145.961	104.883	16.5 	471.1
26 	200   	152.983	105.514	16.5 	471.1
27 	200   	155.801	105.187	16.5 	471.1
28 	200   	158.53 	107.397	26.4 	480.2
29 	200   	162.686	108.855	26.4 	493  
30 	200   	166.002	108.739	30.2 	493  
31 	200   	169.525	109.088	30.2 	493  
32 	200   	173.784	109.574	30.2 	493  
33 	200   	177.502	109.479	36.3 	493  
34 	200   	183.739	108.162	36.3 	493  
35 	200   	186.583	107.041	36.3 	493  
36 	200   	190.956	106.54 	36.3 	493  
37 	200   	192.832	106.282	36.3 	493  
38 	200   	197.297	106.513	36.3 	493  
39 	200   	200.233	106.527	36.3 	493  
40 	200   	205.053	105.744	42.5 	493  
41 	200   	208.07 	105.437	42.5 	493  
42 	200   	211.094	106.161	42.5 	493  
43 	200   	213.964	105.491	42.5 	493  
44 	200   	217.621	104.934	42.5 	493  
45 	200   	219.527	105.196	42.5 	493  
46 	200   	222.348	103.916	42.5 	493  
47 	200   	224.088	103.43 	42.5 	493  
48 	200   	225.025	102.94 	42.5 	493  
49 	200   	227.704	103.445	42.5 	493  
50 	200   	229.655	102.904	42.5 	493  
51 	200   	231.868	101.094	42.5 	493  
52 	200   	236.373	100.33 	42.5 	493  
53 	200   	238.081	100.144	42.5 	493  
54 	200   	238.55 	100.097	43.4 	493  
55 	200   	241.118	98.2604	43.4 	493  
56 	200   	242.778	97.7889	43.4 	493  
57 	200   	245.239	98.6773	43.4 	493  
58 	200   	247.097	99.4944	43.4 	493  
59 	200   	250.617	99.4864	43.4 	493  
60 	200   	253.619	100.63 	43.4 	493  
61 	200   	255.137	99.7808	43.4 	493  
62 	200   	257.988	101.656	43.4 	493  
63 	200   	260.121	100.946	43.4 	493  
64 	200   	261.649	101.074	43.4 	493  
65 	200   	263.897	101.465	43.4 	493  
66 	200   	265.514	101.986	43.4 	493  
67 	200   	267.228	101.697	56.9 	493  
68 	200   	269.307	102.79 	56.9 	493  
69 	200   	272.536	103.831	56.9 	495.6
70 	200   	274.264	103.689	56.9 	495.6
71 	200   	276.031	105.569	56.9 	495.6
72 	200   	278.408	106.552	56.9 	495.6
73 	200   	279.712	106.407	56.9 	495.6
74 	200   	281.673	106.033	56.9 	495.6
75 	200   	284.771	107.042	56.9 	495.6
76 	200   	288.275	108.713	56.9 	495.6
77 	200   	290.325	109.124	56.9 	495.6
78 	200   	292.099	108.165	76.5 	495.6
79 	200   	295.095	108.979	76.5 	495.6
80 	200   	295.457	108.936	76.5 	495.6
81 	200   	297.433	109.533	76.5 	495.6
82 	200   	299.065	109.743	76.5 	495.6
83 	200   	300.48 	109.111	76.5 	495.6
84 	200   	302.498	109.13 	76.5 	495.6
85 	200   	304.66 	108.987	76.5 	495.6
86 	200   	305.195	108.648	76.5 	495.6
87 	200   	305.601	108.385	76.5 	495.6
88 	200   	306.436	107.777	76.5 	495.6
89 	200   	308.161	107.74 	76.5 	495.6
90 	200   	309.598	108.738	76.5 	495.6
91 	200   	310.096	108.678	76.5 	495.6
92 	200   	312.567	108.567	76.5 	495.6
93 	200   	312.841	108.398	76.5 	495.6
94 	200   	316.237	108.913	76.5 	495.6
95 	200   	317.155	108.543	98   	495.6
96 	200   	318.024	108.288	98   	495.6
97 	200   	318.734	107.976	98   	495.6
98 	200   	318.922	107.809	98   	495.6
99 	200   	319.875	107.626	98   	495.6
100	200   	323.47 	107.643	98   	500  
