gen	nevals	avg     	std    	min     	max     
0  	100   	-529.07 	356.715	-1000   	-160.072
1  	100   	-289.276	188.702	-1000   	-126.959
2  	100   	-217.25 	51.1064	-338    	-89.4268
3  	100   	-192.43 	44.6895	-336.769	-89.4268
4  	100   	-177.235	40.8807	-336.769	-89.4268
5  	100   	-164.049	38.848 	-336.769	-89.4268
6  	100   	-150.571	30.1464	-260.765	-89.4268
7  	100   	-138.497	36.2113	-257.813	49.9447 
8  	100   	-132.892	33.4499	-242.195	49.9447 
9  	100   	-117.08 	37.7268	-174.642	49.9447 
10 	100   	-104.73 	46.968 	-174.642	72.025  
11 	100   	-92.1595	47.6924	-165.518	72.025  
12 	100   	-72.0803	55.133 	-165.518	72.6272 
13 	100   	-57.4916	58.8786	-165.518	72.6272 
14 	100   	-36.1768	64.1927	-165.518	72.6272 
15 	100   	-13.3995	67.4501	-133.761	172.559 
16 	100   	9.15573 	63.1494	-133.761	172.559 
17 	100   	30.5928 	59.2866	-106.841	177.462 
18 	100   	45.5363 	53.3679	-106.841	177.462 
19 	100   	53.4336 	49.1326	-91.9786	177.462 
20 	100   	66.9837 	46.5191	-91.9786	177.462 
21 	100   	75.677  	48.3225	-91.9786	202.5   
22 	100   	88.8364 	43.5643	-45.3688	202.5   
23 	100   	99.1803 	41.7646	-9.22402	202.5   
24 	100   	109.052 	42.2275	18.8782 	203.856 
25 	100   	118.168 	42.3258	18.8782 	203.856 
26 	100   	127.646 	40.004 	24.9563 	210.023 
27 	100   	139.96  	38.5062	50.2578 	219.418 
28 	100   	145.368 	38.9643	50.2578 	219.418 
29 	100   	157.241 	35.9909	67.4163 	228.857 
30 	100   	163.531 	34.4943	71.7234 	228.857 
31 	100   	174.47  	33.6235	71.7234 	245.007 
32 	100   	180.962 	33.7122	71.7234 	245.007 
33 	100   	188.918 	27.7399	97.0065 	245.007 
34 	100   	192.539 	29.3925	97.0065 	245.007 
35 	100   	197.449 	27.9836	97.0065 	245.007 
36 	100   	203.827 	24.2354	136.574 	245.007 
37 	100   	208.831 	23.0273	136.574 	245.007 
38 	100   	211.387 	22.4064	136.574 	245.007 
39 	100   	215.533 	22.1103	136.574 	246.485 
40 	100   	218.073 	21.0387	145.699 	246.485 
41 	100   	221.808 	19.0018	160.089 	246.485 
42 	100   	224.026 	17.9387	160.089 	247.294 
43 	100   	226.283 	16.6629	160.089 	247.294 
44 	100   	227.222 	16.541 	160.089 	247.294 
45 	100   	229.144 	16.3963	160.089 	249.92  
46 	100   	231.077 	13.3416	161.697 	249.92  
47 	100   	234.16  	12.0562	167.622 	249.92  
48 	100   	234.808 	12.0153	167.622 	249.92  
49 	100   	235.499 	12.0758	167.622 	249.92  
50 	100   	236.576 	12.0354	167.622 	249.92  
51 	100   	237.292 	12.0249	167.622 	249.92  
52 	100   	237.499 	12.0372	167.622 	249.92  
53 	100   	238.088 	11.9271	167.622 	250.247 
54 	100   	239.081 	11.3316	167.622 	250.247 
55 	100   	239.502 	11.2816	167.622 	250.247 
56 	100   	240.271 	11.1871	167.622 	250.247 
57 	100   	240.918 	10.8987	167.622 	250.247 
58 	100   	241.665 	10.8466	167.622 	250.694 
59 	100   	241.888 	10.9202	167.622 	250.694 
60 	100   	242.239 	10.7532	167.622 	250.694 
61 	100   	243.106 	10.3259	167.622 	250.696 
62 	100   	243.235 	10.3718	167.622 	250.696 
63 	100   	243.965 	9.93944	167.622 	251.135 
64 	100   	244.282 	9.60308	167.622 	251.135 
65 	100   	244.657 	9.64577	167.622 	252.067 
66 	100   	245.021 	9.49373	167.622 	252.067 
67 	100   	245.181 	9.52063	167.622 	252.067 
68 	100   	245.547 	9.57566	167.622 	253.846 
69 	100   	246.005 	9.58025	167.622 	253.846 
70 	100   	246.624 	8.9281 	167.622 	253.846 
71 	100   	246.834 	8.9543 	167.622 	253.846 
72 	100   	247.341 	6.15295	201.975 	253.846 
73 	100   	247.655 	6.01405	201.975 	253.846 
74 	100   	247.877 	5.927  	201.975 	253.846 
75 	100   	248.028 	5.93545	201.975 	253.846 
76 	100   	248.292 	5.87918	201.975 	254.327 
77 	100   	248.479 	5.77515	201.975 	254.327 
78 	100   	249.102 	3.59315	232.061 	254.327 
79 	100   	249.242 	3.53821	232.061 	254.327 
80 	100   	249.541 	3.36708	232.061 	254.327 
81 	100   	249.652 	3.36975	232.061 	254.327 
82 	100   	249.723 	3.36173	232.061 	254.327 
83 	100   	249.755 	3.37088	232.061 	254.327 
84 	100   	249.829 	3.38304	232.061 	254.327 
85 	100   	249.998 	3.3809 	232.061 	254.327 
86 	100   	250.062 	3.36729	232.061 	254.327 
87 	100   	250.195 	3.08012	232.061 	254.327 
88 	100   	250.337 	3.07538	232.061 	254.327 
89 	100   	250.527 	3.03728	232.061 	254.327 
90 	100   	250.663 	2.99229	232.061 	254.327 
91 	100   	250.782 	3.01807	232.061 	254.327 
92 	100   	250.949 	2.96681	232.061 	254.327 
93 	100   	251.061 	2.95467	232.061 	254.327 
94 	100   	251.265 	2.79346	232.061 	254.327 
95 	100   	251.354 	2.73781	232.061 	254.327 
96 	100   	251.427 	2.75727	232.061 	254.327 
97 	100   	251.48  	2.64803	232.061 	254.327 
98 	100   	251.525 	2.66282	232.061 	254.327 
99 	100   	251.586 	2.66134	232.061 	254.327 
100	100   	251.632 	2.68769	232.061 	254.327 
