gen	nevals	avg     	std     	min     	max     
0  	100   	-566.848	335.231 	-1000   	-183.1  
1  	100   	-318.124	165.87  	-1000   	-159.051
2  	100   	-250.066	52.2773 	-372.583	-24.7905
3  	100   	-214.496	60.4444 	-346.843	23.936  
4  	100   	-190.007	62.3363 	-333.371	37.7549 
5  	100   	-153.653	65.609  	-265.616	37.7549 
6  	100   	-125.827	67.7546 	-265.616	69.7132 
7  	100   	-101.456	67.6211 	-215.209	69.7132 
8  	100   	-56.8013	65.943  	-184.96 	69.7132 
9  	100   	-30.1441	53.2191 	-163.067	69.7132 
10 	100   	-5.51045	42.054  	-148.443	76.6448 
11 	100   	7.50214 	33.8339 	-106.582	96.2985 
12 	100   	20.2963 	26.2971 	-58.1663	96.2985 
13 	100   	32.4258 	25.5637 	-43.5273	102.007 
14 	100   	43.2736 	27.1478 	-10.0906	127.098 
15 	100   	52.6384 	29.677  	-6.67493	144.782 
16 	100   	62.4262 	32.6882 	-6.67493	144.782 
17 	100   	70.5254 	33.7473 	-6.67493	144.782 
18 	100   	81.9775 	35.1853 	13.0665 	144.782 
19 	100   	94.8986 	33.7705 	24.0688 	158.246 
20 	100   	108.381 	31.147  	24.0688 	158.246 
21 	100   	117.861 	27.0474 	31.8376 	158.246 
22 	100   	123.349 	24.2847 	31.8376 	158.246 
23 	100   	128.515 	23.9035 	31.8376 	164.658 
24 	100   	134.502 	19.4129 	40.0278 	164.658 
25 	100   	138.708 	15.3873 	80.3799 	164.658 
26 	100   	142.123 	13.5514 	80.3799 	164.658 
27 	100   	146.255 	10.9235 	115.611 	188.926 
28 	100   	148.424 	11.8405 	115.611 	188.926 
29 	100   	152.791 	14.2979 	115.611 	217.48  
30 	100   	156.592 	15.8082 	115.611 	217.48  
31 	100   	163.218 	19.7215 	129.028 	228.482 
32 	100   	167.477 	20.6104 	129.028 	228.482 
33 	100   	173.673 	23.0674 	129.028 	228.517 
34 	100   	180.038 	22.1581 	135.563 	231.939 
35 	100   	185.451 	20.9455 	144.306 	231.939 
36 	100   	189.244 	21.7393 	144.306 	231.939 
37 	100   	194.205 	21.4939 	144.306 	231.939 
38 	100   	199.274 	22.2784 	144.306 	237.362 
39 	100   	204.621 	20.8874 	144.306 	237.362 
40 	100   	210.172 	19.1774 	144.306 	237.362 
41 	100   	214.737 	18.0197 	145.161 	237.362 
42 	100   	218.92  	16.3026 	147.74  	237.362 
43 	100   	222.076 	13.9477 	147.74  	237.362 
44 	100   	226.182 	9.96515 	188.195 	244.96  
45 	100   	228.1   	8.99763 	188.195 	244.96  
46 	100   	229.566 	9.14277 	188.195 	244.96  
47 	100   	231.133 	8.75611 	188.195 	244.96  
48 	100   	232.441 	8.66633 	188.195 	244.96  
49 	100   	233.512 	7.80311 	188.195 	244.96  
50 	100   	235.124 	5.49766 	213.399 	245.452 
51 	100   	235.992 	5.57045 	213.399 	245.452 
52 	100   	237.041 	5.38167 	213.399 	245.452 
53 	100   	237.912 	5.52817 	213.399 	245.452 
54 	100   	238.71  	5.4909  	213.399 	245.452 
55 	100   	239.375 	5.00001 	223.18  	245.452 
56 	100   	239.923 	4.80541 	223.18  	245.452 
57 	100   	240.87  	4.6505  	227.944 	245.452 
58 	100   	241.113 	4.66113 	227.944 	245.452 
59 	100   	242.002 	4.28303 	227.944 	246.502 
60 	100   	242.569 	4.13245 	227.944 	246.502 
61 	100   	243.273 	3.74759 	227.944 	246.502 
62 	100   	243.773 	3.36205 	227.944 	247.949 
63 	100   	244.218 	2.99504 	227.944 	247.949 
64 	100   	244.483 	2.63212 	227.944 	247.949 
65 	100   	244.759 	2.06646 	234.053 	247.949 
66 	100   	244.846 	2.10231 	234.053 	247.949 
67 	100   	244.997 	1.81474 	237.362 	247.949 
68 	100   	245.063 	1.84278 	237.362 	247.949 
69 	100   	245.34  	1.51834 	237.362 	247.949 
70 	100   	245.417 	1.53559 	237.362 	247.949 
71 	100   	245.588 	1.34322 	237.362 	247.949 
72 	100   	245.679 	1.3724  	237.362 	247.949 
73 	100   	245.745 	1.38504 	237.362 	247.949 
74 	100   	245.983 	1.38004 	237.362 	247.949 
75 	100   	246.152 	1.12351 	237.362 	247.949 
76 	100   	246.24  	1.1452  	237.362 	247.949 
77 	100   	246.382 	1.15217 	237.362 	247.949 
78 	100   	246.431 	1.14824 	237.362 	247.949 
79 	100   	246.59  	0.718489	244.847 	247.949 
80 	100   	246.683 	0.749574	244.847 	247.949 
81 	100   	246.794 	0.739869	244.847 	247.949 
82 	100   	246.867 	0.744014	244.847 	247.949 
83 	100   	247.01  	0.668473	245.077 	247.949 
84 	100   	247.1   	0.689424	245.077 	248.131 
85 	100   	247.174 	0.669587	245.077 	248.131 
86 	100   	247.331 	0.678502	245.077 	248.131 
87 	100   	247.396 	0.672484	245.077 	248.131 
88 	100   	247.476 	0.641419	245.077 	248.131 
89 	100   	247.553 	0.628245	245.077 	248.193 
90 	100   	247.682 	0.54553 	246.419 	248.193 
91 	100   	247.766 	0.482166	246.419 	248.193 
92 	100   	247.803 	0.471329	246.419 	248.193 
93 	100   	247.853 	0.451321	246.419 	248.193 
94 	100   	247.883 	0.427105	246.419 	248.193 
95 	100   	247.928 	0.380524	246.419 	248.193 
96 	100   	247.955 	0.356513	246.419 	248.193 
97 	100   	247.988 	0.326025	246.599 	248.193 
98 	100   	248.001 	0.328961	246.599 	248.193 
99 	100   	248.026 	0.299184	246.599 	248.193 
100	100   	248.044 	0.301688	246.599 	248.193 
