gen	nevals	avg     	std     	min     	max     
0  	100   	-584.121	357.427 	-1000   	-128.248
1  	100   	-314.152	197.058 	-1000   	-119.791
2  	100   	-228.452	94.6467 	-1000   	-103.983
3  	100   	-184.918	46.9104 	-300.736	-53.5462
4  	100   	-166.298	47.2986 	-300.736	-53.5462
5  	100   	-145.116	36.2691 	-245.423	-53.5462
6  	100   	-133.256	31.9191 	-226.337	-53.5462
7  	100   	-122.17 	35.2691 	-226.337	8.726   
8  	100   	-110.251	38.5851 	-226.337	8.726   
9  	100   	-99.5781	39.3844 	-226.337	8.726   
10 	100   	-86.7602	40.021  	-226.337	8.726   
11 	100   	-73.1375	37.2669 	-162.315	8.726   
12 	100   	-60.6224	37.0944 	-142.442	8.726   
13 	100   	-47.3103	36.1712 	-116.154	87.7464 
14 	100   	-36.9339	37.0702 	-116.154	87.7464 
15 	100   	-29.8998	33.7743 	-113.301	87.7464 
16 	100   	-20.4717	29.2012 	-99.3729	87.7464 
17 	100   	-14.4172	32.923  	-99.3729	87.7464 
18 	100   	-4.34229	30.4979 	-79.3467	87.7464 
19 	100   	3.90497 	33.416  	-79.3467	87.7464 
20 	100   	12.4502 	36.9427 	-79.3467	118.357 
21 	100   	22.0479 	38.3707 	-79.3467	118.357 
22 	100   	36.1982 	39.892  	-79.3467	130.168 
23 	100   	46.9127 	37.6575 	-79.3467	130.168 
24 	100   	57.3878 	33.8068 	-12.7731	130.168 
25 	100   	68.9096 	31.9572 	-12.7731	130.168 
26 	100   	77.4988 	29.5826 	-12.7731	132.856 
27 	100   	85.8575 	28.1128 	-12.7731	134.917 
28 	100   	92.3862 	28.2366 	-12.7731	135.488 
29 	100   	99.4518 	26.6444 	11.8094 	156.77  
30 	100   	106.8   	26.4608 	11.8094 	167.012 
31 	100   	118.038 	27.2019 	25.1264 	183.418 
32 	100   	126.079 	26.4615 	25.1264 	183.418 
33 	100   	132.986 	24.6633 	25.952  	226.328 
34 	100   	138.395 	24.9342 	25.952  	226.328 
35 	100   	142.381 	26.1215 	25.952  	226.328 
36 	100   	151.308 	27.6182 	83.6953 	226.328 
37 	100   	160.008 	30.8807 	94.2407 	233.34  
38 	100   	168.435 	32.3771 	94.2407 	233.34  
39 	100   	176.995 	33.5446 	94.2407 	233.34  
40 	100   	189.431 	35.145  	94.2407 	234.457 
41 	100   	199.422 	31.6737 	126.641 	234.457 
42 	100   	206.632 	30.2957 	126.641 	237.966 
43 	100   	213.918 	26.2295 	130.929 	237.966 
44 	100   	220.083 	21.8603 	130.929 	240.998 
45 	100   	224.532 	18.0361 	130.929 	240.998 
46 	100   	226.472 	16.6838 	130.929 	240.998 
47 	100   	230.071 	12.1065 	156.284 	242.131 
48 	100   	231.015 	12.2301 	156.284 	242.667 
49 	100   	233.505 	9.49525 	156.284 	242.667 
50 	100   	234.807 	9.58021 	156.284 	243.612 
51 	100   	235.888 	9.57479 	156.284 	243.612 
52 	100   	238.205 	4.75252 	218.781 	246.804 
53 	100   	239.287 	4.37525 	218.781 	246.804 
54 	100   	240.458 	4.2078  	218.781 	251.047 
55 	100   	241.357 	3.16222 	226.328 	251.047 
56 	100   	241.961 	3.46417 	226.328 	251.047 
57 	100   	242.71  	3.05827 	233.681 	251.474 
58 	100   	243.781 	3.38291 	233.894 	251.474 
59 	100   	244.699 	3.7228  	233.894 	254.276 
60 	100   	246.251 	4.04029 	234.477 	254.276 
61 	100   	247.435 	4.21391 	234.477 	254.276 
62 	100   	248.787 	3.87582 	234.477 	254.276 
63 	100   	250.14  	3.20364 	240.998 	254.276 
64 	100   	250.926 	2.84998 	240.998 	254.276 
65 	100   	251.742 	2.74914 	240.998 	254.276 
66 	100   	252.412 	2.28099 	244.202 	254.276 
67 	100   	252.7   	2.26569 	244.202 	254.394 
68 	100   	253.157 	1.93865 	245.505 	254.394 
69 	100   	253.369 	1.75801 	246.804 	254.394 
70 	100   	253.632 	1.4695  	246.804 	254.394 
71 	100   	253.712 	1.4157  	246.804 	255.219 
72 	100   	253.97  	1.03597 	247.463 	255.219 
73 	100   	254.061 	0.938862	247.463 	255.219 
74 	100   	254.142 	0.898321	247.463 	255.219 
75 	100   	254.243 	0.830348	247.463 	255.219 
76 	100   	254.283 	0.853317	247.463 	255.343 
77 	100   	254.406 	0.544982	251.474 	255.343 
78 	100   	254.49  	0.49627 	251.474 	255.343 
79 	100   	254.578 	0.537595	251.474 	255.343 
80 	100   	254.736 	0.471501	254.276 	255.343 
81 	100   	254.84  	0.472358	254.276 	255.343 
82 	100   	254.931 	0.457056	254.276 	255.343 
83 	100   	254.988 	0.462707	254.276 	256.089 
84 	100   	255.091 	0.433364	254.276 	256.089 
85 	100   	255.198 	0.394469	254.276 	256.089 
86 	100   	255.254 	0.406059	254.276 	256.089 
87 	100   	255.333 	0.417226	254.276 	256.089 
88 	100   	255.406 	0.390024	254.276 	256.089 
89 	100   	255.451 	0.399905	254.276 	256.089 
90 	100   	255.543 	0.405939	254.276 	256.089 
91 	100   	255.652 	0.394179	254.276 	256.089 
92 	100   	255.705 	0.399155	254.276 	256.089 
93 	100   	255.814 	0.360131	255.219 	256.089 
94 	100   	255.836 	0.353302	255.219 	256.089 
95 	100   	255.899 	0.322002	255.343 	256.089 
96 	100   	255.923 	0.305267	255.343 	256.089 
97 	100   	255.953 	0.282732	255.343 	256.089 
98 	100   	255.996 	0.242509	255.343 	256.089 
99 	100   	256.011 	0.224135	255.343 	256.089 
100	100   	256.032 	0.196882	255.343 	256.089 
