gen	nevals	avg     	std    	min     	max     
0  	100   	-604.49 	346.743	-1000   	-137.195
1  	100   	-328.792	198.155	-1000   	14.0121 
2  	100   	-238.899	105.869	-1000   	14.0121 
3  	100   	-188.859	119.402	-1000   	21.9334 
4  	100   	-120.489	98.7824	-312.634	21.9334 
5  	100   	-74.0684	89.7555	-278.565	25.6851 
6  	100   	-32.8082	74.2069	-227.61 	32.4974 
7  	100   	-1.49179	45.9803	-206.29 	32.4974 
8  	100   	12.4506 	21.2696	-140.638	32.5899 
9  	100   	18.3507 	10.8504	-52.3759	37.3215 
10 	100   	20.3713 	10.864 	-52.3759	37.3215 
11 	100   	23.4254 	10.8522	-52.3759	37.3215 
12 	100   	27.1998 	6.83192	14.0121 	51.2016 
13 	100   	30.1531 	7.57066	14.0121 	57.5286 
14 	100   	32.93   	7.54696	14.0121 	57.5286 
15 	100   	34.6481 	7.97479	14.0121 	57.5286 
16 	100   	38.0819 	9.85491	14.0197 	65.8854 
17 	100   	44.0439 	12.3943	21.9334 	91.4417 
18 	100   	49.669  	12.9971	31.3216 	91.4417 
19 	100   	52.8615 	13.3524	31.3216 	91.4417 
20 	100   	57.9289 	13.7197	31.3216 	91.4417 
21 	100   	64.0466 	14.1925	31.3216 	91.4417 
22 	100   	69.1182 	15.4009	31.3216 	97.7597 
23 	100   	74.9143 	14.5321	31.3216 	97.7597 
24 	100   	80.0425 	13.2018	43.7783 	102.629 
25 	100   	85.3576 	11.5594	51.2016 	102.629 
26 	100   	88.3012 	10.9624	51.2016 	103.025 
27 	100   	91.2689 	10.0865	51.2016 	111.038 
28 	100   	93.5779 	9.27664	51.2016 	111.038 
29 	100   	96.4806 	8.5558 	51.2016 	118.792 
30 	100   	99.7693 	6.36517	72.7507 	118.792 
31 	100   	101.655 	5.06711	91.4417 	118.792 
32 	100   	102.514 	4.94797	91.4417 	118.792 
33 	100   	103.68  	4.72378	91.4417 	118.792 
34 	100   	104.582 	4.63227	91.4417 	118.792 
35 	100   	106.192 	5.11701	91.4417 	118.792 
36 	100   	107.674 	5.11061	91.4417 	118.792 
37 	100   	108.803 	4.8568 	97.7597 	118.792 
38 	100   	109.804 	4.71848	97.7597 	120.264 
39 	100   	110.974 	4.51684	102.629 	121.709 
40 	100   	111.89  	4.63784	102.629 	125.477 
41 	100   	112.988 	4.34661	102.629 	125.477 
42 	100   	113.814 	4.73138	102.629 	125.518 
43 	100   	115.176 	6.30487	102.629 	154.79  
44 	100   	116.501 	6.19116	102.629 	154.79  
45 	100   	118.673 	11.2636	102.629 	201.443 
46 	100   	120.087 	11.335 	102.629 	201.443 
47 	100   	121.627 	14.206 	102.629 	201.443 
48 	100   	123.591 	15.414 	102.629 	201.443 
49 	100   	127.465 	18.4489	102.629 	201.443 
50 	100   	131.239 	20.6721	102.629 	201.443 
51 	100   	135.584 	22.1749	102.629 	201.443 
52 	100   	142.776 	25.4828	102.629 	203.073 
53 	100   	148.021 	25.719 	111.419 	206.751 
54 	100   	153.427 	27.8274	111.419 	214.804 
55 	100   	162.2   	28.5547	115.343 	227.345 
56 	100   	168.897 	27.5252	115.343 	227.345 
57 	100   	173.209 	27.1737	118.681 	227.345 
58 	100   	181.182 	25.7515	118.681 	227.345 
59 	100   	188.222 	23.9026	120.264 	227.345 
60 	100   	192.827 	22.1811	125.477 	227.345 
61 	100   	197.626 	21.6861	125.477 	227.345 
62 	100   	203.22  	18.0836	142.028 	227.345 
63 	100   	206.402 	16.4352	142.028 	227.345 
64 	100   	209.204 	15.2452	142.028 	227.345 
65 	100   	213.106 	13.2707	142.028 	231.002 
66 	100   	215.443 	12.5029	152.175 	235.286 
67 	100   	217.543 	11.1412	152.175 	235.286 
68 	100   	219.467 	9.37519	163.742 	236.614 
69 	100   	221.953 	8.37699	188.995 	238.932 
70 	100   	224.375 	7.55311	196.492 	238.932 
71 	100   	226.415 	6.93818	213.683 	239.702 
72 	100   	228.712 	6.72064	213.683 	239.702 
73 	100   	230.638 	6.99588	213.848 	249.822 
74 	100   	232.46  	6.33017	214.295 	249.822 
75 	100   	233.243 	5.99033	214.295 	249.822 
76 	100   	234.364 	5.55595	214.295 	249.822 
77 	100   	235.686 	5.03651	219.1   	249.822 
78 	100   	236.779 	4.88233	219.212 	249.822 
79 	100   	237.569 	4.40258	219.212 	249.822 
80 	100   	238.368 	4.28396	224.405 	249.822 
81 	100   	239.209 	3.94106	226.635 	249.822 
82 	100   	239.668 	3.73667	227.503 	249.822 
83 	100   	240.182 	3.30849	230.877 	249.822 
84 	100   	240.661 	3.15591	232.729 	249.822 
85 	100   	240.839 	3.16181	232.729 	249.822 
86 	100   	241.19  	3.23655	232.729 	249.822 
87 	100   	241.47  	3.20253	236.27  	249.822 
88 	100   	241.691 	3.27834	236.956 	249.822 
89 	100   	241.876 	3.31488	236.956 	250.284 
90 	100   	242.062 	3.46879	236.956 	250.284 
91 	100   	242.13  	3.4265 	236.956 	250.284 
92 	100   	242.433 	3.4447 	236.956 	250.284 
93 	100   	242.761 	3.61815	236.956 	250.284 
94 	100   	242.977 	3.68319	236.956 	250.284 
95 	100   	243.378 	3.81307	236.956 	250.284 
96 	100   	243.643 	3.87169	236.956 	250.709 
97 	100   	243.955 	3.9188 	236.956 	250.709 
98 	100   	244.237 	3.98634	236.956 	250.709 
99 	100   	244.762 	4.14494	236.956 	251.954 
100	100   	245.086 	4.11751	238.398 	251.954 
