gen	nevals	avg     	std     	min     	max     
0  	100   	-592.324	350.027 	-1000   	-132.656
1  	100   	-351.518	233.414 	-1000   	-132.656
2  	100   	-245.16 	91.7327 	-1000   	-124.942
3  	100   	-199.239	44.7767 	-308.559	-91.6703
4  	100   	-169.154	36.5684 	-297.671	-73.6894
5  	100   	-151.462	29.4952 	-229.122	-73.6894
6  	100   	-138.286	27.2943 	-212.467	-68.2485
7  	100   	-124.924	25.7497 	-212.467	-58.1805
8  	100   	-114.494	26.5902 	-172.494	-32.4401
9  	100   	-101.415	30.3481 	-152.229	-19.5656
10 	100   	-87.1632	34.2056 	-152.229	32.7199 
11 	100   	-75.6991	37.4288 	-152.229	55.0831 
12 	100   	-59.4766	40.3993 	-152.229	55.0831 
13 	100   	-45.0146	42.5064 	-135.657	55.0831 
14 	100   	-25.8757	43.0451 	-124.942	108.504 
15 	100   	-8.04127	42.6978 	-123.402	108.504 
16 	100   	4.51314 	45.104  	-123.402	108.504 
17 	100   	24.693  	40.7507 	-86.9622	108.504 
18 	100   	42.1679 	39.8058 	-49.6784	139.126 
19 	100   	57.9686 	35.0721 	-24.125 	139.126 
20 	100   	71.4284 	33.513  	-24.125 	150.494 
21 	100   	82.2943 	29.8299 	-24.125 	150.494 
22 	100   	93.7519 	26.7186 	-24.125 	150.494 
23 	100   	101.72  	21.8489 	26.0614 	150.494 
24 	100   	109.112 	15.8547 	43.1153 	150.494 
25 	100   	112.24  	15.4657 	43.1153 	150.494 
26 	100   	116.967 	10.1464 	90.5832 	150.494 
27 	100   	121.459 	12.8266 	90.5832 	175.969 
28 	100   	124.822 	13.497  	90.5832 	175.969 
29 	100   	126.743 	13.4538 	90.5832 	175.969 
30 	100   	130.445 	13.7711 	90.5832 	178.531 
31 	100   	135.564 	16.0938 	90.5832 	198.368 
32 	100   	139.273 	17.6924 	105.018 	201.085 
33 	100   	142.863 	18.2086 	105.018 	201.085 
34 	100   	145.539 	18.6536 	117.785 	201.085 
35 	100   	151.116 	20.8453 	117.785 	208.711 
36 	100   	157.927 	22.7347 	117.785 	208.711 
37 	100   	161.824 	23.3899 	117.785 	216.06  
38 	100   	165.589 	22.5237 	117.785 	216.06  
39 	100   	170.911 	22.9608 	117.785 	233.548 
40 	100   	175.821 	23.3661 	117.785 	233.548 
41 	100   	180.516 	22.8161 	117.785 	233.548 
42 	100   	186.939 	22.99   	117.785 	233.548 
43 	100   	192.696 	23.664  	117.785 	233.548 
44 	100   	198.049 	22.0144 	135.495 	242.502 
45 	100   	204.486 	19.5344 	145.952 	242.502 
46 	100   	209.205 	19.2916 	145.952 	242.502 
47 	100   	212.259 	19.0617 	145.952 	242.502 
48 	100   	216.518 	18.3635 	158.308 	242.502 
49 	100   	219.016 	17.5231 	158.979 	242.502 
50 	100   	221.371 	17.0483 	158.979 	243.544 
51 	100   	226.785 	13.8169 	171.653 	243.544 
52 	100   	229.554 	13.55   	171.653 	247.662 
53 	100   	232.252 	13.133  	171.653 	247.662 
54 	100   	234.867 	11.1107 	171.653 	249.705 
55 	100   	236.19  	10.7969 	171.653 	249.705 
56 	100   	237.553 	9.46846 	171.653 	249.705 
57 	100   	238.445 	9.41509 	171.653 	249.705 
58 	100   	238.927 	9.3777  	171.653 	249.705 
59 	100   	239.949 	8.98849 	171.653 	249.705 
60 	100   	241.192 	4.91054 	219.371 	249.705 
61 	100   	241.576 	5.03355 	219.371 	249.705 
62 	100   	242.377 	5.16316 	219.371 	255.599 
63 	100   	243.254 	4.29441 	222.991 	255.599 
64 	100   	244.22  	3.58945 	228.268 	255.599 
65 	100   	245.091 	3.83747 	228.268 	255.754 
66 	100   	245.393 	3.9667  	228.268 	255.754 
67 	100   	245.893 	4.03984 	228.268 	255.754 
68 	100   	246.286 	3.97506 	228.268 	255.754 
69 	100   	246.998 	3.63033 	232.158 	255.754 
70 	100   	247.188 	3.63502 	232.158 	255.754 
71 	100   	247.748 	3.88619 	232.158 	255.916 
72 	100   	248.356 	4.2209  	232.158 	259.841 
73 	100   	249.132 	4.23795 	240.697 	260.142 
74 	100   	249.676 	4.31911 	240.838 	260.142 
75 	100   	250.75  	4.3566  	242.502 	260.142 
76 	100   	251.332 	4.43848 	242.502 	260.142 
77 	100   	251.9   	4.57722 	242.502 	260.142 
78 	100   	252.551 	4.61371 	242.502 	260.142 
79 	100   	253.463 	4.85454 	242.502 	260.142 
80 	100   	254.676 	4.79782 	242.502 	260.142 
81 	100   	254.893 	4.83905 	242.502 	260.142 
82 	100   	255.543 	4.38072 	245.294 	260.142 
83 	100   	256.316 	4.18626 	245.294 	260.142 
84 	100   	257.066 	3.90166 	245.922 	260.142 
85 	100   	257.714 	3.46714 	245.922 	260.142 
86 	100   	258.422 	2.81116 	245.922 	260.142 
87 	100   	258.915 	2.26897 	248.232 	260.142 
88 	100   	259.218 	1.99122 	248.232 	260.142 
89 	100   	259.262 	1.99994 	248.232 	261.567 
90 	100   	259.379 	1.91185 	248.232 	261.567 
91 	100   	259.62  	1.29854 	248.232 	261.567 
92 	100   	259.651 	1.28503 	248.232 	261.567 
93 	100   	259.701 	1.28545 	248.232 	261.567 
94 	100   	259.716 	1.2888  	248.232 	261.567 
95 	100   	259.756 	1.27526 	248.232 	261.567 
96 	100   	259.857 	1.26559 	248.232 	261.567 
97 	100   	259.904 	1.30173 	248.232 	262.856 
98 	100   	260.072 	0.606684	256.59  	262.856 
99 	100   	260.15  	0.670327	256.59  	262.856 
100	100   	260.231 	0.692438	256.59  	262.856 
