gen	nevals	avg     	std     	min     	max     
0  	100   	-549.208	344.402 	-1000   	-89.9907
1  	100   	-287.664	161.006 	-1000   	-87.8733
2  	100   	-216.925	57.0022 	-394.011	-87.8733
3  	100   	-197.37 	48.6022 	-349.413	-82.33  
4  	100   	-171.408	46.2787 	-349.413	-82.33  
5  	100   	-154.19 	44.1565 	-263.331	-66.0837
6  	100   	-140.233	42.8767 	-240.827	-60.4102
7  	100   	-119.502	38.6268 	-217.065	-32.9319
8  	100   	-105.853	30.5625 	-188.579	-32.9319
9  	100   	-94.3332	31.1137 	-188.579	8.80779 
10 	100   	-83.4229	26.8622 	-149.946	8.80779 
11 	100   	-76.806 	26.9071 	-149.946	8.80779 
12 	100   	-69.4886	26.3759 	-126.743	8.80779 
13 	100   	-59.3227	28.3072 	-126.743	22.4669 
14 	100   	-49.7243	30.2089 	-114.173	22.4669 
15 	100   	-34.8939	30.6976 	-94.2884	31.8836 
16 	100   	-23.3371	31.1039 	-94.2884	55.5611 
17 	100   	-13.6948	31.6625 	-94.2884	55.5611 
18 	100   	-1.30099	33.4448 	-94.2884	82.6475 
19 	100   	9.16978 	32.9641 	-92.2212	82.6475 
20 	100   	19.1351 	32.6567 	-92.2212	82.6475 
21 	100   	28.7155 	27.5806 	-75.5624	92.0612 
22 	100   	36.5111 	26.2933 	-39.8315	92.0612 
23 	100   	43.0415 	27.6706 	-36.2862	102.801 
24 	100   	53.6771 	24.2503 	-25.0701	102.801 
25 	100   	61.4448 	26.5895 	-25.0701	139.211 
26 	100   	71.9069 	24.934  	8.80779 	139.211 
27 	100   	83.1384 	26.4424 	8.80779 	166.468 
28 	100   	93.3003 	27.3668 	25.9833 	166.468 
29 	100   	106.015 	28.3211 	26.4959 	166.468 
30 	100   	116.045 	29.5787 	26.4959 	166.782 
31 	100   	123.03  	28.0973 	62.5321 	167.582 
32 	100   	132     	27.1191 	74.0665 	171.563 
33 	100   	141.834 	26.4653 	74.0665 	177.803 
34 	100   	153.021 	23.6863 	74.0665 	221.916 
35 	100   	163.42  	19.9662 	97.0763 	222.789 
36 	100   	167.736 	21.1697 	97.0763 	222.991 
37 	100   	173.616 	22.2181 	97.0763 	227.704 
38 	100   	178.498 	22.5992 	135.509 	227.704 
39 	100   	185.769 	25.103  	135.509 	227.704 
40 	100   	193.585 	26.2928 	135.509 	238.067 
41 	100   	203.353 	25.7006 	139.211 	242.412 
42 	100   	210.451 	22.7057 	167.118 	242.412 
43 	100   	216.947 	19.677  	167.118 	242.412 
44 	100   	223.066 	16.2031 	167.118 	242.412 
