gen	nevals	avg     	std     	min     	max     
0  	100   	-619.53 	353.638 	-1000   	-160.825
1  	100   	-360.042	243.281 	-1000   	-153.659
2  	100   	-250.372	91.8506 	-1000   	-138.516
3  	100   	-206.232	48.6453 	-349.271	-67.8906
4  	100   	-186.549	44.1003 	-296.687	-67.8906
5  	100   	-168.287	39.0838 	-272.251	-56.7769
6  	100   	-147.256	36.1976 	-232.42 	-56.7769
7  	100   	-129.321	38.586  	-232.42 	3.40982 
8  	100   	-113.573	44.0382 	-232.42 	3.40982 
9  	100   	-93.316 	42.8229 	-174.992	3.77487 
10 	100   	-76.9674	48.1709 	-174.992	66.6437 
11 	100   	-64.9471	49.1716 	-158.997	66.6437 
12 	100   	-54.285 	47.7798 	-158.22 	66.6437 
13 	100   	-38.6868	46.6033 	-158.22 	89.9312 
14 	100   	-18.0374	44.4366 	-136.99 	89.9312 
15 	100   	-2.79026	41.4135 	-102.264	89.9312 
16 	100   	9.94693 	38.4386 	-81.0344	89.9312 
17 	100   	21.0191 	37.6939 	-81.0344	89.9312 
18 	100   	32.4893 	32.6814 	-45.9032	90.9413 
19 	100   	45.3934 	33.9558 	-45.9032	101.622 
20 	100   	59.4758 	33.1621 	-45.9032	130.004 
21 	100   	69.481  	30.5731 	-32.8053	130.004 
22 	100   	75.4601 	28.6318 	-32.8053	130.004 
23 	100   	81.4602 	29.1444 	-32.8053	130.004 
24 	100   	90.7058 	23.0748 	7.55105 	130.004 
25 	100   	95.4779 	19.6494 	16.9106 	130.004 
26 	100   	99.1218 	17.786  	28.3035 	130.004 
27 	100   	104.118 	18.307  	52.4191 	151.895 
28 	100   	108.12  	19.2418 	52.4191 	151.895 
29 	100   	113.509 	20.3256 	52.4191 	151.895 
30 	100   	119.288 	18.6069 	71.3618 	152.262 
31 	100   	124.125 	18.379  	71.3618 	157.659 
32 	100   	129.22  	17.9101 	71.3618 	157.659 
33 	100   	134.65  	15.1939 	73.8676 	157.659 
34 	100   	137.213 	13.9273 	98.4634 	157.659 
35 	100   	139.896 	13.3301 	98.4634 	163.171 
36 	100   	142.053 	14.0735 	98.4634 	175.786 
37 	100   	145.678 	13.4723 	98.4634 	177.383 
38 	100   	148.571 	11.8832 	101.622 	177.383 
39 	100   	150.367 	12.2882 	101.622 	177.383 
40 	100   	153.01  	10.543  	122.027 	177.383 
41 	100   	155.908 	11.6164 	122.027 	178.833 
42 	100   	159.32  	12.3819 	122.027 	192.78  
43 	100   	161.129 	12.3963 	122.027 	192.78  
44 	100   	163.242 	12.0387 	122.027 	192.78  
45 	100   	165.112 	11.8571 	122.027 	192.78  
46 	100   	166.106 	11.8159 	122.027 	192.78  
47 	100   	168.961 	11.1543 	139.299 	204.959 
48 	100   	170.759 	10.7127 	139.299 	204.959 
49 	100   	173.047 	9.93564 	139.299 	204.959 
50 	100   	175.399 	9.14127 	148.382 	204.959 
51 	100   	176.607 	8.45147 	148.382 	204.959 
52 	100   	179.227 	9.07224 	148.382 	204.959 
53 	100   	180.626 	8.71916 	163.171 	204.959 
54 	100   	183.173 	9.13854 	164.775 	207.216 
55 	100   	184.375 	8.9877  	167.851 	207.216 
56 	100   	186.439 	9.80178 	167.851 	208.675 
57 	100   	188.677 	10.2718 	167.851 	208.675 
58 	100   	192.484 	10.056  	170.103 	208.753 
59 	100   	194.612 	9.92995 	170.103 	208.753 
60 	100   	196.67  	9.85075 	172.765 	208.753 
61 	100   	198.94  	9.25405 	175.786 	208.753 
62 	100   	201.083 	8.60266 	175.786 	208.753 
63 	100   	202.832 	8.39289 	175.786 	218.054 
64 	100   	204.511 	7.05306 	176.471 	218.054 
65 	100   	205.679 	6.40667 	176.471 	218.054 
66 	100   	207.077 	4.87801 	177.464 	218.054 
67 	100   	207.694 	4.97185 	177.464 	218.06  
68 	100   	208.479 	4.41672 	177.464 	218.06  
69 	100   	209.586 	3.48839 	200.409 	220.264 
70 	100   	210.451 	3.9552  	200.409 	220.264 
71 	100   	211.373 	4.3703  	201.473 	220.264 
72 	100   	212.222 	4.31785 	201.805 	220.264 
73 	100   	213.203 	4.35404 	203.117 	220.264 
74 	100   	214.25  	4.41043 	203.117 	220.264 
75 	100   	215.275 	4.3193  	203.117 	220.264 
76 	100   	215.798 	4.11535 	203.117 	220.264 
77 	100   	216.393 	3.95977 	203.117 	220.264 
78 	100   	217.055 	3.58054 	203.117 	220.264 
79 	100   	217.702 	2.98686 	208.637 	220.264 
80 	100   	217.989 	2.85437 	208.637 	220.264 
81 	100   	218.376 	2.58702 	208.637 	220.264 
82 	100   	218.879 	2.22199 	208.637 	220.264 
83 	100   	219.191 	2.02489 	208.637 	220.264 
84 	100   	219.328 	2.02574 	208.637 	220.264 
85 	100   	219.38  	2.02707 	208.637 	220.271 
86 	100   	219.477 	2.02717 	208.637 	220.271 
87 	100   	219.58  	2.02092 	208.637 	220.271 
88 	100   	220.042 	0.677404	216.055 	220.271 
89 	100   	220.102 	0.522803	218.054 	220.271 
90 	100   	220.124 	0.480817	218.054 	220.271 
91 	100   	220.143 	0.46028 	218.054 	220.59  
92 	100   	220.159 	0.436021	218.054 	220.59  
93 	100   	220.193 	0.373153	218.054 	220.59  
94 	100   	220.193 	0.373204	218.054 	220.59  
95 	100   	220.215 	0.333845	218.054 	220.59  
96 	100   	220.222 	0.337958	218.054 	220.59  
97 	100   	220.269 	0.19448 	218.49  	220.59  
98 	100   	220.275 	0.199597	218.49  	220.59  
99 	100   	220.289 	0.207806	218.49  	220.59  
100	100   	220.312 	0.221214	218.49  	220.59  
