gen 	nevals	avg     	std     	min   	max   
0   	200   	-415.701	355.362 	-1000 	-157.7
1   	200   	-235.671	165.943 	-1000 	-157.7
2   	200   	-203.666	56.5345 	-1000 	-157.7
3   	200   	-199.401	3.97423 	-200  	-157.7
4   	200   	-198.651	7.54794 	-200  	-134.5
5   	200   	-198.394	8.29668 	-200  	-134.5
6   	200   	-198.207	8.5615  	-200  	-134.5
7   	200   	-197.916	8.84647 	-200  	-134.5
8   	200   	-196.834	10.7179 	-200  	-128  
9   	200   	-195.81 	12.3406 	-200  	-128  
10  	200   	-194.781	13.4186 	-200  	-128  
11  	200   	-194.44 	13.3991 	-200  	-128  
12  	200   	-192.621	15.3648 	-200  	-128  
13  	200   	-190.247	17.2615 	-200  	-128  
14  	200   	-188.984	17.8755 	-200  	-128  
15  	200   	-187.378	18.8909 	-200  	-128  
16  	200   	-185.063	20.2489 	-200  	-128  
17  	200   	-182.924	20.7801 	-200  	-128  
18  	200   	-181.85 	20.8626 	-200  	-128  
19  	200   	-180.572	20.7681 	-200  	-128  
20  	200   	-178.937	21.2179 	-200  	-128  
21  	200   	-177.916	21.0187 	-200  	-128  
22  	200   	-176.149	21.4253 	-200  	-128  
23  	200   	-174.944	21.5988 	-200  	-126.5
24  	200   	-173.99 	21.4384 	-200  	-126.5
25  	200   	-171.28 	21.5898 	-200  	-126.5
26  	200   	-169.387	22.0714 	-200  	-126.5
27  	200   	-168.018	21.6965 	-200  	-126.5
28  	200   	-167.467	21.5796 	-200  	-126.5
29  	200   	-166.454	21.6342 	-200  	-126.5
30  	200   	-163.676	21.4404 	-200  	-126.5
31  	200   	-162.701	21.1333 	-200  	-126.3
32  	200   	-161.974	20.9271 	-200  	-126.3
33  	200   	-161.068	20.974  	-200  	-126.3
34  	200   	-159.927	21.0266 	-200  	-126.3
35  	200   	-159.4  	21.114  	-200  	-126.3
36  	200   	-158.79 	21.0324 	-200  	-126.3
37  	200   	-158.27 	20.8633 	-200  	-126.3
38  	200   	-157.434	20.8143 	-200  	-126.3
39  	200   	-156.834	20.8837 	-200  	-126.3
40  	200   	-156.453	20.6893 	-200  	-126.3
41  	200   	-156.391	20.6121 	-200  	-126.3
42  	200   	-155.92 	20.6048 	-200  	-126.3
43  	200   	-154.969	20.0964 	-200  	-126.3
44  	200   	-154.433	20.0064 	-200  	-126.3
45  	200   	-153.859	19.9935 	-200  	-126.3
46  	200   	-153.436	20.1534 	-200  	-126.3
47  	200   	-153.098	20.0275 	-200  	-126.3
48  	200   	-152.924	19.8182 	-200  	-126.3
49  	200   	-152.477	19.7047 	-200  	-126.3
50  	200   	-152.048	19.5543 	-200  	-126.3
51  	200   	-151.594	19.3992 	-200  	-126.3
52  	200   	-151.123	19.1771 	-200  	-126.3
53  	200   	-150.505	18.9457 	-200  	-126.3
54  	200   	-149.842	18.6431 	-200  	-126.3
55  	200   	-149.655	18.6149 	-200  	-126.3
56  	200   	-149.349	18.5794 	-200  	-126.3
57  	200   	-148.752	18.3123 	-191.8	-126.3
58  	200   	-147.9  	17.7421 	-191.8	-126.3
59  	200   	-147.588	17.6633 	-191.7	-126.3
60  	200   	-147.378	17.6497 	-191.7	-126.3
61  	200   	-146.924	17.5288 	-191.7	-126.3
62  	200   	-146.48 	17.144  	-188.7	-126.3
63  	200   	-145.871	16.9644 	-188.7	-126.3
64  	200   	-145.388	16.6904 	-188.7	-126.3
