gen 	nevals	avg     	std     	min   	max   
0   	200   	-428    	361.132 	-1000 	-200  
1   	200   	-232    	156.767 	-1000 	-200  
2   	200   	-199.96 	0.557216	-200  	-192.1
3   	200   	-199.898	0.832764	-200  	-192.1
4   	200   	-199.637	2.02658 	-200  	-181.9
5   	200   	-199.331	3.81881 	-200  	-154.3
6   	200   	-199.09 	4.38989 	-200  	-154.3
7   	200   	-198.694	6.05251 	-200  	-140.8
8   	200   	-198.37 	6.23291 	-200  	-140.8
9   	200   	-197.859	6.84715 	-200  	-140.8
10  	200   	-196.993	8.42232 	-200  	-140.8
11  	200   	-196.525	8.56102 	-200  	-140.8
12  	200   	-195.962	9.06629 	-200  	-140.8
13  	200   	-194.99 	10.3614 	-200  	-140.8
14  	200   	-193.426	13.427  	-200  	-122.9
15  	200   	-192.056	14.3177 	-200  	-122.9
16  	200   	-190.187	16.8499 	-200  	-122.9
17  	200   	-189.52 	17.5027 	-200  	-122.9
18  	200   	-187.527	18.8041 	-200  	-122.9
19  	200   	-186.062	19.6528 	-200  	-122.9
20  	200   	-184.448	20.7957 	-200  	-122.9
21  	200   	-182.51 	21.297  	-200  	-122.9
22  	200   	-181.031	22.1477 	-200  	-122.9
23  	200   	-179.746	22.2504 	-200  	-122.9
24  	200   	-177.6  	22.6399 	-200  	-122.9
25  	200   	-176.276	23.3234 	-200  	-122.9
26  	200   	-175.104	23.5818 	-200  	-121.5
27  	200   	-173.294	23.5036 	-200  	-121.5
28  	200   	-172.152	23.6118 	-200  	-121.5
29  	200   	-170.039	23.7148 	-200  	-121.5
30  	200   	-169.076	23.6535 	-200  	-121.5
31  	200   	-167.782	23.5187 	-200  	-121.5
32  	200   	-166.297	23.7561 	-200  	-121.5
33  	200   	-165.123	23.6014 	-200  	-121.5
34  	200   	-164.887	23.6868 	-200  	-121.5
35  	200   	-164.341	23.5394 	-200  	-121.5
36  	200   	-163.804	23.4704 	-200  	-121.5
37  	200   	-163.21 	23.6208 	-200  	-121.5
38  	200   	-162.197	23.426  	-200  	-121.5
39  	200   	-160.609	23.7028 	-200  	-121.5
40  	200   	-159.346	23.6885 	-200  	-121.5
41  	200   	-158.105	23.4069 	-200  	-121.5
42  	200   	-157.141	23.0438 	-200  	-121.5
43  	200   	-156.71 	22.876  	-200  	-121.5
44  	200   	-155.927	22.4145 	-200  	-121.5
45  	200   	-155.052	22.524  	-200  	-121.5
46  	200   	-154.426	22.4616 	-200  	-121.5
47  	200   	-153.865	22.5254 	-200  	-121.5
48  	200   	-153.486	22.4375 	-200  	-121.5
49  	200   	-153.14 	22.3874 	-200  	-121.5
50  	200   	-152.67 	22.2801 	-200  	-121.5
51  	200   	-152.361	22.3124 	-200  	-121.5
52  	200   	-151.937	21.8722 	-193.4	-121.5
53  	200   	-151.583	21.9092 	-193.4	-121.3
54  	200   	-150.838	21.6183 	-193.4	-121.3
55  	200   	-150.354	21.4892 	-193.4	-121.3
56  	200   	-149.918	21.3224 	-193.4	-121.3
57  	200   	-149.169	20.98   	-193.4	-121.3
58  	200   	-148.523	20.7728 	-193.4	-120.2
59  	200   	-147.972	20.4648 	-193.4	-120.2
60  	200   	-147.111	20.259  	-193.4	-120.2
61  	200   	-146.72 	20.1056 	-193.4	-120.2
62  	200   	-146.72 	20.1056 	-193.4	-120.2
63  	200   	-146.207	19.9273 	-193.4	-120.2
64  	200   	-145.808	19.9099 	-193.4	-120.2
65  	200   	-145.698	19.8468 	-193.4	-120.2
66  	200   	-145.249	19.6825 	-193.4	-120.2
67  	200   	-145.175	19.6527 	-193.4	-120.2
68  	200   	-144.934	19.3426 	-192.4	-120.2
69  	200   	-144.524	19.2001 	-192.4	-120.2
70  	200   	-144.304	19.1573 	-192.4	-120.2
71  	200   	-143.698	18.9561 	-192.4	-120.2
72  	200   	-143.12 	18.6675 	-192.4	-119.5
73  	200   	-142.81 	18.4376 	-192.4	-119.5
74  	200   	-142.776	18.4409 	-192.4	-119.5
75  	200   	-142.442	18.2268 	-192.4	-119.5
76  	200   	-142.21 	18.1544 	-192.4	-119.5
77  	200   	-142.145	18.161  	-192.4	-119.5
78  	200   	-141.588	17.8591 	-189  	-119.5
79  	200   	-141.464	17.7643 	-189  	-119.5
80  	200   	-141.413	17.7347 	-189  	-119.5
