gen 	nevals	avg     	std     	min   	max   
0   	200   	-399.942	346.444 	-1000 	-192.8
1   	200   	-219.928	124.913 	-1000 	-192.8
2   	200   	-199.859	0.950589	-200  	-192.8
3   	200   	-199.636	2.85235 	-200  	-162.1
4   	200   	-199.554	2.93918 	-200  	-162.1
5   	200   	-199.282	3.59295 	-200  	-162.1
6   	200   	-199.134	3.68902 	-200  	-162.1
7   	200   	-198.99 	3.79096 	-200  	-162.1
8   	200   	-198.703	4.48433 	-200  	-162.1
9   	200   	-198.415	5.06784 	-200  	-162.1
10  	200   	-198.387	5.07712 	-200  	-162.1
11  	200   	-197.787	6.45856 	-200  	-153.6
12  	200   	-197.294	7.04309 	-200  	-153.6
13  	200   	-196.868	7.17431 	-200  	-153.6
14  	200   	-196.487	7.81676 	-200  	-153.6
15  	200   	-196.037	8.61094 	-200  	-153.6
16  	200   	-195.102	9.63867 	-200  	-153.6
17  	200   	-194.653	9.92591 	-200  	-153.6
18  	200   	-193.63 	11.3082 	-200  	-141.6
19  	200   	-192.944	11.5509 	-200  	-141.6
20  	200   	-192.578	11.6979 	-200  	-141.6
21  	200   	-192.097	11.6911 	-200  	-141.6
22  	200   	-191.363	12.1312 	-200  	-141.6
23  	200   	-190.405	12.9327 	-200  	-141.6
24  	200   	-189.88 	13.2301 	-200  	-141.6
25  	200   	-189.227	13.5544 	-200  	-141.6
26  	200   	-188.525	13.6281 	-200  	-141.6
27  	200   	-188.012	13.6399 	-200  	-141.6
28  	200   	-187.787	13.6212 	-200  	-141.6
29  	200   	-187.072	14.1971 	-200  	-141.6
30  	200   	-186.925	14.1506 	-200  	-141.6
31  	200   	-186.094	14.5724 	-200  	-141.6
32  	200   	-184.995	15.1179 	-200  	-141.6
33  	200   	-184.109	15.5401 	-200  	-141.6
34  	200   	-183.258	16.094  	-200  	-133.3
35  	200   	-182.214	16.6354 	-200  	-133.3
36  	200   	-181.197	17.0799 	-200  	-133.3
37  	200   	-180.28 	16.9568 	-200  	-133.3
38  	200   	-179.236	17.1278 	-200  	-133.3
39  	200   	-178.784	16.9556 	-200  	-133.3
40  	200   	-178.181	16.819  	-200  	-133.3
41  	200   	-177.236	16.7105 	-200  	-133.3
42  	200   	-176.395	16.7462 	-200  	-133.3
43  	200   	-175.605	17.4416 	-200  	-116.4
