gen 	nevals	avg     	std    	min   	max   
0   	200   	-399.894	346.473	-1000 	-183.5
1   	200   	-239.859	174.393	-1000 	-183.5
2   	200   	-203.826	56.4546	-1000 	-183.5
3   	200   	-199.618	2.48858	-200  	-170.6
4   	200   	-199.458	2.66523	-200  	-170.6
5   	200   	-199.193	3.52778	-200  	-168  
6   	200   	-198.713	4.44406	-200  	-168  
7   	200   	-198.365	4.88945	-200  	-168  
8   	200   	-197.4  	7.03903	-200  	-155.1
9   	200   	-196.418	8.94065	-200  	-139.3
10  	200   	-195.675	9.66498	-200  	-139.3
11  	200   	-194.96 	10.2764	-200  	-139.3
12  	200   	-194.088	11.3758	-200  	-133.1
13  	200   	-192.968	12.5895	-200  	-132.8
14  	200   	-192.604	12.5768	-200  	-132.8
15  	200   	-191.29 	14.5086	-200  	-132.8
16  	200   	-190.089	15.6295	-200  	-132.8
17  	200   	-189.38 	16.1205	-200  	-132.8
18  	200   	-187.947	17.4122	-200  	-132.8
19  	200   	-186.106	18.5012	-200  	-132.8
20  	200   	-184.307	19.3391	-200  	-132.8
21  	200   	-183.353	19.6438	-200  	-132.8
22  	200   	-181.153	20.7358	-200  	-132.2
23  	200   	-179.422	21.1599	-200  	-132.2
24  	200   	-177.526	21.5611	-200  	-132.2
25  	200   	-176.54 	21.4245	-200  	-132.2
26  	200   	-174.741	21.4434	-200  	-132.2
27  	200   	-173.132	21.7364	-200  	-132.2
28  	200   	-171.577	22.2625	-200  	-132.2
29  	200   	-169.953	22.4861	-200  	-132.2
30  	200   	-169    	22.443 	-200  	-132.2
31  	200   	-166.993	22.326 	-200  	-132.2
32  	200   	-166.068	22.1758	-200  	-132.2
33  	200   	-164.558	22.2209	-200  	-132.2
34  	200   	-163.788	22.0349	-200  	-132.2
35  	200   	-162.643	21.615 	-200  	-132.2
36  	200   	-162.321	21.5861	-200  	-132.2
37  	200   	-161.625	21.4531	-200  	-127.8
38  	200   	-160.574	21.086 	-200  	-127.8
39  	200   	-159.709	20.9703	-200  	-127.8
40  	200   	-158.653	20.7389	-200  	-127.8
41  	200   	-158.641	20.7255	-200  	-127.8
42  	200   	-158.233	20.6775	-200  	-127.8
43  	200   	-156.792	20.2678	-200  	-127.8
44  	200   	-156.276	20.1092	-200  	-127.8
45  	200   	-155.435	19.9884	-200  	-127.8
46  	200   	-154.714	19.8811	-200  	-127.8
47  	200   	-153.952	19.4415	-200  	-127.8
48  	200   	-153.633	19.267 	-200  	-127.8
49  	200   	-153.139	19.0599	-200  	-127.8
50  	200   	-152.874	18.9279	-200  	-127.8
51  	200   	-152.617	18.6259	-200  	-127.8
52  	200   	-152.16 	18.2979	-200  	-127.8
53  	200   	-151.554	18.0125	-200  	-127.8
54  	200   	-151.533	17.9833	-200  	-127.8
55  	200   	-151.171	17.8993	-200  	-127.8
56  	200   	-150.665	17.7407	-200  	-127.8
57  	200   	-150.279	17.742 	-200  	-127.8
58  	200   	-150.113	17.4848	-200  	-127.8
59  	200   	-149.691	17.3638	-200  	-127.8
60  	200   	-149.57 	17.1921	-200  	-127.8
61  	200   	-149.44 	17.0633	-200  	-127.8
62  	200   	-149.316	16.9505	-200  	-127.8
63  	200   	-149.068	16.804 	-200  	-127.8
64  	200   	-148.834	16.7821	-200  	-127.8
65  	200   	-148.183	16.3284	-200  	-127.8
66  	200   	-147.83 	16.0044	-200  	-127.8
67  	200   	-147.235	15.9575	-200  	-127.8
68  	200   	-147.017	15.8017	-200  	-127.8
69  	200   	-146.836	15.6694	-200  	-127.8
70  	200   	-146.76 	15.655 	-200  	-127.8
71  	200   	-146.252	15.4228	-200  	-127.8
72  	200   	-146.083	15.2109	-200  	-127.8
73  	200   	-145.615	14.6639	-186.3	-127.8
74  	200   	-145.234	14.5091	-186.3	-127.8
75  	200   	-145.051	14.2515	-184.3	-127.8
76  	200   	-144.726	14.0335	-184.3	-127.8
77  	200   	-144.652	14.0314	-184.3	-127.8
78  	200   	-144.537	14.0313	-184.3	-127.8
79  	200   	-144.405	14.0236	-184.3	-127.8
80  	200   	-144.385	13.9872	-184.3	-127.8
81  	200   	-144.151	13.8767	-184.3	-127.8
82  	200   	-144.106	13.854 	-184.3	-127.8
83  	200   	-143.516	13.506 	-184.3	-127.8
84  	200   	-143.466	13.5285	-184.3	-127.8
85  	200   	-143.006	13.1494	-184.3	-127.8
86  	200   	-142.641	12.8296	-183.6	-127.8
87  	200   	-142.606	12.8459	-183.6	-127.8
88  	200   	-142.606	12.8459	-183.6	-127.8
89  	200   	-142.343	12.6654	-183.6	-127.8
90  	200   	-142.326	12.6724	-183.6	-127.8
91  	200   	-142.068	12.5673	-183.6	-127.8
92  	200   	-141.7  	12.0556	-183.6	-127.8
93  	200   	-141.7  	12.0556	-183.6	-127.8
94  	200   	-141.7  	12.0556	-183.6	-127.8
95  	200   	-141.415	11.7965	-183.6	-127.8
96  	200   	-141.327	11.6406	-183.6	-127.8
97  	200   	-141.276	11.6296	-183.6	-127.8
98  	200   	-141.276	11.6296	-183.6	-127.8
99  	200   	-141.268	11.6051	-183.6	-127.8
100 	200   	-141.106	11.5199	-183.6	-127.8
101 	200   	-140.995	11.5155	-183.6	-127.8
102 	200   	-140.924	11.4732	-183.6	-127.8
103 	200   	-140.633	11.2188	-183.6	-127.8
104 	200   	-140.57 	11.1924	-183.6	-127.8
105 	200   	-140.51 	11.1238	-183.6	-127.8
106 	200   	-140.346	10.8497	-183.6	-127.8
107 	200   	-140.264	10.7949	-182.2	-127.8
108 	200   	-140.203	10.7282	-182.2	-127.8
109 	200   	-139.982	10.4644	-182.2	-127.8
110 	200   	-139.963	10.4386	-182.2	-127.8
111 	200   	-139.841	10.2983	-182.2	-127.8
112 	200   	-139.745	10.2712	-182.2	-127.8
113 	200   	-139.655	10.114 	-182.2	-127.8
114 	200   	-139.338	9.7753 	-182.2	-127.8
115 	200   	-139.088	9.52404	-182.2	-127.8
116 	200   	-138.942	9.14797	-182.2	-127.8
117 	200   	-138.887	9.15074	-182.2	-127.8
118 	200   	-138.614	9.0272 	-182.2	-127.8
119 	200   	-138.407	8.52263	-182.2	-127.8
120 	200   	-138.407	8.52263	-182.2	-127.8
121 	200   	-138.341	8.3677 	-182.2	-127.8
122 	200   	-138.224	8.30105	-182.2	-127.8
123 	200   	-138.146	8.22633	-182.2	-127.8
124 	200   	-138.146	8.22633	-182.2	-127.8
125 	200   	-138.023	8.12337	-182.2	-127.8
126 	200   	-137.936	7.83832	-175.3	-127.8
127 	200   	-137.935	7.83862	-175.3	-127.8
128 	200   	-137.682	7.59689	-175.3	-127.8
129 	200   	-137.682	7.59689	-175.3	-127.8
130 	200   	-137.678	7.59833	-175.3	-127.8
131 	200   	-137.65 	7.58493	-175.3	-127.8
132 	200   	-137.65 	7.58493	-175.3	-127.8
133 	200   	-137.637	7.58054	-175.3	-127.8
134 	200   	-137.541	7.51555	-175.3	-127.8
135 	200   	-137.476	7.44518	-175.3	-127.8
136 	200   	-137.471	7.43854	-175.3	-127.8
137 	200   	-137.471	7.43854	-175.3	-127.8
138 	200   	-137.356	7.01666	-173.6	-127.8
139 	200   	-137.304	6.96864	-173.6	-127.8
