gen 	nevals	avg     	std    	min   	max   
0   	200   	-247.739	190.066	-1000 	-181.4
1   	161   	-199.168	5.71389	-200  	-140.7
2   	148   	-198.415	7.88492	-200  	-140.7
3   	145   	-197.812	9.41029	-200  	-140.7
4   	149   	-197.283	9.97523	-200  	-140.7
5   	155   	-196.729	10.6849	-200  	-140.7
6   	162   	-196.063	11.5085	-200  	-140.7
7   	153   	-195.627	11.9722	-200  	-140.7
8   	144   	-194.929	12.7679	-200  	-140.7
9   	148   	-194.13 	13.7619	-200  	-140.7
10  	155   	-193.191	14.8522	-200  	-140.7
11  	161   	-192.65 	15.2885	-200  	-140.7
12  	140   	-191.856	16.3627	-200  	-140.7
13  	152   	-191.18 	17.1438	-200  	-140.7
14  	141   	-190.606	17.4416	-200  	-140.7
15  	149   	-189.696	18.3332	-200  	-140.7
16  	154   	-189.173	18.7038	-200  	-140.7
17  	146   	-188.312	19.3693	-200  	-140.7
18  	154   	-187.757	19.8274	-200  	-140.7
19  	168   	-186.969	20.3373	-200  	-140.7
20  	135   	-185.857	20.9283	-200  	-140.7
21  	152   	-184.791	21.5544	-200  	-140.7
22  	130   	-183.59 	22.3363	-200  	-140.7
23  	152   	-182.595	22.8019	-200  	-140.7
24  	140   	-181.955	22.9607	-200  	-140  
25  	142   	-181.078	23.1071	-200  	-140  
26  	161   	-180.555	23.1683	-200  	-140  
27  	143   	-179.856	23.2793	-200  	-140  
28  	159   	-179.502	23.4074	-200  	-140  
29  	143   	-178.653	23.5785	-200  	-136.7
30  	145   	-177.547	23.7971	-200  	-136.7
31  	154   	-176.993	23.9813	-200  	-136.7
32  	155   	-176.414	24.0732	-200  	-136.3
33  	156   	-176.07 	24.1641	-200  	-136.3
34  	150   	-175.766	24.1789	-200  	-136.3
35  	144   	-175.242	24.1813	-200  	-136.3
36  	149   	-174.639	24.2385	-200  	-136.3
37  	159   	-174.295	24.2218	-200  	-136.3
38  	148   	-173.91 	24.1841	-200  	-136.3
39  	149   	-173.092	24.2887	-200  	-136.3
40  	154   	-172.254	24.3137	-200  	-136.3
41  	153   	-171.588	24.4443	-200  	-136.3
42  	153   	-170.597	24.1415	-200  	-136.3
43  	153   	-169.805	23.9678	-200  	-136.3
44  	158   	-168.738	23.6903	-200  	-136.3
45  	159   	-167.902	23.6564	-200  	-127.5
46  	156   	-166.952	23.7583	-200  	-127.1
47  	154   	-165.995	23.6954	-200  	-127.1
48  	143   	-165.071	23.6946	-200  	-127.1
49  	145   	-163.924	23.3001	-200  	-127.1
50  	151   	-162.704	22.9075	-200  	-127.1
51  	159   	-161.353	22.5945	-200  	-127.1
52  	154   	-160.338	22.3016	-200  	-126.9
53  	151   	-159.421	22.123 	-200  	-126.9
