gen 	nevals	avg     	std    	min  	max   
0   	200   	-263.817	217.094	-1000	-179.3
1   	152   	-203.75 	56.4843	-1000	-179.3
2   	158   	-199.638	2.56267	-200 	-179.3
3   	158   	-199.519	2.93848	-200 	-179.3
4   	156   	-199.399	3.26702	-200 	-179.3
5   	153   	-199.3  	3.56046	-200 	-179.3
6   	165   	-199.262	3.59117	-200 	-179.3
7   	148   	-199.073	4.09558	-200 	-178.6
8   	151   	-198.932	4.37618	-200 	-178.6
9   	146   	-198.753	4.62407	-200 	-178.6
10  	162   	-198.697	4.63864	-200 	-178.6
11  	153   	-198.551	4.83305	-200 	-178.6
12  	156   	-198.404	5.03051	-200 	-178.6
13  	153   	-198.186	5.25331	-200 	-178.6
14  	142   	-198    	5.36708	-200 	-176  
15  	165   	-197.693	5.91562	-200 	-168.9
16  	154   	-197.395	6.26144	-200 	-168.9
17  	141   	-197.151	6.48332	-200 	-168.9
18  	136   	-196.877	6.84331	-200 	-168.9
19  	156   	-196.489	7.32901	-200 	-167.8
20  	151   	-195.741	8.12392	-200 	-167.8
21  	154   	-195.182	8.68844	-200 	-167.8
22  	151   	-194.57 	9.17287	-200 	-167.8
23  	138   	-194.048	9.58265	-200 	-167.8
24  	132   	-193.045	10.9228	-200 	-138  
25  	151   	-191.844	12.0178	-200 	-138  
26  	152   	-190.922	12.4846	-200 	-138  
27  	154   	-190.187	13.1235	-200 	-138  
28  	137   	-189.417	13.4676	-200 	-138  
29  	146   	-188.226	14.8237	-200 	-118.3
30  	148   	-187.619	15.1494	-200 	-118.3
31  	157   	-186.644	15.8017	-200 	-118.3
32  	153   	-185.806	16.1988	-200 	-118.3
33  	161   	-184.968	16.7745	-200 	-118.3
34  	152   	-183.818	17.5046	-200 	-118.3
35  	151   	-183.097	17.9597	-200 	-118.3
36  	150   	-182.257	18.8939	-200 	-118.3
37  	146   	-181.443	19.5526	-200 	-118.3
38  	157   	-180.508	20.0317	-200 	-118.3
39  	150   	-179.73 	20.2903	-200 	-118.3
40  	139   	-178.866	20.4119	-200 	-118.3
41  	159   	-177.936	20.9054	-200 	-118.3
42  	156   	-177.085	21.4488	-200 	-118.3
43  	156   	-175.787	22.2881	-200 	-118.3
44  	137   	-175.021	22.4532	-200 	-118.3
45  	153   	-174.305	22.7555	-200 	-118.3
46  	153   	-173.426	23.3935	-200 	-118.3
47  	149   	-172.81 	23.7093	-200 	-118.3
48  	151   	-172.218	23.9339	-200 	-118.3
49  	142   	-171.126	24.5525	-200 	-118.3
50  	150   	-170.179	25.1523	-200 	-118.3
51  	150   	-169.38 	25.5348	-200 	-118.3
52  	146   	-168.448	25.8533	-200 	-118.3
53  	159   	-167.924	25.8369	-200 	-118.3
54  	149   	-167.222	25.9931	-200 	-118.3
55  	146   	-166.461	26.2018	-200 	-118.3
56  	153   	-166.092	26.2154	-200 	-118.3
57  	154   	-165.598	26.1668	-200 	-118.3
58  	162   	-164.89 	26.2541	-200 	-118.3
59  	138   	-163.845	26.3533	-200 	-118.3
60  	144   	-162.817	26.3243	-200 	-118.3
61  	158   	-161.942	26.2112	-200 	-118.3
62  	149   	-161.251	26.1723	-200 	-118.3
63  	152   	-160.272	26.0207	-200 	-118.3
64  	141   	-159.137	25.8697	-200 	-118.3
65  	158   	-158.411	25.7497	-200 	-118.3
66  	141   	-157.641	25.8449	-200 	-118.3
67  	150   	-156.978	25.7642	-200 	-118.3
68  	147   	-155.951	25.3746	-200 	-118.3
69  	152   	-155.203	25.1862	-200 	-118.3
70  	156   	-154.562	25.0868	-200 	-118.3
71  	147   	-153.71 	24.8981	-200 	-118.3
72  	145   	-153.036	24.7893	-200 	-118.3
73  	140   	-152.334	24.6978	-200 	-118.3
74  	145   	-151.53 	24.522 	-200 	-118.3
75  	148   	-150.942	24.4666	-200 	-118.3
76  	143   	-150.268	24.4949	-200 	-118.3
77  	151   	-149.751	24.4487	-200 	-118.3
78  	151   	-149.318	24.3368	-200 	-118.3
79  	144   	-148.557	24.195 	-200 	-118.3
80  	158   	-148.003	24.1538	-200 	-118.3
81  	143   	-147.379	24.0066	-200 	-118.3
82  	158   	-146.845	23.9867	-200 	-118.3
83  	148   	-146.349	23.9087	-200 	-118.3
84  	153   	-145.474	23.6631	-200 	-118.3
85  	144   	-144.766	23.5593	-200 	-118.3
86  	155   	-144.18 	23.4324	-200 	-118.3
87  	157   	-143.502	23.3075	-200 	-118.3
88  	147   	-142.625	22.983 	-200 	-118.3
89  	149   	-141.904	22.8707	-200 	-118.3
90  	154   	-141.458	22.7747	-200 	-118.3
91  	151   	-140.952	22.6305	-200 	-118.3
92  	147   	-140.527	22.3203	-200 	-118.3
93  	159   	-140.285	22.2132	-200 	-118.3
94  	164   	-139.562	21.7364	-200 	-118.3
95  	148   	-139.243	21.5668	-200 	-118.3
96  	143   	-138.682	21.2694	-200 	-118.3
97  	142   	-138.251	20.8056	-200 	-118.3
98  	162   	-137.953	20.4114	-200 	-118.3
99  	141   	-137.73 	20.3889	-200 	-118.3
100 	149   	-137.265	20.0408	-200 	-118.3
101 	145   	-136.734	19.7559	-200 	-118.3
102 	154   	-136.414	19.4186	-200 	-117.5
103 	144   	-136.093	19.364 	-200 	-117.5
104 	164   	-135.792	19.0235	-200 	-117.5
105 	139   	-135.392	18.9617	-200 	-117.5
106 	149   	-135.04 	18.8436	-200 	-117.5
107 	149   	-134.607	18.5398	-200 	-117.5
108 	155   	-134.327	18.5773	-200 	-113.6
109 	151   	-133.982	18.2219	-200 	-113.6
110 	152   	-133.709	18.1075	-200 	-113.6
111 	157   	-133.263	17.6418	-200 	-113.6
112 	148   	-133.096	17.594 	-200 	-113.6
113 	150   	-132.87 	17.5368	-200 	-113.6
114 	150   	-132.744	17.5184	-200 	-113.6
115 	143   	-132.513	17.4728	-200 	-113.6
116 	148   	-132.192	17.4821	-200 	-113.6
117 	146   	-132.058	17.4281	-200 	-113.6
118 	154   	-131.757	17.4313	-200 	-113.6
119 	160   	-131.479	17.3674	-200 	-113.6
120 	157   	-131.248	17.3579	-200 	-113.6
121 	151   	-130.973	17.2948	-200 	-113.6
122 	151   	-130.645	17.1056	-200 	-113.6
123 	155   	-130.488	17.0986	-200 	-113.6
124 	151   	-130.083	17.0576	-200 	-113.6
125 	143   	-129.856	17.0469	-200 	-113.6
126 	143   	-129.666	17.054 	-200 	-113.6
127 	145   	-129.515	17.0623	-200 	-113.6
128 	154   	-129.364	17.0276	-200 	-113.6
129 	159   	-129.217	17.0027	-200 	-113.6
130 	162   	-129.16 	16.9944	-200 	-113.6
131 	148   	-129.083	16.9899	-200 	-113.6
132 	149   	-128.916	16.9865	-200 	-113.6
133 	144   	-128.695	16.9593	-200 	-113.6
134 	154   	-128.451	16.9386	-200 	-113.6
135 	138   	-128.31 	16.9555	-200 	-113.6
136 	144   	-128.124	16.9894	-200 	-113.6
137 	160   	-128.04 	16.9921	-200 	-113.6
138 	140   	-127.885	17.0095	-200 	-113.6
139 	146   	-127.819	17.0312	-200 	-113.6
140 	157   	-127.603	17.0155	-200 	-113.6
141 	158   	-127.462	17.0092	-200 	-113.6
142 	153   	-127.401	17.0218	-200 	-113.6
143 	150   	-127.365	17.0219	-200 	-113.6
144 	150   	-127.165	16.9859	-200 	-113.6
145 	154   	-127.056	16.9416	-200 	-113.6
146 	145   	-126.907	16.9315	-200 	-113.6
147 	155   	-126.785	16.9345	-200 	-113.6
148 	169   	-126.77 	16.9376	-200 	-113.6
149 	164   	-126.68 	16.9199	-200 	-113.6
150 	154   	-126.496	16.8039	-200 	-113.6
151 	145   	-126.388	16.7567	-200 	-113.6
152 	160   	-126.224	16.7349	-200 	-113.6
153 	147   	-125.969	16.6592	-200 	-113.6
154 	153   	-125.863	16.6177	-200 	-113.6
155 	160   	-125.716	16.6175	-200 	-113.6
156 	141   	-125.608	16.5882	-200 	-113.6
157 	139   	-125.452	16.5567	-200 	-113.6
158 	151   	-125.441	16.5529	-200 	-113.6
159 	151   	-125.37 	16.5511	-200 	-113.6
160 	141   	-125.258	16.5326	-200 	-113.6
161 	149   	-125.117	16.5105	-200 	-113.6
162 	151   	-125.055	16.5111	-200 	-113.6
163 	160   	-125.034	16.5143	-200 	-113.6
164 	145   	-124.911	16.5237	-200 	-113.6
165 	155   	-124.798	16.5248	-200 	-113.6
166 	149   	-124.751	16.5211	-200 	-113.6
167 	158   	-124.71 	16.5167	-200 	-113.6
168 	156   	-124.698	16.519 	-200 	-113.6
169 	148   	-124.597	16.5006	-200 	-113.6
170 	152   	-124.524	16.4967	-200 	-113.6
171 	145   	-124.446	16.494 	-200 	-113.6
172 	157   	-124.444	16.4942	-200 	-113.6
173 	156   	-124.417	16.5066	-200 	-113.6
174 	149   	-124.329	16.4696	-200 	-113.6
175 	157   	-124.241	16.4322	-200 	-113.6
176 	135   	-124.198	16.4419	-200 	-113.6
177 	164   	-124.087	16.4153	-200 	-113.6
178 	161   	-124.087	16.4153	-200 	-113.6
179 	149   	-124.085	16.4155	-200 	-113.6
180 	149   	-124.061	16.4272	-200 	-113.6
181 	142   	-124.018	16.4365	-200 	-113.6
182 	161   	-123.998	16.4411	-200 	-113.6
183 	140   	-123.974	16.4526	-200 	-113.6
184 	144   	-123.945	16.4582	-200 	-113.6
185 	148   	-123.904	16.4672	-200 	-113.6
186 	142   	-123.895	16.4683	-200 	-113.6
