gen 	nevals	avg     	std    	min   	max   
0   	200   	-283.963	245.256	-1000 	-197.2
1   	147   	-211.923	97.2529	-1000 	-194.7
2   	140   	-199.794	1.14353	-200  	-187  
3   	153   	-199.713	1.4937 	-200  	-187  
4   	126   	-199.683	1.53694	-200  	-187  
5   	144   	-199.568	1.86785	-200  	-187  
6   	141   	-199.297	2.90222	-200  	-171.8
7   	159   	-198.765	4.42191	-200  	-168.5
8   	143   	-198.443	5.0159 	-200  	-168.5
9   	157   	-198.155	5.57073	-200  	-168.5
10  	156   	-197.867	5.76319	-200  	-168.5
11  	132   	-197    	8.41664	-200  	-121.2
12  	156   	-196.398	9.97746	-200  	-121.2
13  	152   	-195.75 	10.534 	-200  	-121.2
14  	147   	-194.766	12.284 	-200  	-121.2
15  	148   	-193.897	12.9275	-200  	-121.2
16  	160   	-192.865	13.4623	-200  	-121.2
17  	146   	-191.672	15.0965	-200  	-121.2
18  	157   	-189.979	16.9186	-200  	-121.2
19  	156   	-188.565	18.1499	-200  	-121.2
20  	151   	-186.578	19.9489	-200  	-121.2
21  	151   	-184.712	21.3607	-200  	-121.2
22  	146   	-182.901	22.2462	-200  	-121.2
23  	150   	-181.435	23.0077	-200  	-121.2
24  	161   	-180.521	23.2725	-200  	-121.2
25  	141   	-179.387	23.768 	-200  	-121.2
26  	134   	-177.766	24.3517	-200  	-121.2
27  	158   	-176.952	24.8316	-200  	-121.2
28  	141   	-175.674	25.2475	-200  	-121.2
29  	150   	-174.709	25.7264	-200  	-121.2
30  	147   	-173.226	26.3529	-200  	-121.2
31  	149   	-172.153	27.1295	-200  	-121.2
32  	145   	-171.144	27.5841	-200  	-121.2
33  	144   	-169.798	27.8032	-200  	-121.2
34  	150   	-168.785	28.0667	-200  	-121.2
35  	160   	-168.212	28.315 	-200  	-121.2
36  	141   	-167.428	28.3666	-200  	-121.2
37  	141   	-166.434	28.5388	-200  	-121.2
38  	143   	-165.375	28.4984	-200  	-121.2
39  	152   	-164.317	28.8912	-200  	-121.2
40  	162   	-163.812	28.7415	-200  	-121.2
41  	160   	-162.798	29.0295	-200  	-121.2
42  	147   	-161.638	29.1833	-200  	-121.2
43  	154   	-161.051	29.2174	-200  	-121.2
44  	149   	-160.442	29.1638	-200  	-121.2
45  	143   	-159.657	29.0917	-200  	-121.2
46  	165   	-159.095	29.0451	-200  	-121.2
47  	143   	-158.373	29.2378	-200  	-121  
48  	146   	-157.689	29.3206	-200  	-121  
49  	142   	-156.998	29.307 	-200  	-121  
50  	139   	-156.401	29.4059	-200  	-121  
51  	141   	-155.804	29.3909	-200  	-121  
52  	143   	-155.073	29.45  	-200  	-121  
53  	161   	-154.543	29.3345	-200  	-121  
54  	140   	-153.972	29.1467	-200  	-121  
55  	142   	-153.482	29.1604	-200  	-121  
56  	152   	-152.926	28.9771	-200  	-120.5
57  	155   	-152.532	28.9616	-200  	-120.5
58  	144   	-151.868	28.6099	-200  	-120.5
59  	140   	-151.006	28.1206	-200  	-120.5
60  	152   	-150.657	28.0069	-200  	-120.5
61  	156   	-150.262	27.9186	-200  	-120.5
62  	153   	-149.622	27.7765	-200  	-120.5
63  	147   	-149.25 	27.6615	-200  	-120.5
64  	150   	-148.978	27.4799	-200  	-120.5
65  	140   	-148.629	27.476 	-200  	-120.5
66  	134   	-148.039	27.2565	-200  	-120.5
67  	155   	-147.445	26.9019	-200  	-120.5
68  	154   	-146.991	26.6414	-200  	-120.5
69  	149   	-146.581	26.5105	-200  	-120.5
70  	154   	-146.276	26.4002	-200  	-120.5
71  	147   	-145.811	26.1707	-200  	-120.5
72  	164   	-145.607	26.0268	-200  	-120.5
73  	147   	-145.044	25.7693	-200  	-120.5
74  	152   	-144.74 	25.7196	-200  	-120.5
75  	154   	-144.466	25.7042	-200  	-120.5
76  	157   	-144.014	25.3702	-200  	-120.5
77  	153   	-143.78 	25.3216	-200  	-120.5
78  	144   	-143.41 	25.0788	-200  	-120.5
79  	158   	-143.022	24.9091	-200  	-120.5
80  	148   	-142.756	24.9279	-200  	-120.5
81  	158   	-142.503	24.8563	-200  	-120.5
82  	161   	-142.32 	24.8031	-200  	-120.5
83  	147   	-141.956	24.655 	-200  	-120.5
84  	157   	-141.706	24.5155	-200  	-120.5
85  	150   	-141.328	24.2912	-200  	-120.5
86  	155   	-141.073	24.1685	-200  	-120.5
87  	159   	-140.887	24.2014	-200  	-120.5
88  	167   	-140.64 	24.0021	-200  	-120.5
89  	152   	-140.441	23.8983	-200  	-120.5
90  	150   	-140.254	23.8107	-200  	-120.5
91  	147   	-140.007	23.682 	-200  	-120.5
92  	159   	-139.779	23.5667	-200  	-120.5
93  	154   	-139.536	23.3466	-200  	-120.5
94  	165   	-139.366	23.2355	-200  	-120.5
95  	131   	-138.919	22.8956	-200  	-120.5
96  	157   	-138.677	22.7261	-200  	-120.5
97  	155   	-138.565	22.7199	-200  	-120.5
98  	149   	-138.418	22.6569	-200  	-120.5
99  	142   	-138.18 	22.5957	-200  	-120.5
100 	150   	-137.975	22.3819	-200  	-120.5
101 	146   	-137.789	22.3152	-200  	-120.5
102 	154   	-137.625	22.2432	-200  	-120.5
103 	151   	-137.12 	21.8153	-200  	-120.5
104 	147   	-136.97 	21.6399	-200  	-120.5
105 	142   	-136.717	21.413 	-200  	-120.5
106 	156   	-136.555	21.2751	-200  	-120.5
107 	145   	-136.157	20.9257	-200  	-120.5
108 	155   	-136.015	20.7342	-200  	-120.5
109 	142   	-135.867	20.6782	-200  	-120.5
110 	129   	-135.61 	20.39  	-200  	-120.5
111 	155   	-135.496	20.285 	-200  	-120.5
112 	147   	-135.329	20.0876	-200  	-120.5
113 	148   	-135.048	19.7642	-200  	-120.5
114 	161   	-134.94 	19.6845	-200  	-120.5
115 	146   	-134.768	19.4934	-200  	-120.5
116 	150   	-134.657	19.3483	-200  	-120.5
117 	152   	-134.422	19.0494	-200  	-120.5
118 	144   	-134.261	18.792 	-200  	-120.5
119 	147   	-134.076	18.5691	-200  	-120.5
120 	158   	-134.017	18.5127	-200  	-120.5
121 	153   	-133.898	18.3819	-200  	-120.5
122 	148   	-133.815	18.3095	-200  	-120.5
123 	152   	-133.785	18.2756	-200  	-120.5
124 	144   	-133.681	18.2095	-200  	-120.5
125 	157   	-133.564	18.0758	-200  	-120  
126 	160   	-133.497	18.0138	-200  	-120  
127 	158   	-133.452	17.9261	-200  	-120  
128 	156   	-133.436	17.9131	-200  	-120  
