gen 	nevals	avg     	std    	min  	max   
0   	200   	-311.456	277.845	-1000	-143.7
1   	150   	-218.848	125.246	-1000	-143.7
2   	147   	-198.528	6.68721	-200 	-143.7
3   	144   	-197.737	8.15061	-200 	-143.7
4   	140   	-197.225	9.01181	-200 	-143.7
5   	151   	-196.618	9.26616	-200 	-143.7
6   	150   	-195.972	10.1028	-200 	-143.7
7   	160   	-195.208	10.9295	-200 	-143.7
8   	151   	-194.359	11.6236	-200 	-143.7
9   	150   	-193.561	12.5213	-200 	-143.7
10  	161   	-192.953	12.9885	-200 	-143.7
11  	167   	-192.027	13.4215	-200 	-143.7
12  	159   	-191.197	14.0387	-200 	-143.7
13  	154   	-190.518	14.3971	-200 	-143.7
14  	145   	-189.49 	15.0908	-200 	-143.7
15  	147   	-188.108	16.4383	-200 	-136.6
16  	142   	-186.785	17.5417	-200 	-136.6
17  	138   	-185.467	18.3392	-200 	-136.6
18  	154   	-184.435	19.0808	-200 	-136.6
19  	149   	-183.021	19.948 	-200 	-131  
20  	151   	-181.864	20.2869	-200 	-131  
21  	161   	-181.125	20.5625	-200 	-131  
22  	155   	-179.447	21.4545	-200 	-131  
23  	149   	-178.31 	21.9795	-200 	-131  
24  	150   	-177.25 	22.1913	-200 	-131  
25  	146   	-175.618	22.7002	-200 	-131  
26  	160   	-174.563	23.1779	-200 	-131  
27  	156   	-173.493	23.4916	-200 	-131  
28  	152   	-172.709	23.5584	-200 	-131  
29  	156   	-171.95 	23.9495	-200 	-131  
30  	144   	-171.227	23.9783	-200 	-131  
31  	154   	-170.214	24.3112	-200 	-131  
32  	148   	-169.035	24.5955	-200 	-131  
33  	138   	-167.81 	24.7527	-200 	-131  
34  	152   	-166.86 	24.7367	-200 	-131  
35  	138   	-165.919	25.0006	-200 	-131  
36  	151   	-164.799	25.1402	-200 	-131  
37  	142   	-163.724	25.079 	-200 	-131  
38  	151   	-162.877	24.8741	-200 	-131  
39  	152   	-161.913	24.9947	-200 	-131  
40  	146   	-160.769	24.9739	-200 	-131  
41  	142   	-159.92 	24.9657	-200 	-131  
42  	148   	-159.464	24.9954	-200 	-131  
43  	150   	-158.466	24.6583	-200 	-131  
44  	149   	-157.626	24.4113	-200 	-131  
45  	158   	-157.165	24.3642	-200 	-131  
46  	152   	-156.568	24.3413	-200 	-131  
47  	157   	-155.989	24.2043	-200 	-131  
48  	147   	-155.319	24.1694	-200 	-131  
49  	148   	-154.6  	23.9114	-200 	-131  
50  	150   	-154.057	23.9664	-200 	-131  
51  	160   	-153.679	23.9142	-200 	-129.4
52  	139   	-153.162	23.7738	-200 	-129.4
53  	156   	-152.586	23.5619	-200 	-129.4
54  	144   	-152.011	23.3604	-200 	-129.4
55  	156   	-151.626	23.3159	-200 	-129.4
56  	151   	-151.262	23.2238	-200 	-128.8
57  	167   	-150.924	23.0456	-200 	-128.8
58  	147   	-150.401	22.9454	-200 	-128.8
59  	136   	-149.962	22.8856	-200 	-128.8
60  	148   	-149.626	22.8862	-200 	-128.8
61  	148   	-149.382	22.8609	-200 	-128.8
62  	147   	-148.842	22.6153	-200 	-128.8
63  	147   	-148.302	22.3154	-200 	-128.8
64  	143   	-147.951	22.1741	-200 	-128.8
65  	143   	-147.53 	22.1425	-200 	-128.8
66  	153   	-147.066	21.8928	-200 	-128.8
67  	135   	-146.7  	21.8001	-200 	-128.8
68  	158   	-146.498	21.7703	-200 	-128.8
69  	144   	-146.208	21.7292	-200 	-128.8
70  	149   	-145.984	21.7038	-200 	-128.8
71  	165   	-145.776	21.6612	-200 	-128.8
72  	150   	-145.521	21.6455	-200 	-128.8
73  	155   	-145.328	21.6156	-200 	-128.8
74  	158   	-145.066	21.6102	-200 	-128.8
75  	158   	-144.863	21.5878	-200 	-128.8
76  	152   	-144.649	21.5627	-200 	-128.8
77  	151   	-144.505	21.563 	-200 	-128.8
78  	149   	-144.338	21.51  	-200 	-128.8
79  	133   	-144.157	21.4522	-200 	-128.8
80  	147   	-144.032	21.483 	-200 	-128.8
81  	148   	-143.783	21.5362	-200 	-128.8
82  	157   	-143.658	21.4983	-200 	-128.8
83  	154   	-143.435	21.457 	-200 	-128.8
84  	149   	-143.279	21.4304	-200 	-128.8
85  	144   	-143.056	21.2913	-200 	-128.8
86  	160   	-142.909	21.0993	-200 	-128.8
87  	136   	-142.72 	20.966 	-200 	-128.8
88  	137   	-142.562	20.8258	-200 	-128.8
89  	150   	-142.396	20.7792	-200 	-128.8
90  	156   	-142.19 	20.7693	-200 	-128.8
91  	146   	-142.009	20.7311	-200 	-128.8
92  	148   	-141.868	20.7095	-200 	-128.8
93  	153   	-141.672	20.6767	-200 	-128.8
94  	140   	-141.497	20.6287	-200 	-128.8
95  	150   	-141.248	20.5977	-200 	-128.8
96  	138   	-140.467	19.8376	-200 	-128.8
97  	154   	-139.986	19.5231	-200 	-128.8
98  	162   	-139.355	18.934 	-200 	-128.8
99  	140   	-138.528	18.0826	-200 	-128.8
100 	153   	-137.9  	17.6145	-200 	-128.8
101 	146   	-137.254	16.9789	-200 	-128.8
102 	142   	-136.752	16.5468	-200 	-128.8
103 	143   	-136.256	16.1699	-200 	-128.8
104 	160   	-136.118	16.1827	-200 	-128.8
105 	158   	-135.856	15.8988	-200 	-128.8
106 	158   	-135.75 	15.8875	-200 	-128.8
107 	156   	-135.71 	15.8305	-200 	-128.8
108 	146   	-135.228	15.114 	-200 	-128.8
109 	155   	-135.21 	15.1195	-200 	-128.8
110 	143   	-135.092	15.034 	-200 	-128.8
111 	157   	-134.875	14.7192	-200 	-128.8
112 	145   	-134.824	14.7101	-200 	-128.8
113 	147   	-134.588	14.4603	-200 	-128.8
114 	144   	-134.22 	13.9415	-200 	-128.8
115 	145   	-133.974	13.5894	-200 	-128.8
116 	140   	-133.903	13.5752	-200 	-128.8
117 	145   	-133.9  	13.5761	-200 	-128.8
118 	142   	-133.854	13.5615	-200 	-128.8
119 	149   	-133.775	13.5288	-200 	-128.8
120 	152   	-133.709	13.5124	-200 	-128.8
121 	158   	-133.703	13.5138	-200 	-128.8
122 	141   	-133.672	13.5154	-200 	-128.8
123 	161   	-133.663	13.5175	-200 	-128.8
124 	145   	-133.621	13.5014	-200 	-128.8
125 	137   	-133.614	13.503 	-200 	-128.8
126 	158   	-133.606	13.5052	-200 	-128.8
127 	154   	-133.602	13.5059	-200 	-128.8
128 	150   	-133.596	13.5077	-200 	-128.8
129 	163   	-133.585	13.5107	-200 	-128.8
130 	152   	-133.578	13.5122	-200 	-128.8
131 	148   	-133.566	13.5153	-200 	-128.8
132 	146   	-133.545	13.5223	-200 	-127.4
133 	151   	-133.525	13.5285	-200 	-127.4
134 	153   	-133.513	13.5316	-200 	-127.4
135 	147   	-133.504	13.5345	-200 	-127.4
136 	137   	-133.486	13.5398	-200 	-127.4
137 	154   	-133.47 	13.5452	-200 	-127.4
138 	148   	-133.459	13.5485	-200 	-127.4
139 	157   	-133.442	13.5538	-200 	-127.4
140 	150   	-133.415	13.5613	-200 	-127.4
141 	147   	-133.403	13.5645	-200 	-127.4
142 	156   	-133.4  	13.5652	-200 	-127.4
143 	150   	-133.381	13.5699	-200 	-127.4
144 	155   	-133.364	13.5743	-200 	-127.4
145 	140   	-133.336	13.5828	-200 	-126.6
146 	151   	-133.309	13.5904	-200 	-126.6
147 	141   	-133.284	13.5982	-200 	-126.6
148 	146   	-133.255	13.606 	-200 	-126.6
149 	152   	-133.229	13.6129	-200 	-126.6
150 	143   	-133.202	13.6188	-200 	-126.6
151 	141   	-133.183	13.6234	-200 	-126.6
152 	142   	-133.159	13.6301	-200 	-126.6
153 	148   	-133.135	13.6364	-200 	-126.6
154 	144   	-133.102	13.6455	-200 	-126.6
155 	144   	-133.072	13.6529	-200 	-126.6
156 	162   	-133.058	13.6562	-200 	-126.6
157 	129   	-133.028	13.6636	-200 	-126.6
158 	152   	-133.003	13.6696	-200 	-126.6
159 	148   	-132.985	13.6733	-200 	-126.6
160 	151   	-132.961	13.6785	-200 	-126.6
161 	151   	-132.945	13.6816	-200 	-126.6
162 	141   	-132.922	13.6865	-200 	-126.6
163 	159   	-132.906	13.6907	-200 	-126.6
164 	147   	-132.889	13.6942	-200 	-126.6
165 	150   	-132.843	13.5729	-200 	-126.6
166 	147   	-132.826	13.5766	-200 	-126.6
167 	143   	-132.803	13.5822	-200 	-126.6
168 	141   	-132.782	13.5862	-200 	-126.6
169 	142   	-132.77 	13.5887	-200 	-126.6
170 	153   	-132.733	13.599 	-200 	-125.4
171 	147   	-132.712	13.6033	-200 	-125.4
172 	153   	-132.675	13.6117	-200 	-125.4
173 	153   	-132.654	13.6175	-200 	-125.4
174 	154   	-132.626	13.624 	-200 	-125.4
175 	161   	-132.591	13.6363	-200 	-125.4
