gen 	nevals	avg     	std    	min  	max   
0   	200   	-271.58 	229.115	-1000	-143  
1   	200   	-198.784	7.35944	-200 	-143  
2   	200   	-198.198	8.22915	-200 	-143  
3   	200   	-197.41 	9.84107	-200 	-136.9
4   	200   	-196.102	11.9982	-200 	-136.9
5   	200   	-194.771	14.1342	-200 	-133.7
6   	200   	-193.344	15.887 	-200 	-133.7
7   	200   	-191.966	17.4087	-200 	-133.7
8   	200   	-190.28 	18.8543	-200 	-133.7
9   	200   	-188.329	20.1779	-200 	-133.7
10  	200   	-186.141	21.6356	-200 	-130.5
11  	200   	-184.139	22.8707	-200 	-130.5
12  	200   	-182.683	23.6519	-200 	-130.5
13  	200   	-180.653	24.6903	-200 	-130.5
14  	200   	-179.002	25.4825	-200 	-130.5
15  	200   	-177.504	25.9218	-200 	-130.5
16  	200   	-175.597	26.5225	-200 	-130.5
17  	200   	-174.608	26.7769	-200 	-130.5
18  	200   	-173.057	26.6379	-200 	-130.5
19  	200   	-170.984	27.0029	-200 	-120.5
20  	200   	-169.645	27.3072	-200 	-120.5
21  	200   	-168.441	27.4135	-200 	-120.5
22  	200   	-167.177	27.6213	-200 	-120.5
23  	200   	-166.305	27.6302	-200 	-120.5
24  	200   	-164.913	27.5155	-200 	-120.5
25  	200   	-164.089	27.231 	-200 	-120.5
26  	200   	-162.767	26.7502	-200 	-120.5
27  	200   	-161.77 	26.5632	-200 	-120.5
28  	200   	-160.626	26.1974	-200 	-120.5
29  	200   	-159.895	25.9993	-200 	-120.5
30  	200   	-158.868	25.6979	-200 	-120.5
31  	200   	-158.109	25.2707	-200 	-120.5
32  	200   	-157.34 	25.0689	-200 	-120.5
33  	200   	-156.692	24.7557	-200 	-120.5
34  	200   	-156.057	24.4663	-200 	-120.5
35  	200   	-155.526	24.3876	-200 	-120.5
36  	200   	-154.774	24.1188	-200 	-119.6
37  	200   	-154.011	23.7468	-200 	-119.6
38  	200   	-153.453	23.7422	-200 	-119.6
39  	200   	-152.722	23.7429	-200 	-119.6
40  	200   	-152.254	23.5195	-200 	-119.6
41  	200   	-151.851	23.479 	-200 	-119.6
42  	200   	-151.339	23.3452	-200 	-119.6
43  	200   	-150.819	23.1332	-200 	-119.6
44  	200   	-150.513	23.15  	-200 	-119.6
45  	200   	-150.217	23.1532	-200 	-119.6
46  	200   	-149.618	23.2819	-200 	-119.6
47  	200   	-149.346	23.2733	-200 	-119.6
48  	200   	-149.111	23.2343	-200 	-119.6
49  	200   	-148.672	23.1328	-200 	-119.6
50  	200   	-147.989	22.6811	-200 	-119.6
51  	200   	-147.684	22.7157	-200 	-119.6
52  	200   	-147.077	22.2828	-200 	-119.6
53  	200   	-146.588	22.1369	-200 	-119.6
54  	200   	-145.782	21.7999	-200 	-119.6
55  	200   	-145.05 	21.5878	-200 	-115.7
56  	200   	-144.358	21.1779	-200 	-115.7
57  	200   	-143.993	21.2081	-200 	-115.7
58  	200   	-143.428	20.9437	-200 	-115.7
59  	200   	-142.954	20.8119	-200 	-115.7
60  	200   	-142.593	20.6952	-200 	-115.7
61  	200   	-142.149	20.2194	-200 	-115.7
62  	200   	-141.758	20.1142	-200 	-115.7
63  	200   	-141.207	20.0382	-200 	-115.7
64  	200   	-140.933	20.0305	-200 	-115.7
65  	200   	-140.197	19.4778	-200 	-115.7
66  	200   	-139.626	19.1795	-200 	-115.7
