gen	nevals	avg    	std        	min    	max    
0  	50    	7681.63	6231.8     	-1000  	12339.1
1  	39    	11386.5	3131.11    	-1000  	12339.1
2  	37    	11960.9	1853.8     	-1000  	12339.1
3  	39    	12264.7	70.1969    	12007.9	12339.1
4  	38    	12283.5	56.5367    	12067.1	12339.1
5  	40    	12297.4	51.7182    	12067.1	12339.8
6  	35    	12318.1	24.5865    	12220.9	12339.8
7  	33    	12326.5	21.9487    	12220.9	12339.8
8  	35    	12332.9	13.5784    	12284.8	12339.9
9  	42    	12335  	10.3841    	12284.8	12339.9
10 	37    	12336.3	7.53848    	12302.6	12339.9
11 	39    	12337.1	6.51324    	12302.6	12339.9
12 	36    	12337.2	6.53902    	12302.6	12339.9
13 	31    	12338.1	5.46329    	12302.6	12339.9
14 	39    	12338.4	5.34245    	12302.6	12339.9
15 	42    	12338.5	5.35067    	12302.6	12339.9
16 	39    	12339.6	0.842136   	12334  	12339.9
17 	37    	12339.6	0.839554   	12334  	12339.9
18 	37    	12339.7	0.827203   	12334  	12339.9
19 	37    	12339.8	0.157911   	12339.1	12339.9
20 	39    	12339.8	0.119212   	12339.1	12339.9
21 	39    	12339.9	0.0497056  	12339.8	12339.9
22 	36    	12339.9	0.0477174  	12339.8	12339.9
23 	34    	12339.9	0.0446355  	12339.8	12339.9
24 	40    	12339.9	0.0411807  	12339.8	12339.9
25 	36    	12339.9	0.0323048  	12339.8	12339.9
26 	29    	12339.9	0.0269696  	12339.8	12339.9
27 	40    	12339.9	0.0269696  	12339.8	12339.9
28 	36    	12339.9	0.0139176  	12339.8	12339.9
29 	39    	12339.9	0.0139176  	12339.8	12339.9
30 	31    	12339.9	0.0139176  	12339.8	12339.9
31 	35    	12339.9	0.0139176  	12339.8	12339.9
32 	43    	12339.9	0.0139176  	12339.8	12339.9
33 	37    	12339.9	0.0139176  	12339.8	12339.9
34 	39    	12339.9	1.81899e-12	12339.9	12339.9
35 	37    	12339.9	1.81899e-12	12339.9	12339.9
36 	37    	12339.9	1.81899e-12	12339.9	12339.9
37 	37    	12339.9	1.81899e-12	12339.9	12339.9
38 	39    	12339.9	1.81899e-12	12339.9	12339.9
39 	44    	12339.9	1.81899e-12	12339.9	12339.9
40 	37    	12340.1	1.1791     	12339.9	12348.3
41 	38    	12340.4	2.00015    	12339.9	12348.3
42 	31    	12340.8	2.52664    	12339.9	12348.3
43 	32    	12340.9	2.73489    	12339.9	12348.3
44 	33    	12341.6	3.36598    	12339.9	12348.3
45 	37    	12342.4	3.85951    	12339.9	12348.3
46 	39    	12343.3	4.12598    	12339.9	12348.3
47 	44    	12343.8	4.19757    	12339.9	12348.3
48 	40    	12344.5	4.19757    	12339.9	12348.3
49 	42    	12345.1	4.08799    	12339.9	12348.3
50 	35    	12346.3	3.59695    	12339.9	12348.3
51 	38    	12347  	3.08409    	12339.9	12348.3
52 	42    	12347.2	2.91922    	12339.9	12348.3
53 	31    	12347.7	2.28487    	12339.9	12348.3
54 	33    	12348.3	0          	12348.3	12348.3
55 	44    	12348.3	0          	12348.3	12348.3
56 	44    	12348.3	0          	12348.3	12348.3
57 	37    	12348.3	0          	12348.3	12348.3
58 	38    	12348.3	0          	12348.3	12348.3
59 	37    	12348.4	0.448311   	12348.3	12351.5
60 	27    	12348.5	0.627816   	12348.3	12351.5
61 	38    	12348.5	0.760198   	12348.3	12351.5
62 	36    	12348.6	0.867236   	12348.3	12351.5
63 	30    	12348.8	1.03316    	12348.3	12351.5
64 	37    	12348.9	1.15948    	12348.3	12351.5
65 	40    	12349.2	1.34348    	12348.3	12351.5
66 	41    	12349.4	1.45861    	12348.3	12351.5
67 	37    	12349.7	1.52997    	12348.3	12351.5
68 	38    	12349.9	1.54363    	12348.3	12351.5
69 	40    	12350.1	1.5318     	12348.3	12351.5
70 	34    	12350.2	1.52962    	12348.3	12351.5
71 	36    	12350.6	1.4334     	12348.3	12351.5
72 	36    	12350.7	1.35247    	12348.3	12351.5
73 	42    	12350.9	1.23123    	12348.3	12351.5
74 	38    	12351.1	1.08048    	12348.3	12351.5
75 	38    	12351.2	0.923254   	12348.3	12351.5
76 	39    	12351.3	0.847752   	12348.3	12351.5
77 	39    	12351.4	0.735856   	12348.3	12351.5
78 	42    	12351.4	0.735856   	12348.3	12351.5
79 	30    	12351.5	0.403079   	12348.7	12351.5
80 	34    	12351.5	0          	12351.5	12351.5
81 	37    	12351.5	0          	12351.5	12351.5
82 	35    	12351.5	0          	12351.5	12351.5
83 	34    	12351.5	0          	12351.5	12351.5
84 	39    	12351.5	0          	12351.5	12351.5
85 	42    	12351.5	0          	12351.5	12351.5
86 	44    	12351.5	0          	12351.5	12351.5
87 	39    	12351.5	0          	12351.5	12351.5
88 	34    	12351.5	0          	12351.5	12351.5
89 	36    	12351.5	0          	12351.5	12351.5
90 	40    	12351.5	0          	12351.5	12351.5
91 	38    	12351.5	0          	12351.5	12351.5
92 	42    	12351.5	0          	12351.5	12351.5
93 	40    	12351.5	0          	12351.5	12351.5
94 	40    	12351.5	0          	12351.5	12351.5
95 	40    	12351.5	0          	12351.5	12351.5
96 	39    	12351.5	0          	12351.5	12351.5
97 	38    	12351.5	0          	12351.5	12351.5
98 	34    	12351.5	0          	12351.5	12351.5
99 	38    	12351.5	0          	12351.5	12351.5
100	39    	12351.5	0          	12351.5	12351.5
