gen	nevals	avg    	std        	min    	max    
0  	500   	8711.21	5759.68    	-1000  	12339.1
1  	374   	11845  	2103.36    	-1000  	12339.1
2  	365   	12237.3	84.1445    	11571.2	12339.8
3  	395   	12271.4	57.1487    	12005.7	12339.8
4  	371   	12293.1	41.6101    	12148.5	12339.8
5  	362   	12307.4	32.2447    	12174.4	12339.8
6  	394   	12317.1	24.7083    	12174.4	12339.8
7  	381   	12324.2	16.8143    	12178.6	12339.8
8  	390   	12328  	14.3414    	12178.6	12339.8
9  	382   	12331.2	11.745     	12178.6	12345  
10 	378   	12332.9	8.59291    	12284.8	12345  
11 	382   	12334.3	7.6778     	12284.8	12345  
12 	378   	12335.7	5.94003    	12303  	12345  
13 	389   	12336.9	4.79278    	12303  	12345  
14 	374   	12337.7	4.35495    	12303  	12345  
15 	375   	12338.5	3.44664    	12303  	12345  
16 	380   	12339.2	3.52986    	12303  	12346.4
17 	394   	12340  	3.53902    	12303  	12346.4
18 	383   	12340.8	3.18007    	12330.6	12346.4
19 	373   	12341.8	3.10072    	12330.6	12346.4
20 	377   	12342.8	2.90936    	12330.6	12349.8
21 	371   	12343.6	2.53466    	12330.6	12349.8
22 	386   	12344.3	2.18347    	12330.6	12349.8
23 	368   	12344.8	1.63049    	12331.9	12349.8
24 	386   	12345.1	1.55807    	12331.9	12354.1
25 	369   	12345.5	1.55453    	12336.7	12354.1
26 	380   	12346  	2.0081     	12336.7	12354.1
27 	389   	12346.6	2.43243    	12336.7	12354.1
28 	375   	12347.3	2.62682    	12339.1	12354.1
29 	392   	12348.2	2.90388    	12339.8	12354.1
30 	368   	12349.5	3.0705     	12344.6	12354.1
31 	371   	12350.6	2.98309    	12344.6	12354.7
32 	378   	12351.7	2.8674     	12344.6	12354.7
33 	374   	12352.7	2.4972     	12344.6	12354.7
34 	364   	12353.3	2.01753    	12344.6	12355  
35 	385   	12353.7	1.53462    	12345  	12355  
36 	394   	12353.8	1.19454    	12346.2	12355  
37 	370   	12354  	0.8052     	12346.2	12355  
38 	375   	12354.1	0.689136   	12348.5	12355  
39 	391   	12354.2	0.564995   	12348.5	12355.6
40 	386   	12354.3	0.554575   	12348.5	12355.9
41 	358   	12354.5	0.546197   	12348.5	12355.9
42 	384   	12354.6	0.458869   	12350.7	12355.9
43 	367   	12354.8	0.456474   	12350.7	12357.6
44 	370   	12354.9	0.417143   	12354.1	12357.6
45 	368   	12355.1	0.436295   	12354.1	12357.6
46 	385   	12355.2	0.439097   	12354.1	12357.6
47 	373   	12355.4	0.50913    	12354.1	12357.6
48 	353   	12355.6	0.541261   	12354.1	12357.6
49 	368   	12355.8	0.582887   	12354.7	12357.6
50 	374   	12356  	0.657098   	12354.7	12357.6
51 	378   	12356.2	0.745834   	12354.7	12357.6
52 	400   	12356.4	0.814724   	12355  	12357.6
53 	359   	12356.8	0.859979   	12355  	12357.6
54 	380   	12357.1	0.77065    	12355  	12357.6
55 	392   	12357.3	0.621267   	12355  	12357.6
56 	373   	12357.4	0.456914   	12355  	12357.6
57 	383   	12357.5	0.3621     	12355  	12357.6
58 	386   	12357.5	0.27575    	12355  	12357.7
59 	372   	12357.6	0.185938   	12355  	12357.7
60 	393   	12357.6	0.0744924  	12356  	12357.7
61 	388   	12357.6	0.0759455  	12356  	12357.7
62 	377   	12357.6	0.0294831  	12357.6	12357.7
63 	357   	12357.6	0.0325254  	12357.6	12357.7
64 	389   	12357.6	0.0319475  	12357.6	12357.7
65 	386   	12357.6	0.0310678  	12357.6	12357.7
66 	388   	12357.6	0.0335214  	12357.6	12357.7
67 	375   	12357.6	0.0373094  	12357.6	12357.7
68 	387   	12357.6	0.0514458  	12357.6	12358.3
69 	357   	12357.7	0.0679447  	12357.6	12358.4
70 	371   	12357.7	0.0982575  	12357.6	12358.6
71 	365   	12357.7	0.136727   	12357.6	12358.6
72 	377   	12357.8	0.183599   	12357.6	12358.6
73 	375   	12357.8	0.227289   	12357.6	12358.6
74 	382   	12357.9	0.28968    	12357.6	12358.6
75 	359   	12358  	0.327294   	12357.6	12358.6
76 	375   	12358.1	0.337495   	12357.6	12358.6
77 	367   	12358.2	0.318416   	12357.7	12358.6
78 	354   	12358.3	0.270434   	12357.7	12358.6
79 	380   	12358.3	0.232196   	12357.7	12358.6
80 	381   	12358.4	0.194804   	12357.7	12358.6
81 	360   	12358.4	0.170118   	12357.7	12358.6
82 	378   	12358.5	0.148237   	12357.7	12358.6
83 	382   	12358.5	0.139151   	12357.7	12358.6
84 	373   	12358.5	0.123353   	12357.7	12358.6
85 	389   	12358.5	0.111526   	12357.7	12358.6
86 	350   	12358.5	0.0944696  	12357.7	12358.6
87 	374   	12358.6	0.0816968  	12357.7	12358.6
88 	371   	12358.6	0.0754466  	12357.7	12358.6
89 	377   	12358.6	0.0569321  	12358.3	12358.6
90 	363   	12358.6	0.0485691  	12358.3	12358.6
91 	371   	12358.6	0.042041   	12358.3	12358.6
92 	382   	12358.6	0.0354881  	12358.3	12358.6
93 	373   	12358.6	0.0302716  	12358.3	12358.6
94 	392   	12358.6	0.0267517  	12358.3	12358.6
95 	361   	12358.6	0.0237251  	12358.3	12358.6
96 	372   	12358.6	0.0214468  	12358.3	12358.6
97 	380   	12358.6	0.0214468  	12358.3	12358.6
98 	365   	12358.6	0.0202037  	12358.3	12358.6
99 	370   	12358.6	0.0174354  	12358.3	12358.6
100	392   	12358.6	0.0174354  	12358.3	12358.6
101	379   	12358.6	0.0158611  	12358.3	12358.6
102	364   	12358.6	0.0158646  	12358.3	12358.6
103	352   	12358.6	0.00730579 	12358.4	12358.6
104	365   	12358.6	0.00731183 	12358.4	12358.6
105	379   	12358.6	0.00731183 	12358.4	12358.6
106	378   	12358.6	0.00731784 	12358.4	12358.6
107	377   	12358.6	0.000632488	12358.6	12358.6
108	372   	12358.6	0.000845136	12358.6	12358.6
109	386   	12358.6	0.000972894	12358.6	12358.6
110	395   	12358.6	0.00108438 	12358.6	12358.6
111	369   	12358.6	0.00138542 	12358.6	12358.6
112	393   	12358.6	0.00160028 	12358.6	12358.6
113	385   	12358.6	0.00190702 	12358.6	12358.6
114	382   	12358.6	0.0022822  	12358.6	12358.6
115	363   	12358.6	0.00267512 	12358.6	12358.6
116	372   	12358.6	0.00296527 	12358.6	12358.6
117	377   	12358.6	0.00313743 	12358.6	12358.6
118	389   	12358.6	0.00317583 	12358.6	12358.6
119	386   	12358.6	0.00311672 	12358.6	12358.6
120	382   	12358.6	0.00293995 	12358.6	12358.6
121	368   	12358.6	0.00275985 	12358.6	12358.6
122	378   	12358.6	0.00245272 	12358.6	12358.6
123	368   	12358.6	0.00217902 	12358.6	12358.6
124	353   	12358.6	0.00185508 	12358.6	12358.6
125	381   	12358.6	0.00168453 	12358.6	12358.6
126	395   	12358.6	0.00155583 	12358.6	12358.6
127	385   	12358.6	0.00146155 	12358.6	12358.6
128	396   	12358.6	0.00135886 	12358.6	12358.6
129	379   	12358.6	0.00111879 	12358.6	12358.6
130	371   	12358.6	0.000972894	12358.6	12358.6
131	376   	12358.6	0.000972894	12358.6	12358.6
132	375   	12358.6	0.000889944	12358.6	12358.6
133	364   	12358.6	0.000692156	12358.6	12358.6
134	388   	12358.6	0.000566286	12358.6	12358.6
135	393   	12358.6	0.000490912	12358.6	12358.6
136	373   	12358.6	0.000401231	12358.6	12358.6
137	366   	12358.6	0.000401231	12358.6	12358.6
138	354   	12358.6	0.000401231	12358.6	12358.6
139	368   	12358.6	0.000401231	12358.6	12358.6
140	393   	12358.6	0.000401231	12358.6	12358.6
141	384   	12358.6	0.000401231	12358.6	12358.6
142	355   	12358.6	0.000283998	12358.6	12358.6
143	389   	12358.6	0.000283998	12358.6	12358.6
144	385   	12358.6	0.000283998	12358.6	12358.6
145	378   	12358.6	0.000283998	12358.6	12358.6
146	382   	12358.6	0.000283998	12358.6	12358.6
147	382   	12358.6	0.000283998	12358.6	12358.6
148	376   	12358.6	0          	12358.6	12358.6
149	381   	12358.6	0          	12358.6	12358.6
150	367   	12358.6	0          	12358.6	12358.6
151	354   	12358.6	0          	12358.6	12358.6
152	358   	12358.6	0          	12358.6	12358.6
153	376   	12358.6	0          	12358.6	12358.6
154	363   	12358.6	0          	12358.6	12358.6
155	372   	12358.6	0          	12358.6	12358.6
156	385   	12358.6	0          	12358.6	12358.6
157	373   	12358.6	0          	12358.6	12358.6
158	398   	12358.6	0          	12358.6	12358.6
159	356   	12358.6	0          	12358.6	12358.6
160	354   	12358.6	0          	12358.6	12358.6
161	368   	12358.6	0          	12358.6	12358.6
162	371   	12358.6	0          	12358.6	12358.6
163	382   	12358.6	0          	12358.6	12358.6
164	382   	12358.6	0          	12358.6	12358.6
165	367   	12358.6	0          	12358.6	12358.6
166	381   	12358.6	0          	12358.6	12358.6
167	378   	12358.6	0          	12358.6	12358.6
168	387   	12358.6	0          	12358.6	12358.6
169	386   	12358.6	0          	12358.6	12358.6
170	375   	12358.6	0          	12358.6	12358.6
171	384   	12358.6	0          	12358.6	12358.6
172	364   	12358.6	0.00341509 	12358.6	12358.7
173	365   	12358.6	0.00341509 	12358.6	12358.7
174	378   	12358.6	0.00482482 	12358.6	12358.7
175	380   	12358.6	0.00680962 	12358.6	12358.7
176	375   	12358.6	0.00959134 	12358.6	12358.7
177	381   	12358.6	0.0121643  	12358.6	12358.7
178	385   	12358.6	0.0138532  	12358.6	12358.7
179	384   	12358.6	0.018709   	12358.6	12358.7
180	377   	12358.6	0.0231345  	12358.6	12358.7
181	385   	12358.6	0.0271439  	12358.6	12358.7
182	380   	12358.6	0.0309147  	12358.6	12358.7
183	387   	12358.6	0.0346145  	12358.6	12358.7
184	387   	12358.6	0.0370261  	12358.6	12358.7
185	390   	12358.6	0.0379796  	12358.6	12358.7
186	362   	12358.6	0.0379251  	12358.6	12358.7
187	383   	12358.7	0.0365074  	12358.6	12358.7
188	382   	12358.7	0.0343216  	12358.6	12358.7
189	379   	12358.7	0.0309451  	12358.6	12358.7
190	392   	12358.7	0.0283329  	12358.6	12358.7
191	381   	12358.7	0.0260677  	12358.6	12358.7
192	364   	12358.7	0.0235589  	12358.6	12358.7
193	360   	12358.7	0.0202845  	12358.6	12358.7
194	386   	12358.7	0.0178963  	12358.6	12358.7
195	384   	12358.7	0.0157381  	12358.6	12358.7
196	369   	12358.7	0.0131394  	12358.6	12358.7
197	373   	12358.7	0.0113941  	12358.6	12358.7
198	376   	12358.7	0.0103954  	12358.6	12358.7
199	374   	12358.7	0.00872351 	12358.6	12358.7
200	360   	12358.7	0.00834489 	12358.6	12358.7
