gen	nevals	avg    	std        	min    	max    
0  	50    	1034.07	1487.1     	-1000  	2208.56
1  	39    	1975.6 	753.074    	-1000  	2208.56
2  	37    	2186.51	40.4098    	2053.87	2217.15
3  	39    	2205.58	18.7679    	2100.32	2261.03
4  	38    	2207.27	18.051     	2100.32	2261.03
5  	40    	2213.07	19.8918    	2184.92	2337.04
6  	35    	2218.28	26.3028    	2208.01	2337.04
7  	33    	2221.77	30.8191    	2208.01	2337.04
8  	35    	2228.58	38.0069    	2208.01	2337.04
9  	42    	2232   	38.2702    	2208.01	2337.04
10 	37    	2236.48	40.921     	2208.01	2337.04
11 	39    	2247.78	46.052     	2208.52	2337.04
12 	36    	2259.42	49.9681    	2208.52	2337.04
13 	31    	2279.14	52.3207    	2208.52	2337.04
14 	39    	2286.61	51.156     	2208.52	2337.04
15 	42    	2291.47	49.9223    	2208.52	2337.04
16 	39    	2301.54	49.2591    	2208.52	2337.04
17 	37    	2307.92	46.1709    	2208.52	2337.04
18 	37    	2315.29	40.0145    	2217.15	2337.04
19 	37    	2320.09	34.8116    	2217.15	2337.04
20 	39    	2322.48	31.6219    	2217.15	2337.04
21 	39    	2324   	30.4359    	2217.15	2337.04
22 	36    	2327.04	27.6637    	2217.15	2337.04
23 	34    	2328.56	26.0349    	2217.15	2337.04
24 	40    	2330.08	24.2018    	2217.15	2337.04
25 	36    	2331.61	22.1137    	2217.15	2337.04
26 	29    	2334   	14.8953    	2261.03	2337.04
27 	40    	2334   	14.8953    	2261.03	2337.04
28 	36    	2335.52	10.6417    	2261.03	2337.04
29 	39    	2335.52	10.6417    	2261.03	2337.04
30 	31    	2335.52	10.6417    	2261.03	2337.04
31 	35    	2335.52	10.6417    	2261.03	2337.04
32 	43    	2335.52	10.6417    	2261.03	2337.04
33 	37    	2335.52	10.6417    	2261.03	2337.04
34 	39    	2337.04	4.54747e-13	2337.04	2337.04
35 	37    	2337.04	4.54747e-13	2337.04	2337.04
36 	37    	2337.04	4.54747e-13	2337.04	2337.04
37 	37    	2337.04	4.54747e-13	2337.04	2337.04
38 	39    	2337.04	4.54747e-13	2337.04	2337.04
39 	44    	2337.04	4.54747e-13	2337.04	2337.04
40 	37    	2337.04	4.54747e-13	2337.04	2337.04
41 	38    	2337.04	4.54747e-13	2337.04	2337.04
42 	31    	2337.04	4.54747e-13	2337.04	2337.04
43 	32    	2337.04	4.54747e-13	2337.04	2337.04
44 	33    	2337.04	4.54747e-13	2337.04	2337.04
45 	37    	2337.04	4.54747e-13	2337.04	2337.04
46 	39    	2337.04	4.54747e-13	2337.04	2337.04
47 	44    	2337.04	4.54747e-13	2337.04	2337.04
48 	40    	2337.04	4.54747e-13	2337.04	2337.04
49 	42    	2337.04	4.54747e-13	2337.04	2337.04
50 	35    	2337.04	4.54747e-13	2337.04	2337.04
51 	38    	2337.04	4.54747e-13	2337.04	2337.04
52 	42    	2337.04	4.54747e-13	2337.04	2337.04
53 	31    	2337.04	4.54747e-13	2337.04	2337.04
54 	33    	2337.04	4.54747e-13	2337.04	2337.04
55 	44    	2337.04	4.54747e-13	2337.04	2337.04
56 	44    	2337.04	4.54747e-13	2337.04	2337.04
57 	37    	2337.04	4.54747e-13	2337.04	2337.04
58 	38    	2337.04	4.54747e-13	2337.04	2337.04
59 	37    	2337.04	4.54747e-13	2337.04	2337.04
60 	27    	2337.04	4.54747e-13	2337.04	2337.04
61 	38    	2337.04	4.54747e-13	2337.04	2337.04
62 	36    	2337.04	4.54747e-13	2337.04	2337.04
63 	30    	2337.04	4.54747e-13	2337.04	2337.04
64 	37    	2337.04	4.54747e-13	2337.04	2337.04
65 	40    	2337.04	4.54747e-13	2337.04	2337.04
66 	41    	2337.04	4.54747e-13	2337.04	2337.04
67 	37    	2337.04	4.54747e-13	2337.04	2337.04
68 	38    	2337.04	4.54747e-13	2337.04	2337.04
69 	40    	2337.04	4.54747e-13	2337.04	2337.04
70 	34    	2337.04	4.54747e-13	2337.04	2337.04
71 	36    	2337.04	4.54747e-13	2337.04	2337.04
72 	36    	2337.04	4.54747e-13	2337.04	2337.04
73 	42    	2337.04	4.54747e-13	2337.04	2337.04
74 	38    	2337.04	4.54747e-13	2337.04	2337.04
75 	38    	2337.04	4.54747e-13	2337.04	2337.04
76 	39    	2337.04	4.54747e-13	2337.04	2337.04
77 	39    	2337.04	4.54747e-13	2337.04	2337.04
78 	42    	2337.04	4.54747e-13	2337.04	2337.04
79 	30    	2337.04	4.54747e-13	2337.04	2337.04
80 	34    	2337.04	4.54747e-13	2337.04	2337.04
81 	37    	2337.04	4.54747e-13	2337.04	2337.04
82 	35    	2337.04	4.54747e-13	2337.04	2337.04
83 	34    	2337.04	4.54747e-13	2337.04	2337.04
84 	39    	2337.04	4.54747e-13	2337.04	2337.04
85 	42    	2337.04	4.54747e-13	2337.04	2337.04
86 	44    	2337.04	4.54747e-13	2337.04	2337.04
87 	39    	2337.04	4.54747e-13	2337.04	2337.04
88 	34    	2337.04	4.54747e-13	2337.04	2337.04
89 	36    	2337.04	4.54747e-13	2337.04	2337.04
90 	40    	2337.04	4.54747e-13	2337.04	2337.04
91 	38    	2337.04	4.54747e-13	2337.04	2337.04
92 	42    	2337.04	4.54747e-13	2337.04	2337.04
93 	40    	2337.04	4.54747e-13	2337.04	2337.04
