gen	nevals	avg    	std        	min    	max    
0  	500   	8681.58	5743.94    	-1000  	12335.9
1  	374   	11774.1	2183.9     	-1000  	12347.8
2  	365   	12190.6	601.907    	-1000  	12347.8
3  	395   	12254  	70.3426    	12006.7	12348.2
4  	371   	12280.6	58.1352    	12006.7	12348.2
5  	362   	12301.2	48.8138    	12006.7	12348.2
6  	394   	12314.2	39.3863    	12152.9	12348.2
7  	381   	12324  	30.9092    	12175  	12348.2
8  	390   	12329.4	24.8545    	12175  	12348.2
9  	382   	12333.2	18.045     	12178.6	12348.2
10 	378   	12335.1	17.2748    	12178.6	12348.2
11 	382   	12337.6	15.9487    	12180.2	12348.2
12 	378   	12340  	13.7627    	12187.9	12349.1
13 	389   	12342.7	10.4082    	12191.9	12349.1
14 	374   	12345.1	6.1682     	12292.2	12349.1
15 	375   	12346  	5.60866    	12292.2	12349.1
16 	380   	12346.9	4.30996    	12292.2	12349.1
17 	394   	12347.5	2.82554    	12331.3	12349.1
18 	383   	12347.8	2.45019    	12334.1	12349.1
19 	373   	12348  	2.03111    	12334.1	12349.1
20 	377   	12348.3	1.49132    	12334.1	12349.1
21 	371   	12348.6	1.07948    	12334.1	12349.1
22 	386   	12348.8	0.770608   	12334.1	12349.1
23 	368   	12348.9	0.739987   	12334.1	12349.1
24 	386   	12349  	0.280154   	12348.2	12349.1
25 	369   	12349  	0.229626   	12348.2	12349.1
26 	380   	12349  	0.182195   	12348.2	12349.1
27 	389   	12349  	0.13596    	12348.2	12349.1
28 	375   	12349  	0.0791375  	12348.2	12349.1
29 	392   	12349  	0.0791375  	12348.2	12349.1
30 	368   	12349  	0.0560714  	12348.2	12349.1
31 	371   	12349  	0.0560714  	12348.2	12349.1
32 	378   	12349  	0.0396882  	12348.2	12349.1
33 	374   	12349  	0.0396882  	12348.2	12349.1
34 	364   	12349.1	1.81899e-12	12349.1	12349.1
35 	385   	12349.1	1.81899e-12	12349.1	12349.1
36 	394   	12349.1	1.81899e-12	12349.1	12349.1
37 	370   	12349.1	1.81899e-12	12349.1	12349.1
38 	375   	12349.1	1.81899e-12	12349.1	12349.1
39 	391   	12349.1	1.81899e-12	12349.1	12349.1
40 	386   	12349.1	1.81899e-12	12349.1	12349.1
41 	358   	12349.1	1.81899e-12	12349.1	12349.1
42 	384   	12349.1	1.81899e-12	12349.1	12349.1
43 	367   	12349.1	1.81899e-12	12349.1	12349.1
44 	370   	12349.1	1.81899e-12	12349.1	12349.1
45 	368   	12349.1	1.81899e-12	12349.1	12349.1
46 	385   	12349.1	1.81899e-12	12349.1	12349.1
47 	373   	12349.1	1.81899e-12	12349.1	12349.1
48 	353   	12349.1	1.81899e-12	12349.1	12349.1
49 	368   	12349.1	1.81899e-12	12349.1	12349.1
50 	374   	12349.1	1.81899e-12	12349.1	12349.1
51 	378   	12349.1	1.81899e-12	12349.1	12349.1
52 	400   	12349.1	1.81899e-12	12349.1	12349.1
53 	359   	12349.1	1.81899e-12	12349.1	12349.1
54 	380   	12349.1	1.81899e-12	12349.1	12349.1
55 	392   	12349.1	1.81899e-12	12349.1	12349.1
56 	373   	12349.1	1.81899e-12	12349.1	12349.1
57 	383   	12349.1	1.81899e-12	12349.1	12349.1
58 	386   	12349.1	1.81899e-12	12349.1	12349.1
59 	372   	12349.1	1.81899e-12	12349.1	12349.1
60 	393   	12349.1	1.81899e-12	12349.1	12349.1
