gen	nevals	avg    	std        	min    	max    
0  	500   	1308.66	1376.95    	-1000  	2261.03
1  	374   	2070.87	527.25     	-1000  	2261.03
2  	365   	2188.65	52.0291    	1308.51	2274.51
3  	395   	2203.79	24.3812    	2098.89	2289.29
4  	371   	2210.86	17.8167    	2100.32	2289.29
5  	362   	2214.99	16.9814    	2100.32	2289.29
6  	394   	2219.64	18.5088    	2103.79	2302.16
7  	381   	2225.74	20.9152    	2103.79	2308.27
8  	390   	2232.83	22.2791    	2187.56	2308.27
9  	382   	2240.72	24.2493    	2187.56	2308.27
10 	378   	2249.42	25.8073    	2208.52	2308.27
11 	382   	2259.09	26.0248    	2208.52	2308.27
12 	378   	2267.86	25.4404    	2209.9 	2308.27
13 	389   	2276.27	23.8057    	2209.9 	2308.27
14 	374   	2282.24	21.8838    	2209.9 	2308.27
15 	375   	2287.87	19.3768    	2209.9 	2308.27
16 	380   	2292.85	17.2515    	2209.9 	2308.27
17 	394   	2297.38	14.6029    	2209.9 	2308.52
18 	383   	2300.39	12.0679    	2209.9 	2308.52
19 	373   	2302.98	9.60114    	2219.01	2308.52
20 	377   	2304.42	8.18019    	2219.88	2308.52
21 	371   	2305.52	7.13743    	2219.88	2308.52
22 	386   	2306.31	6.29979    	2219.88	2308.52
23 	368   	2306.74	5.95109    	2219.88	2308.52
24 	386   	2307.19	4.06159    	2257.32	2308.52
25 	369   	2307.52	3.17543    	2274.51	2308.52
26 	380   	2307.65	3.03237    	2274.51	2308.52
27 	389   	2307.93	1.77623    	2289.29	2308.52
28 	375   	2308   	1.56832    	2289.29	2308.52
29 	392   	2308.02	1.56808    	2289.29	2308.52
30 	368   	2308.08	1.51476    	2289.29	2308.52
31 	371   	2308.13	1.26036    	2289.29	2308.52
32 	378   	2308.19	1.08609    	2289.29	2308.52
33 	374   	2308.22	1.02339    	2289.29	2308.52
34 	364   	2308.32	0.20858    	2305.58	2308.52
35 	385   	2308.34	0.20137    	2305.58	2308.52
36 	394   	2308.36	0.200024   	2305.58	2308.52
37 	370   	2308.39	0.191301   	2305.58	2308.52
38 	375   	2308.42	0.186644   	2305.58	2308.52
39 	391   	2308.44	0.184027   	2305.58	2308.52
40 	386   	2308.45	0.177657   	2305.58	2308.52
41 	358   	2308.47	0.191578   	2305.58	2310.52
42 	384   	2308.48	0.184976   	2305.58	2310.52
43 	367   	2308.49	0.181257   	2305.58	2310.52
44 	370   	2308.51	0.14472    	2308.27	2310.52
45 	368   	2308.52	0.166853   	2308.27	2310.52
46 	385   	2308.53	0.208399   	2308.27	2310.52
47 	373   	2308.55	0.244077   	2308.27	2310.52
48 	353   	2308.57	0.30716    	2308.27	2310.52
49 	368   	2308.6 	0.3653     	2308.27	2310.52
50 	374   	2308.65	0.472316   	2308.27	2310.83
51 	378   	2308.74	0.589497   	2308.27	2310.83
52 	400   	2308.83	0.678927   	2308.27	2310.83
53 	359   	2309   	0.795216   	2308.27	2310.83
54 	380   	2309.17	0.863269   	2308.27	2310.83
55 	392   	2309.36	0.899284   	2308.27	2310.83
56 	373   	2309.57	0.91488    	2308.27	2310.83
57 	383   	2309.76	0.888953   	2308.27	2310.83
58 	386   	2309.92	0.855651   	2308.27	2310.83
59 	372   	2310.05	0.808958   	2308.27	2310.83
60 	393   	2310.14	0.755813   	2308.27	2310.83
61 	388   	2310.27	0.682899   	2308.27	2310.83
62 	377   	2310.39	0.598066   	2308.27	2310.83
63 	357   	2310.48	0.535426   	2308.27	2310.83
64 	389   	2310.55	0.466682   	2308.52	2310.83
65 	386   	2310.61	0.414305   	2308.52	2310.83
66 	388   	2310.65	0.374882   	2308.52	2310.83
67 	375   	2310.7 	0.308949   	2308.52	2310.83
68 	387   	2310.73	0.269563   	2308.52	2310.83
69 	357   	2310.76	0.220704   	2308.52	2310.83
70 	371   	2310.78	0.201313   	2308.52	2310.83
71 	365   	2310.79	0.180713   	2308.52	2310.83
72 	377   	2310.8 	0.145275   	2309.06	2310.83
73 	375   	2310.8 	0.141325   	2309.06	2310.83
74 	382   	2310.81	0.137736   	2309.06	2310.83
75 	359   	2310.81	0.131963   	2309.06	2310.83
76 	375   	2310.82	0.0814879  	2309.39	2310.83
77 	367   	2310.83	0.0741804  	2309.39	2310.83
78 	354   	2310.83	0.0315661  	2310.52	2310.83
79 	380   	2310.83	0.0141737  	2310.52	2310.83
80 	381   	2310.83	4.54747e-13	2310.83	2310.83
81 	360   	2310.83	4.54747e-13	2310.83	2310.83
82 	378   	2310.83	4.54747e-13	2310.83	2310.83
83 	382   	2310.83	4.54747e-13	2310.83	2310.83
84 	373   	2310.83	4.54747e-13	2310.83	2310.83
85 	389   	2310.83	4.54747e-13	2310.83	2310.83
86 	350   	2310.83	4.54747e-13	2310.83	2310.83
87 	374   	2310.83	4.54747e-13	2310.83	2310.83
88 	371   	2310.83	4.54747e-13	2310.83	2310.83
89 	377   	2310.83	4.54747e-13	2310.83	2310.83
90 	363   	2310.83	4.54747e-13	2310.83	2310.83
91 	371   	2310.83	4.54747e-13	2310.83	2310.83
92 	382   	2310.83	4.54747e-13	2310.83	2310.83
93 	373   	2310.83	4.54747e-13	2310.83	2310.83
94 	392   	2310.83	4.54747e-13	2310.83	2310.83
95 	361   	2310.83	4.54747e-13	2310.83	2310.83
96 	372   	2310.83	4.54747e-13	2310.83	2310.83
97 	380   	2310.83	4.54747e-13	2310.83	2310.83
98 	365   	2310.83	4.54747e-13	2310.83	2310.83
99 	370   	2310.83	4.54747e-13	2310.83	2310.83
100	392   	2310.83	4.54747e-13	2310.83	2310.83
