gen	nevals	avg    	std        	min    	max    
0  	500   	1305.79	1379.03    	-1000  	2289.29
1  	374   	2069.98	542.352    	-1000  	2289.29
2  	365   	2179.86	205.125    	-1000  	2337.04
3  	395   	2210.45	29.5004    	2098.89	2337.04
4  	371   	2220.83	31.8224    	2100.81	2337.04
5  	362   	2232.29	38.1874    	2184.92	2337.04
6  	394   	2246.97	45.405     	2207.75	2337.04
7  	381   	2261.7 	49.0513    	2207.75	2339.36
8  	390   	2279.95	50.4122    	2207.75	2339.36
9  	382   	2296.79	48.1484    	2208.01	2339.36
10 	378   	2311.53	42.2217    	2208.52	2339.36
11 	382   	2322.1 	33.6179    	2208.52	2339.36
12 	378   	2328.52	27.3431    	2208.52	2339.36
13 	389   	2332.21	20.4642    	2217.47	2339.36
14 	374   	2334.75	15.871     	2217.47	2339.36
15 	375   	2336.02	13.3679    	2217.47	2339.36
16 	380   	2337.01	11.6728    	2219.42	2339.36
17 	394   	2337.99	8.46388    	2219.88	2339.36
18 	383   	2338.63	6.22273    	2219.88	2339.36
19 	373   	2338.86	5.80487    	2219.88	2339.36
20 	377   	2339.01	5.3567     	2219.88	2339.36
21 	371   	2339.31	0.355192   	2337.04	2339.36
22 	386   	2339.34	0.230914   	2337.04	2339.36
23 	368   	2339.35	0.206744   	2337.04	2339.36
24 	386   	2339.35	0.179226   	2337.04	2339.36
25 	369   	2339.36	0.103684   	2337.04	2339.36
26 	380   	2339.36	0.103684   	2337.04	2339.36
27 	389   	2339.36	0.103684   	2337.04	2339.36
28 	375   	2339.36	0.103684   	2337.04	2339.36
29 	392   	2339.36	0.103684   	2337.04	2339.36
30 	368   	2339.36	4.54747e-13	2339.36	2339.36
31 	371   	2339.36	4.54747e-13	2339.36	2339.36
32 	378   	2339.36	4.54747e-13	2339.36	2339.36
33 	374   	2339.36	4.54747e-13	2339.36	2339.36
34 	364   	2339.36	4.54747e-13	2339.36	2339.36
35 	385   	2339.36	4.54747e-13	2339.36	2339.36
36 	394   	2339.36	4.54747e-13	2339.36	2339.36
37 	370   	2339.36	4.54747e-13	2339.36	2339.36
38 	375   	2339.36	4.54747e-13	2339.36	2339.36
39 	391   	2339.36	4.54747e-13	2339.36	2339.36
40 	386   	2339.36	4.54747e-13	2339.36	2339.36
41 	358   	2339.36	4.54747e-13	2339.36	2339.36
42 	384   	2339.36	4.54747e-13	2339.36	2339.36
43 	367   	2339.36	4.54747e-13	2339.36	2339.36
44 	370   	2339.36	4.54747e-13	2339.36	2339.36
45 	368   	2339.36	4.54747e-13	2339.36	2339.36
46 	385   	2339.36	4.54747e-13	2339.36	2339.36
47 	373   	2339.36	4.54747e-13	2339.36	2339.36
48 	353   	2339.36	4.54747e-13	2339.36	2339.36
49 	368   	2339.36	4.54747e-13	2339.36	2339.36
50 	374   	2339.36	4.54747e-13	2339.36	2339.36
51 	378   	2339.36	4.54747e-13	2339.36	2339.36
52 	400   	2339.36	4.54747e-13	2339.36	2339.36
53 	359   	2339.36	4.54747e-13	2339.36	2339.36
54 	380   	2339.36	4.54747e-13	2339.36	2339.36
55 	392   	2339.36	4.54747e-13	2339.36	2339.36
56 	373   	2339.36	4.54747e-13	2339.36	2339.36
57 	383   	2339.36	4.54747e-13	2339.36	2339.36
58 	386   	2339.36	4.54747e-13	2339.36	2339.36
59 	372   	2339.36	4.54747e-13	2339.36	2339.36
60 	393   	2339.36	4.54747e-13	2339.36	2339.36
61 	388   	2339.36	4.54747e-13	2339.36	2339.36
62 	377   	2339.36	4.54747e-13	2339.36	2339.36
63 	357   	2339.36	4.54747e-13	2339.36	2339.36
64 	389   	2339.36	4.54747e-13	2339.36	2339.36
65 	386   	2339.36	4.54747e-13	2339.36	2339.36
66 	388   	2339.36	4.54747e-13	2339.36	2339.36
67 	375   	2339.36	4.54747e-13	2339.36	2339.36
68 	387   	2339.36	4.54747e-13	2339.36	2339.36
69 	357   	2339.36	4.54747e-13	2339.36	2339.36
70 	371   	2339.36	4.54747e-13	2339.36	2339.36
71 	365   	2339.36	4.54747e-13	2339.36	2339.36
72 	377   	2339.36	4.54747e-13	2339.36	2339.36
73 	375   	2339.36	4.54747e-13	2339.36	2339.36
74 	382   	2339.36	4.54747e-13	2339.36	2339.36
75 	359   	2339.36	4.54747e-13	2339.36	2339.36
76 	375   	2339.36	4.54747e-13	2339.36	2339.36
77 	367   	2339.36	4.54747e-13	2339.36	2339.36
78 	354   	2339.36	4.54747e-13	2339.36	2339.36
79 	380   	2339.36	4.54747e-13	2339.36	2339.36
80 	381   	2339.36	4.54747e-13	2339.36	2339.36
81 	360   	2339.36	4.54747e-13	2339.36	2339.36
82 	378   	2339.36	4.54747e-13	2339.36	2339.36
83 	382   	2339.36	4.54747e-13	2339.36	2339.36
84 	373   	2339.36	4.54747e-13	2339.36	2339.36
85 	389   	2339.36	4.54747e-13	2339.36	2339.36
86 	350   	2339.36	4.54747e-13	2339.36	2339.36
87 	374   	2339.36	4.54747e-13	2339.36	2339.36
88 	371   	2339.36	4.54747e-13	2339.36	2339.36
89 	377   	2339.36	4.54747e-13	2339.36	2339.36
90 	363   	2339.36	4.54747e-13	2339.36	2339.36
91 	371   	2339.36	4.54747e-13	2339.36	2339.36
92 	382   	2339.36	4.54747e-13	2339.36	2339.36
93 	373   	2339.36	4.54747e-13	2339.36	2339.36
94 	392   	2339.36	4.54747e-13	2339.36	2339.36
95 	361   	2339.36	4.54747e-13	2339.36	2339.36
96 	372   	2339.36	4.54747e-13	2339.36	2339.36
97 	380   	2339.36	4.54747e-13	2339.36	2339.36
98 	365   	2339.36	4.54747e-13	2339.36	2339.36
99 	370   	2339.36	4.54747e-13	2339.36	2339.36
100	392   	2339.36	4.54747e-13	2339.36	2339.36
