gen	nevals	avg     	std        	min    	max    
0  	50    	-65.0107	746.677    	-1000  	984.431
1  	39    	575.178 	516.224    	-1000  	1007.49
2  	37    	879.603 	186.633    	48.2617	1007.49
3  	39    	936.701 	110.267    	433.032	1007.69
4  	38    	973.576 	41.7734    	831.757	1007.69
5  	40    	981.508 	35.76      	831.757	1007.69
6  	35    	991.46  	25.3617    	854.994	1007.69
7  	33    	999.011 	11.5178    	965.274	1007.69
8  	35    	1002.77 	9.47215    	965.274	1007.69
9  	42    	1004    	8.81352    	965.274	1007.69
10 	37    	1004.38 	8.86621    	965.274	1007.69
11 	39    	1005.86 	6.76116    	965.274	1007.69
12 	36    	1005.99 	6.74759    	965.274	1007.69
13 	31    	1006.5  	6.00979    	965.274	1007.69
14 	39    	1007.35 	1.19979    	1001.69	1007.69
15 	42    	1007.45 	1.08935    	1001.69	1008.42
16 	39    	1007.71 	0.149289   	1007.49	1008.42
17 	37    	1007.72 	0.14589    	1007.49	1008.42
18 	37    	1007.72 	0.142295   	1007.69	1008.42
19 	37    	1007.74 	0.17245    	1007.69	1008.42
20 	39    	1007.77 	0.217844   	1007.69	1008.42
21 	39    	1007.82 	0.278976   	1007.69	1008.42
22 	36    	1007.88 	0.318512   	1007.69	1008.42
23 	34    	1007.94 	0.343982   	1007.69	1008.42
24 	40    	1007.98 	0.355737   	1007.69	1008.42
25 	36    	1008.14 	0.352461   	1007.69	1008.42
26 	29    	1008.23 	0.318512   	1007.69	1008.42
27 	40    	1008.32 	0.251963   	1007.69	1008.42
28 	36    	1008.36 	0.196998   	1007.69	1008.42
29 	39    	1008.4  	0.10166    	1007.69	1008.42
30 	31    	1008.42 	1.13687e-13	1008.42	1008.42
31 	35    	1008.42 	1.13687e-13	1008.42	1008.42
32 	43    	1008.42 	1.13687e-13	1008.42	1008.42
33 	37    	1008.42 	1.13687e-13	1008.42	1008.42
34 	39    	1008.42 	0.0106003  	1008.42	1008.49
