gen	nevals	avg    	std        	min    	max    
0  	50    	1116.97	1524.33    	-1000  	2634.6 
1  	39    	2061.1 	794.175    	-1000  	3031.51
2  	37    	2372.14	198.221    	2098.89	3031.51
3  	39    	2448.05	236.646    	2098.89	3031.51
4  	38    	2563.72	281.354    	2098.89	3031.51
5  	40    	2656.84	273.517    	2098.89	3031.51
6  	35    	2758.88	258.892    	2103.68	3206.33
7  	33    	2840.69	230.674    	2328.31	3206.33
8  	35    	2947.7 	190.273    	2328.31	3206.33
9  	42    	2957.83	184.886    	2328.31	3206.33
10 	37    	3013.87	123.095    	2525.31	3206.33
11 	39    	3023.99	101.401    	2633.67	3206.33
12 	36    	3034.48	110.289    	2633.67	3206.33
13 	31    	3065.51	96.6673    	2633.67	3206.33
14 	39    	3082.99	104.434    	2633.67	3206.33
15 	42    	3127.35	86.149     	3031.51	3206.33
16 	39    	3158.82	76.816     	3031.51	3206.33
17 	37    	3172.81	67.7421    	3031.51	3206.33
18 	37    	3186.79	53.7223    	3031.51	3206.33
19 	37    	3195.84	41.5183    	3031.51	3206.33
20 	39    	3199.34	34.2583    	3031.51	3206.33
21 	39    	3199.34	34.2583    	3031.51	3206.33
22 	36    	3202.83	24.4753    	3031.51	3206.33
23 	34    	3202.83	24.4753    	3031.51	3206.33
24 	40    	3202.83	24.4753    	3031.51	3206.33
25 	36    	3202.83	24.4753    	3031.51	3206.33
26 	29    	3206.33	4.54747e-13	3206.33	3206.33
27 	40    	3206.33	4.54747e-13	3206.33	3206.33
28 	36    	3206.33	4.54747e-13	3206.33	3206.33
29 	39    	3206.33	4.54747e-13	3206.33	3206.33
30 	31    	3207.72	9.70346    	3206.33	3275.64
31 	35    	3209.1 	13.582     	3206.33	3275.64
32 	43    	3210.49	16.4603    	3206.33	3275.64
33 	37    	3213.26	20.7931    	3206.33	3275.64
34 	39    	3218.81	26.6282    	3206.33	3275.64
35 	37    	3225.74	31.1203    	3206.33	3275.64
36 	37    	3236.83	34.4048    	3206.33	3275.64
37 	37    	3249.3 	33.6423    	3206.33	3275.64
38 	39    	3256.23	31.1203    	3206.33	3275.64
39 	44    	3265.94	24.0498    	3206.33	3275.64
40 	37    	3268.71	20.7931    	3206.33	3275.64
41 	38    	3271.48	16.4603    	3206.33	3275.64
42 	31    	3274.26	9.70346    	3206.33	3275.64
43 	32    	3275.64	4.54747e-13	3275.64	3275.64
44 	33    	3275.64	4.54747e-13	3275.64	3275.64
45 	37    	3275.64	4.54747e-13	3275.64	3275.64
46 	39    	3275.64	4.54747e-13	3275.64	3275.64
47 	44    	3275.64	4.54747e-13	3275.64	3275.64
48 	40    	3275.64	4.54747e-13	3275.64	3275.64
49 	42    	3275.64	4.54747e-13	3275.64	3275.64
50 	35    	3275.64	4.54747e-13	3275.64	3275.64
51 	38    	3275.64	4.54747e-13	3275.64	3275.64
52 	42    	3275.64	4.54747e-13	3275.64	3275.64
53 	31    	3275.64	4.54747e-13	3275.64	3275.64
54 	33    	3275.64	4.54747e-13	3275.64	3275.64
55 	44    	3275.64	4.54747e-13	3275.64	3275.64
56 	44    	3275.64	4.54747e-13	3275.64	3275.64
57 	37    	3275.64	4.54747e-13	3275.64	3275.64
58 	38    	3275.64	4.54747e-13	3275.64	3275.64
59 	37    	3275.64	4.54747e-13	3275.64	3275.64
60 	27    	3275.64	4.54747e-13	3275.64	3275.64
61 	38    	3275.64	4.54747e-13	3275.64	3275.64
62 	36    	3275.64	4.54747e-13	3275.64	3275.64
63 	30    	3275.64	4.54747e-13	3275.64	3275.64
64 	37    	3275.64	4.54747e-13	3275.64	3275.64
65 	40    	3275.64	4.54747e-13	3275.64	3275.64
66 	41    	3275.64	4.54747e-13	3275.64	3275.64
67 	37    	3275.64	4.54747e-13	3275.64	3275.64
68 	38    	3275.64	4.54747e-13	3275.64	3275.64
69 	40    	3275.64	4.54747e-13	3275.64	3275.64
