gen	nevals	avg     	std      	min  	max
0  	50    	-339.949	473.745  	-1000	1  
1  	39    	-59.8612	237.522  	-1000	1  
2  	37    	0.324   	0.385725 	0    	1  
3  	39    	0.498   	0.386704 	0    	1  
4  	38    	0.664   	0.354536 	0    	1  
5  	40    	0.7864  	0.301076 	0    	1  
6  	35    	0.8896  	0.241735 	0    	1  
7  	33    	0.9528  	0.150347 	0.06 	1  
8  	35    	0.9788  	0.0735837	0.6  	1  
9  	42    	0.9976  	0.0168   	0.88 	1  
10 	37    	0.9976  	0.0168   	0.88 	1  
11 	39    	0.9988  	0.0084   	0.94 	1  
12 	36    	0.9988  	0.0084   	0.94 	1  
13 	31    	1       	0        	1    	1  
14 	39    	1       	0        	1    	1  
15 	42    	1       	0        	1    	1  
16 	39    	1       	0        	1    	1  
17 	37    	1       	0        	1    	1  
18 	37    	1       	0        	1    	1  
19 	37    	1       	0        	1    	1  
20 	39    	1       	0        	1    	1  
