gen	nevals	avg     	std        	min  	max 
0  	50    	-339.996	473.712    	-1000	0.04
1  	39    	-59.9936	237.488    	-1000	0.04
2  	37    	0.012   	0.0164924  	0    	0.06
3  	39    	0.0168  	0.0184868  	0    	0.06
4  	38    	0.0376  	0.0963859  	0    	0.7 
5  	40    	0.0556  	0.132743   	0    	0.7 
6  	35    	0.0632  	0.130865   	0    	0.7 
7  	33    	0.0712  	0.130425   	0    	0.7 
8  	35    	0.1016  	0.178071   	0    	0.7 
9  	42    	0.1452  	0.215028   	0.02 	0.7 
10 	37    	0.1572  	0.214141   	0.02 	0.7 
11 	39    	0.2064  	0.244113   	0.04 	0.7 
12 	36    	0.2632  	0.258777   	0.04 	0.7 
13 	31    	0.3292  	0.278171   	0.04 	0.7 
14 	39    	0.3608  	0.268029   	0.04 	0.7 
15 	42    	0.4216  	0.251168   	0.06 	0.7 
16 	39    	0.5032  	0.240611   	0.06 	0.7 
17 	37    	0.5404  	0.231326   	0.06 	0.7 
18 	37    	0.5888  	0.19621    	0.06 	0.7 
19 	37    	0.6108  	0.183443   	0.06 	0.7 
20 	39    	0.6212  	0.173178   	0.06 	0.7 
21 	39    	0.624   	0.165312   	0.14 	0.7 
22 	36    	0.6548  	0.138032   	0.14 	0.7 
23 	34    	0.668   	0.110272   	0.18 	0.7 
24 	40    	0.6784  	0.0854953  	0.34 	0.7 
25 	36    	0.6928  	0.0504     	0.34 	0.7 
26 	29    	0.6928  	0.0504     	0.34 	0.7 
27 	40    	0.6928  	0.0504     	0.34 	0.7 
28 	36    	0.6928  	0.0504     	0.34 	0.7 
29 	39    	0.7     	2.22045e-16	0.7  	0.7 
30 	31    	0.7     	2.22045e-16	0.7  	0.7 
31 	35    	0.7     	2.22045e-16	0.7  	0.7 
32 	43    	0.7     	2.22045e-16	0.7  	0.7 
33 	37    	0.7     	2.22045e-16	0.7  	0.7 
34 	39    	0.7     	2.22045e-16	0.7  	0.7 
35 	37    	0.7     	2.22045e-16	0.7  	0.7 
36 	37    	0.7     	2.22045e-16	0.7  	0.7 
37 	37    	0.7     	2.22045e-16	0.7  	0.7 
38 	39    	0.7     	2.22045e-16	0.7  	0.7 
39 	44    	0.7     	2.22045e-16	0.7  	0.7 
40 	37    	0.7     	2.22045e-16	0.7  	0.7 
41 	38    	0.7     	2.22045e-16	0.7  	0.7 
42 	31    	0.7     	2.22045e-16	0.7  	0.7 
43 	32    	0.7     	2.22045e-16	0.7  	0.7 
44 	33    	0.7     	2.22045e-16	0.7  	0.7 
45 	37    	0.7     	2.22045e-16	0.7  	0.7 
46 	39    	0.7     	2.22045e-16	0.7  	0.7 
47 	44    	0.7     	2.22045e-16	0.7  	0.7 
48 	40    	0.7     	2.22045e-16	0.7  	0.7 
49 	42    	0.7     	2.22045e-16	0.7  	0.7 
50 	35    	0.7     	2.22045e-16	0.7  	0.7 
51 	38    	0.7     	2.22045e-16	0.7  	0.7 
52 	42    	0.7     	2.22045e-16	0.7  	0.7 
53 	31    	0.7     	2.22045e-16	0.7  	0.7 
54 	33    	0.7     	2.22045e-16	0.7  	0.7 
55 	44    	0.7     	2.22045e-16	0.7  	0.7 
56 	44    	0.7     	2.22045e-16	0.7  	0.7 
57 	37    	0.7     	2.22045e-16	0.7  	0.7 
58 	38    	0.7     	2.22045e-16	0.7  	0.7 
59 	37    	0.7     	2.22045e-16	0.7  	0.7 
60 	27    	0.7     	2.22045e-16	0.7  	0.7 
61 	38    	0.7     	2.22045e-16	0.7  	0.7 
62 	36    	0.7     	2.22045e-16	0.7  	0.7 
63 	30    	0.7     	2.22045e-16	0.7  	0.7 
64 	37    	0.7     	2.22045e-16	0.7  	0.7 
65 	40    	0.7     	2.22045e-16	0.7  	0.7 
66 	41    	0.7     	2.22045e-16	0.7  	0.7 
67 	37    	0.7     	2.22045e-16	0.7  	0.7 
68 	38    	0.7     	2.22045e-16	0.7  	0.7 
69 	40    	0.7044  	0.0308     	0.7  	0.92
70 	34    	0.7044  	0.0308     	0.7  	0.92
71 	36    	0.7088  	0.043111   	0.7  	0.92
72 	36    	0.722   	0.066      	0.7  	0.92
73 	42    	0.7264  	0.0714915  	0.7  	0.92
74 	38    	0.7484  	0.0911342  	0.7  	0.92
75 	38    	0.7792  	0.1056     	0.7  	0.92
76 	39    	0.8056  	0.109912   	0.7  	0.92
77 	39    	0.832   	0.107778   	0.7  	0.92
78 	42    	0.8408  	0.1056     	0.7  	0.92
79 	30    	0.8628  	0.0964995  	0.7  	0.92
80 	34    	0.8804  	0.0845212  	0.7  	0.92
81 	37    	0.8848  	0.0806533  	0.7  	0.92
82 	35    	0.898   	0.066      	0.7  	0.92
