gen	nevals	avg   	std        	min  	max 
0  	50    	-340  	473.709    	-1000	0   
1  	39    	-60   	237.487    	-1000	0   
2  	37    	-20   	140        	-1000	0   
3  	39    	-20   	140        	-1000	0   
4  	38    	-20   	140        	-1000	0   
5  	40    	0     	0          	0    	0   
6  	35    	0     	0          	0    	0   
7  	33    	0     	0          	0    	0   
8  	35    	0.0004	0.0028     	0    	0.02
9  	42    	0.0104	0.0672     	0    	0.48
10 	37    	0.012 	0.0671714  	0    	0.48
11 	39    	0.0352	0.112752   	0    	0.48
12 	36    	0.0788	0.162107   	0    	0.48
13 	31    	0.15  	0.21778    	0    	0.7 
14 	39    	0.2092	0.245119   	0    	0.7 
15 	42    	0.2816	0.267338   	0    	0.7 
16 	39    	0.3988	0.282345   	0.02 	0.7 
17 	37    	0.5692	0.224934   	0.02 	0.92
18 	37    	0.6652	0.124952   	0.32 	0.92
19 	37    	0.6968	0.124345   	0.32 	0.92
20 	39    	0.7616	0.116745   	0.48 	0.92
21 	39    	0.8232	0.109205   	0.7  	0.92
22 	36    	0.8584	0.0987798  	0.7  	0.92
23 	34    	0.8892	0.0763371  	0.7  	0.92
24 	40    	0.9024	0.0596845  	0.7  	0.92
25 	36    	0.9112	0.043111   	0.7  	0.92
26 	29    	0.9156	0.0308     	0.7  	0.92
27 	40    	0.9156	0.0308     	0.7  	0.92
28 	36    	0.92  	1.11022e-16	0.92 	0.92
29 	39    	0.92  	1.11022e-16	0.92 	0.92
30 	31    	0.92  	1.11022e-16	0.92 	0.92
31 	35    	0.92  	1.11022e-16	0.92 	0.92
32 	43    	0.92  	1.11022e-16	0.92 	0.92
33 	37    	0.92  	1.11022e-16	0.92 	0.92
34 	39    	0.92  	1.11022e-16	0.92 	0.92
35 	37    	0.92  	1.11022e-16	0.92 	0.92
36 	37    	0.92  	1.11022e-16	0.92 	0.92
37 	37    	0.92  	1.11022e-16	0.92 	0.92
38 	39    	0.92  	1.11022e-16	0.92 	0.92
39 	44    	0.92  	1.11022e-16	0.92 	0.92
40 	37    	0.92  	1.11022e-16	0.92 	0.92
41 	38    	0.92  	1.11022e-16	0.92 	0.92
42 	31    	0.92  	1.11022e-16	0.92 	0.92
43 	32    	0.92  	1.11022e-16	0.92 	0.92
44 	33    	0.92  	1.11022e-16	0.92 	0.92
45 	37    	0.92  	1.11022e-16	0.92 	0.92
46 	39    	0.92  	1.11022e-16	0.92 	0.92
47 	44    	0.92  	1.11022e-16	0.92 	0.92
48 	40    	0.92  	1.11022e-16	0.92 	0.92
49 	42    	0.92  	1.11022e-16	0.92 	0.92
