gen	nevals	avg    	std        	min    	max    
0  	50    	-44.181	686.837    	-1000  	493.832
1  	39    	381.859	350.741    	-1000  	493.832
2  	37    	454.467	208.7      	-1000  	502.264
3  	39    	490.71 	2.6176     	488.364	502.264
4  	38    	491.692	2.81856    	488.586	502.264
5  	40    	492.875	2.92595    	489.513	502.264
6  	35    	495.644	3.45033    	489.513	503.262
7  	33    	498.021	3.8193     	493.832	503.262
8  	35    	500.368	3.05848    	493.832	503.262
9  	42    	501.807	2.23378    	493.832	503.32 
10 	37    	502.67 	0.905379   	498.891	503.645
11 	39    	502.981	0.708766   	498.891	503.645
12 	36    	503.182	0.658087   	498.891	503.645
13 	31    	503.356	0.170575   	502.628	503.645
14 	39    	503.425	0.153816   	503.262	503.645
15 	42    	503.529	0.147752   	503.262	503.645
16 	39    	503.588	0.110878   	503.32 	503.645
17 	37    	503.62 	0.0775671  	503.32 	503.645
18 	37    	503.641	0.0328237  	503.411	503.645
19 	37    	503.645	0          	503.645	503.645
20 	39    	503.645	0          	503.645	503.645
21 	39    	503.645	0          	503.645	503.645
22 	36    	503.645	0          	503.645	503.645
23 	34    	503.645	0          	503.645	503.645
24 	40    	503.706	0.426825   	503.645	506.694
25 	36    	503.706	0.426825   	503.645	506.694
26 	29    	503.706	0.426825   	503.645	506.694
27 	40    	503.767	0.597431   	503.645	506.694
28 	36    	503.91 	0.833825   	503.645	506.694
29 	39    	504.27 	1.20627    	503.645	506.694
30 	31    	504.964	1.44502    	503.645	506.694
31 	35    	505.891	1.28239    	503.645	506.694
32 	43    	506.536	1.32509    	503.645	513.597
33 	37    	507.228	1.87969    	506.385	513.597
34 	39    	507.516	2.24598    	506.385	513.597
35 	37    	508.345	2.95204    	506.385	513.597
36 	37    	509.725	3.43242    	506.385	513.597
37 	37    	511.934	2.95954    	506.385	513.597
38 	39    	512.898	2.08912    	506.385	513.597
39 	44    	513.181	1.63891    	506.694	513.597
40 	37    	513.319	1.35237    	506.694	513.597
41 	38    	513.459	0.966455   	506.694	513.597
42 	31    	513.459	0.966455   	506.694	513.597
43 	32    	513.597	0          	513.597	513.597
44 	33    	513.597	0          	513.597	513.597
45 	37    	513.597	0          	513.597	513.597
46 	39    	513.597	0          	513.597	513.597
47 	44    	513.597	0          	513.597	513.597
48 	40    	513.597	0          	513.597	513.597
49 	42    	513.597	0          	513.597	513.597
50 	35    	513.597	0          	513.597	513.597
51 	38    	513.597	0          	513.597	513.597
52 	42    	513.597	0          	513.597	513.597
53 	31    	513.597	0          	513.597	513.597
54 	33    	513.597	0          	513.597	513.597
55 	44    	513.597	0          	513.597	513.597
56 	44    	513.597	0          	513.597	513.597
57 	37    	513.597	0          	513.597	513.597
58 	38    	513.597	0          	513.597	513.597
59 	37    	513.597	0          	513.597	513.597
60 	27    	513.597	0          	513.597	513.597
61 	38    	513.597	0          	513.597	513.597
62 	36    	513.597	0          	513.597	513.597
63 	30    	513.597	0          	513.597	513.597
64 	37    	513.597	0          	513.597	513.597
65 	40    	513.597	0          	513.597	513.597
