gen	nevals	avg     	std        	min     	max     
0  	50    	-478.485	381.872    	-1000   	-80.0974
1  	39    	-231.036	203.989    	-1000   	-80.0974
2  	37    	-171.839	138.904    	-1000   	-55.3023
3  	39    	-138.727	130.426    	-1000   	-41.0022
4  	38    	-111.337	41.7673    	-208.663	-41.0022
5  	40    	-98.3055	37.4952    	-208.663	-41.0022
6  	35    	-86.0313	28.1141    	-178.184	-41.0022
7  	33    	-72.9678	21.4788    	-134.652	-34.4068
8  	35    	-61.6718	19.1205    	-120.573	-34.4068
9  	42    	-59.2765	19.7347    	-120.573	-34.4068
10 	37    	-55.7218	17.6965    	-99.3748	-34.4068
11 	39    	-50.3041	14.7965    	-84.3016	-34.4068
12 	36    	-47.3888	13.2613    	-84.3016	-34.4068
13 	31    	-43.4939	11.0652    	-84.3016	-34.4068
14 	39    	-42.1076	10.1374    	-84.3016	-34.4068
15 	42    	-41.1877	10.2328    	-84.3016	-34.4068
16 	39    	-38.7424	6.38996    	-59.9673	-34.4068
17 	37    	-37.9117	6.28366    	-59.9673	-34.4068
18 	37    	-36.5726	4.56892    	-55.3023	-34.4068
19 	37    	-35.6354	2.63684    	-43.0744	-34.4068
20 	39    	-35.3716	2.40658    	-43.0744	-34.4068
21 	39    	-35.0664	1.97862    	-41.0022	-34.4068
22 	36    	-34.9345	1.78928    	-41.0022	-34.4068
23 	34    	-34.9345	1.78928    	-41.0022	-34.4068
24 	40    	-34.8026	1.56632    	-41.0022	-34.4068
25 	36    	-34.6706	1.29243    	-41.0022	-34.4068
26 	29    	-34.5387	0.923355   	-41.0022	-34.4068
27 	40    	-34.5239	0.931267   	-41.0022	-33.6657
28 	36    	-34.392 	0.103752   	-34.4068	-33.6657
29 	39    	-34.3624	0.175999   	-34.4068	-33.6657
30 	31    	-34.3327	0.222327   	-34.4068	-33.6657
31 	35    	-34.3031	0.257148   	-34.4068	-33.6657
32 	43    	-34.2883	0.271688   	-34.4068	-33.6657
33 	37    	-34.2438	0.306993   	-34.4068	-33.6657
34 	39    	-34.2141	0.325067   	-34.4068	-33.6657
35 	37    	-34.0659	0.369357   	-34.4068	-33.6657
36 	37    	-33.9824	0.381816   	-34.4068	-33.1958
37 	37    	-33.9137	0.380851   	-34.4068	-33.1958
38 	39    	-33.8841	0.370005   	-34.4068	-33.1958
39 	44    	-33.8544	0.356373   	-34.4068	-33.1958
40 	37    	-33.8154	0.350229   	-34.4068	-33.1958
41 	38    	-33.767 	0.348824   	-34.4068	-33.1958
42 	31    	-33.7037	0.326134   	-34.4068	-33.1958
43 	32    	-33.6162	0.273249   	-34.4068	-33.1958
44 	33    	-33.5826	0.260871   	-34.4068	-33.1958
45 	37    	-33.5262	0.28635    	-34.4068	-33.1958
46 	39    	-33.4792	0.297922   	-34.4068	-33.1958
47 	44    	-33.4604	0.300375   	-34.4068	-33.1958
48 	40    	-33.3986	0.268551   	-34.4068	-33.1958
