gen	nevals	avg     	std        	min     	max     
0  	50    	-518.994	347.787    	-1000   	-177.874
1  	39    	-292.068	183.205    	-1000   	-177.874
2  	37    	-239.84 	112.778    	-1000   	-177.874
3  	39    	-210.25 	26.0855    	-288.324	-177.874
4  	38    	-203.543	24.5879    	-288.324	-176.325
5  	40    	-194.731	25.6844    	-286.517	-119.318
6  	35    	-186.389	24.1126    	-268.509	-119.318
7  	33    	-176.739	24.663     	-268.509	-119.318
8  	35    	-165.643	27.5458    	-268.509	-115.777
9  	42    	-151.959	35.2346    	-200.368	-46.2385
10 	37    	-139.606	37.0536    	-200.368	-46.2385
11 	39    	-127.749	39.8116    	-200.368	-46.2385
12 	36    	-109.221	40.2649    	-200.368	-46.2385
13 	31    	-91.4219	38.3579    	-179.258	-46.2385
14 	39    	-81.5893	36.6959    	-179.258	-42.2661
15 	42    	-74.9197	29.1879    	-147.574	-42.2661
16 	39    	-69.568 	28.8813    	-147.574	-42.2661
17 	37    	-64.3037	27.1179    	-147.574	-35.834 
18 	37    	-59.717 	24.4508    	-147.574	-35.834 
19 	37    	-52.7816	17.1818    	-147.229	-35.834 
20 	39    	-50.9845	12.7374    	-105.421	-35.834 
21 	39    	-50.319 	12.6882    	-105.421	-35.834 
22 	36    	-48.5461	11.6651    	-105.421	-35.834 
23 	34    	-46.9396	11.0004    	-105.421	-34.1148
24 	40    	-45.5152	10.0873    	-105.421	-34.1148
25 	36    	-43.9047	9.68297    	-101.635	-34.1148
26 	29    	-42.0463	9.22068    	-101.635	-34.1148
27 	40    	-41.1429	9.39722    	-101.635	-34.1148
28 	36    	-39.8573	9.572      	-101.635	-33.343 
29 	39    	-39.2569	9.59519    	-101.635	-33.343 
30 	31    	-38.1508	8.54996    	-93.6996	-33.343 
31 	35    	-37.4084	8.55873    	-93.6996	-33.343 
32 	43    	-37.0898	8.59702    	-93.6996	-33.343 
33 	37    	-36.4493	8.50541    	-93.6996	-33.343 
34 	39    	-34.8542	1.95098    	-42.2661	-33.343 
35 	37    	-34.7047	1.96555    	-42.2661	-33.343 
36 	37    	-34.4549	1.69524    	-42.2661	-33.343 
37 	37    	-34.2147	1.30775    	-42.2661	-33.343 
38 	39    	-33.959 	0.662237   	-35.834 	-33.343 
39 	44    	-33.8478	0.625712   	-35.834 	-33.343 
40 	37    	-33.7243	0.63689    	-35.834 	-33.343 
41 	38    	-33.6282	0.556642   	-35.834 	-33.343 
42 	31    	-33.5166	0.435059   	-35.834 	-33.343 
43 	32    	-33.4549	0.39906    	-35.834 	-33.343 
44 	33    	-33.4086	0.362939   	-35.834 	-33.343 
45 	37    	-33.4086	0.362939   	-35.834 	-33.343 
46 	39    	-33.4083	0.362987   	-35.834 	-33.343 
47 	44    	-33.4083	0.362987   	-35.834 	-33.343 
48 	40    	-33.4083	0.362987   	-35.834 	-33.343 
49 	42    	-33.4083	0.362987   	-35.834 	-33.343 
50 	35    	-33.3928	0.348744   	-35.834 	-33.343 
51 	38    	-33.3928	0.348744   	-35.834 	-33.343 
52 	42    	-33.343 	0          	-33.343 	-33.343 
53 	31    	-33.343 	0          	-33.343 	-33.343 
54 	33    	-33.343 	0          	-33.343 	-33.343 
55 	44    	-33.343 	0          	-33.343 	-33.343 
56 	44    	-33.343 	0          	-33.343 	-33.343 
57 	37    	-33.343 	0          	-33.343 	-33.343 
58 	38    	-33.343 	0          	-33.343 	-33.343 
59 	37    	-33.343 	0          	-33.343 	-33.343 
60 	27    	-33.343 	0          	-33.343 	-33.343 
61 	38    	-33.343 	0          	-33.343 	-33.343 
62 	36    	-33.343 	0          	-33.343 	-33.343 
63 	30    	-33.343 	0          	-33.343 	-33.343 
64 	37    	-33.343 	0          	-33.343 	-33.343 
65 	40    	-33.343 	0          	-33.343 	-33.343 
66 	41    	-33.343 	0          	-33.343 	-33.343 
67 	37    	-33.343 	0          	-33.343 	-33.343 
68 	38    	-33.343 	0          	-33.343 	-33.343 
69 	40    	-33.343 	0          	-33.343 	-33.343 
70 	34    	-33.343 	0          	-33.343 	-33.343 
71 	36    	-33.343 	0          	-33.343 	-33.343 
72 	36    	-33.343 	0          	-33.343 	-33.343 
73 	42    	-33.343 	0          	-33.343 	-33.343 
74 	38    	-33.343 	0          	-33.343 	-33.343 
75 	38    	-33.343 	0          	-33.343 	-33.343 
76 	39    	-33.343 	0          	-33.343 	-33.343 
77 	39    	-33.343 	0          	-33.343 	-33.343 
78 	42    	-33.343 	0          	-33.343 	-33.343 
79 	30    	-33.343 	0          	-33.343 	-33.343 
80 	34    	-33.343 	0          	-33.343 	-33.343 
81 	37    	-33.343 	0          	-33.343 	-33.343 
82 	35    	-33.343 	0          	-33.343 	-33.343 
83 	34    	-33.343 	0          	-33.343 	-33.343 
84 	39    	-33.343 	0          	-33.343 	-33.343 
85 	42    	-33.343 	0          	-33.343 	-33.343 
86 	44    	-33.343 	0          	-33.343 	-33.343 
87 	39    	-33.343 	0          	-33.343 	-33.343 
88 	34    	-33.343 	0          	-33.343 	-33.343 
89 	36    	-33.343 	0          	-33.343 	-33.343 
90 	40    	-33.343 	0          	-33.343 	-33.343 
91 	38    	-33.343 	0          	-33.343 	-33.343 
92 	42    	-33.3164	0.185956   	-33.343 	-32.0147
93 	40    	-33.2633	0.315444   	-33.343 	-32.0147
94 	40    	-33.2102	0.398478   	-33.343 	-32.0147
95 	40    	-33.1305	0.486948   	-33.343 	-32.0147
96 	39    	-33.0242	0.567278   	-33.343 	-32.0147
97 	38    	-32.8648	0.637565   	-33.343 	-32.0147
98 	34    	-32.7054	0.663599   	-33.343 	-32.0147
99 	38    	-32.4733	0.666447   	-33.343 	-31.0331
100	39    	-32.367 	0.623834   	-33.343 	-31.0331
101	40    	-32.2677	0.602247   	-33.343 	-31.0331
102	36    	-32.1344	0.523121   	-33.343 	-31.0331
103	40    	-32.0547	0.424885   	-33.343 	-31.0331
104	36    	-31.9776	0.460975   	-33.343 	-30.4694
105	44    	-31.9511	0.417775   	-33.343 	-30.4694
106	35    	-31.9118	0.454466   	-33.343 	-30.4694
107	39    	-31.8268	0.408176   	-32.0147	-30.4694
108	40    	-31.7286	0.465221   	-32.0147	-30.4694
109	34    	-31.6192	0.516406   	-32.0147	-30.4694
110	42    	-31.4817	0.523421   	-32.0147	-30.4694
111	35    	-31.3639	0.500156   	-32.0147	-30.4694
112	37    	-31.2741	0.480393   	-32.0147	-30.4694
113	39    	-31.2545	0.469664   	-32.0147	-30.4694
114	40    	-31.1534	0.436743   	-32.0147	-30.4694
115	40    	-31.0887	0.456373   	-32.0147	-30.4694
116	36    	-30.9734	0.426335   	-32.0147	-30.4694
117	26    	-30.8273	0.322474   	-32.0147	-30.4694
118	41    	-30.7484	0.331296   	-32.0147	-30.4694
119	39    	-30.692 	0.325962   	-32.0147	-30.4694
120	38    	-30.6131	0.301113   	-32.0147	-30.4694
121	35    	-30.568 	0.275994   	-32.0147	-30.4694
122	42    	-30.5454	0.259615   	-32.0147	-30.4694
123	42    	-30.5454	0.259615   	-32.0147	-30.4694
124	31    	-30.5342	0.250264   	-32.0147	-30.4694
125	41    	-30.5229	0.240021   	-32.0147	-30.4694
126	38    	-30.5229	0.240021   	-32.0147	-30.4694
127	38    	-30.5229	0.240021   	-32.0147	-30.4694
128	33    	-30.4807	0.0789116  	-31.0331	-30.4694
129	39    	-30.4807	0.0789116  	-31.0331	-30.4694
130	35    	-30.4694	3.55271e-15	-30.4694	-30.4694
131	32    	-30.4694	3.55271e-15	-30.4694	-30.4694
132	32    	-30.4694	3.55271e-15	-30.4694	-30.4694
133	35    	-30.4694	3.55271e-15	-30.4694	-30.4694
134	41    	-30.4694	3.55271e-15	-30.4694	-30.4694
135	37    	-30.4694	3.55271e-15	-30.4694	-30.4694
136	40    	-30.4694	3.55271e-15	-30.4694	-30.4694
137	36    	-30.4694	3.55271e-15	-30.4694	-30.4694
138	37    	-30.4694	3.55271e-15	-30.4694	-30.4694
139	38    	-30.4694	3.55271e-15	-30.4694	-30.4694
140	39    	-30.4694	3.55271e-15	-30.4694	-30.4694
141	35    	-30.4694	3.55271e-15	-30.4694	-30.4694
142	38    	-30.4694	3.55271e-15	-30.4694	-30.4694
143	37    	-30.4694	3.55271e-15	-30.4694	-30.4694
144	35    	-30.4694	3.55271e-15	-30.4694	-30.4694
145	32    	-30.4694	3.55271e-15	-30.4694	-30.4694
146	35    	-30.4694	3.55271e-15	-30.4694	-30.4694
147	40    	-30.4694	3.55271e-15	-30.4694	-30.4694
148	43    	-30.4694	3.55271e-15	-30.4694	-30.4694
149	38    	-30.4694	3.55271e-15	-30.4694	-30.4694
150	37    	-30.4694	3.55271e-15	-30.4694	-30.4694
151	37    	-30.4694	3.55271e-15	-30.4694	-30.4694
152	36    	-30.4694	3.55271e-15	-30.4694	-30.4694
153	41    	-30.4694	3.55271e-15	-30.4694	-30.4694
154	41    	-30.4694	3.55271e-15	-30.4694	-30.4694
155	39    	-30.4694	3.55271e-15	-30.4694	-30.4694
156	40    	-30.4694	3.55271e-15	-30.4694	-30.4694
157	33    	-30.4694	3.55271e-15	-30.4694	-30.4694
158	37    	-30.4694	3.55271e-15	-30.4694	-30.4694
159	35    	-30.4694	3.55271e-15	-30.4694	-30.4694
160	38    	-30.4694	3.55271e-15	-30.4694	-30.4694
161	37    	-30.4694	3.55271e-15	-30.4694	-30.4694
162	33    	-30.4694	3.55271e-15	-30.4694	-30.4694
163	30    	-30.4694	3.55271e-15	-30.4694	-30.4694
164	37    	-30.4694	3.55271e-15	-30.4694	-30.4694
165	39    	-30.4694	3.55271e-15	-30.4694	-30.4694
166	39    	-30.4692	0.00198378 	-30.4694	-30.4553
167	34    	-30.4692	0.00198378 	-30.4694	-30.4553
168	38    	-30.4692	0.00198378 	-30.4694	-30.4553
169	39    	-30.4692	0.00198378 	-30.4694	-30.4553
170	31    	-30.4683	0.00384418 	-30.4694	-30.4553
171	40    	-30.4683	0.00384418 	-30.4694	-30.4553
172	35    	-30.4677	0.00460465 	-30.4694	-30.4553
173	26    	-30.4666	0.00566794 	-30.4694	-30.4553
174	43    	-30.4658	0.00621538 	-30.4694	-30.4553
175	37    	-30.4643	0.00680152 	-30.4694	-30.4553
176	37    	-30.4629	0.00706221 	-30.4694	-30.4553
177	31    	-30.4609	0.00694178 	-30.4694	-30.4553
178	38    	-30.4592	0.00636224 	-30.4694	-30.4553
179	38    	-30.4581	0.00566794 	-30.4694	-30.4553
180	33    	-30.4567	0.00425095 	-30.4694	-30.4553
181	38    	-30.4561	0.00336515 	-30.4694	-30.4553
182	37    	-30.4556	0.00198378 	-30.4694	-30.4553
183	36    	-30.4556	0.00198378 	-30.4694	-30.4553
184	39    	-30.4553	7.10543e-15	-30.4553	-30.4553
185	36    	-30.4553	7.10543e-15	-30.4553	-30.4553
186	37    	-30.4553	7.10543e-15	-30.4553	-30.4553
187	36    	-30.4553	7.10543e-15	-30.4553	-30.4553
188	43    	-30.4553	7.10543e-15	-30.4553	-30.4553
189	38    	-30.4553	7.10543e-15	-30.4553	-30.4553
190	39    	-30.4553	7.10543e-15	-30.4553	-30.4553
191	39    	-30.4553	7.10543e-15	-30.4553	-30.4553
192	37    	-30.4553	7.10543e-15	-30.4553	-30.4553
193	35    	-30.4553	7.10543e-15	-30.4553	-30.4553
194	39    	-30.4553	7.10543e-15	-30.4553	-30.4553
195	38    	-30.4553	7.10543e-15	-30.4553	-30.4553
196	42    	-30.4553	7.10543e-15	-30.4553	-30.4553
197	37    	-30.4553	7.10543e-15	-30.4553	-30.4553
198	41    	-30.4553	7.10543e-15	-30.4553	-30.4553
199	39    	-30.4553	7.10543e-15	-30.4553	-30.4553
200	33    	-30.4553	7.10543e-15	-30.4553	-30.4553
