gen	nevals	avg    	std        	min    	max    
0  	50    	7615.18	6183.55    	-1000  	12107  
1  	39    	11020.9	3545.11    	-1000  	12205.4
2  	37    	12093.2	44.9491    	12011.4	12205.4
3  	39    	12114.8	37.6029    	12011.5	12205.4
4  	38    	12134.6	40.3186    	12089.7	12205.4
5  	40    	12159.2	43.2113    	12089.7	12205.4
6  	35    	12183.4	36.4873    	12100.9	12205.4
7  	33    	12200.8	18.5034    	12107  	12205.4
8  	35    	12203.4	13.7812    	12107  	12205.4
9  	42    	12203.4	13.7813    	12107  	12205.4
10 	37    	12205.4	1.81899e-12	12205.4	12205.4
11 	39    	12205.4	1.81899e-12	12205.4	12205.4
12 	36    	12205.4	1.81899e-12	12205.4	12205.4
13 	31    	12205.4	1.81899e-12	12205.4	12205.4
14 	39    	12205.4	1.81899e-12	12205.4	12205.4
15 	42    	12205.4	1.81899e-12	12205.4	12205.4
16 	39    	12205.4	1.81899e-12	12205.4	12205.4
17 	37    	12205.4	1.81899e-12	12205.4	12205.4
18 	37    	12205.4	1.81899e-12	12205.4	12205.4
19 	37    	12205.4	0.0318228  	12205.4	12205.6
20 	39    	12205.4	0.0318228  	12205.4	12205.6
21 	39    	12205.4	0.0958726  	12205.4	12206  
22 	36    	12205.4	0.100048   	12205.4	12206  
23 	34    	12205.5	0.160129   	12205.4	12206  
24 	40    	12205.5	0.191916   	12205.4	12206  
25 	36    	12205.6	0.209571   	12205.4	12206  
26 	29    	12205.7	0.2385     	12205.4	12206.1
27 	40    	12205.8	0.216078   	12205.4	12206.1
28 	36    	12205.9	0.190886   	12205.4	12206.1
29 	39    	12206  	0.149375   	12205.4	12206.1
30 	31    	12206  	0.0671904  	12205.6	12206.1
31 	35    	12206  	0.0352231  	12206  	12206.1
32 	43    	12206.1	0.0318605  	12206  	12206.1
33 	37    	12206.1	0.0212877  	12206  	12206.1
34 	39    	12206.1	0.00993426 	12206  	12206.1
35 	37    	12206.1	0.00993426 	12206  	12206.1
36 	37    	12206.1	0.00993426 	12206  	12206.1
37 	37    	12206.1	0.00993426 	12206  	12206.1
38 	39    	12206.1	0.00993426 	12206  	12206.1
39 	44    	12206.1	0          	12206.1	12206.1
40 	37    	12206.1	0          	12206.1	12206.1
41 	38    	12206.1	0          	12206.1	12206.1
42 	31    	12206.1	0          	12206.1	12206.1
43 	32    	12206.1	0          	12206.1	12206.1
44 	33    	12206.1	0.0134388  	12206.1	12206.2
45 	37    	12206.1	0.0227968  	12206.1	12206.2
46 	39    	12206.1	0.0311936  	12206.1	12206.2
47 	44    	12206.1	0.0383967  	12206.1	12206.2
48 	40    	12206.1	0.0431002  	12206.1	12206.2
49 	42    	12206.1	0.0497356  	12206.1	12206.2
50 	35    	12206.1	0.0558619  	12206.1	12206.2
51 	38    	12206.2	0.0608127  	12206.1	12206.2
52 	42    	12206.2	0.0578712  	12206.1	12206.2
53 	31    	12206.2	0.0545506  	12206.1	12206.2
54 	33    	12206.2	0.050149   	12206.1	12206.2
55 	44    	12206.2	0.0489111  	12206.1	12206.2
56 	44    	12206.2	0.0427653  	12206.1	12206.2
57 	37    	12206.2	0.0405249  	12206.1	12206.2
58 	38    	12206.2	0.0405249  	12206.1	12206.2
59 	37    	12206.2	0.0327155  	12206.1	12206.2
60 	27    	12206.2	1.81899e-12	12206.2	12206.2
61 	38    	12206.2	1.81899e-12	12206.2	12206.2
62 	36    	12206.2	1.81899e-12	12206.2	12206.2
63 	30    	12206.2	1.81899e-12	12206.2	12206.2
64 	37    	12206.2	1.81899e-12	12206.2	12206.2
65 	40    	12206.2	1.81899e-12	12206.2	12206.2
66 	41    	12206.2	1.81899e-12	12206.2	12206.2
67 	37    	12206.2	1.81899e-12	12206.2	12206.2
68 	38    	12206.2	1.81899e-12	12206.2	12206.2
69 	40    	12206.2	1.81899e-12	12206.2	12206.2
70 	34    	12206.2	1.81899e-12	12206.2	12206.2
71 	36    	12206.2	1.81899e-12	12206.2	12206.2
72 	36    	12206.2	1.81899e-12	12206.2	12206.2
73 	42    	12206.2	1.81899e-12	12206.2	12206.2
74 	38    	12206.2	1.81899e-12	12206.2	12206.2
75 	38    	12206.2	1.81899e-12	12206.2	12206.2
76 	39    	12206.2	1.81899e-12	12206.2	12206.2
77 	39    	12206.2	1.81899e-12	12206.2	12206.2
78 	42    	12206.2	1.81899e-12	12206.2	12206.2
79 	30    	12206.2	1.81899e-12	12206.2	12206.2
80 	34    	12206.2	1.81899e-12	12206.2	12206.2
81 	37    	12206.2	1.81899e-12	12206.2	12206.2
82 	35    	12206.3	0.445071   	12206.2	12209.4
83 	34    	12206.4	0.754989   	12206.2	12209.4
84 	39    	12206.6	0.953723   	12206.2	12209.4
85 	42    	12206.6	1.03308    	12206.2	12209.4
86 	44    	12206.6	1.03308    	12206.2	12209.4
87 	39    	12206.8	1.16547    	12206.2	12209.4
88 	34    	12207.2	1.4649     	12206.2	12209.7
89 	36    	12207.8	1.59817    	12206.2	12209.7
90 	40    	12208.4	1.52645    	12206.2	12209.7
91 	38    	12208.9	1.24422    	12206.2	12209.7
92 	42    	12209.2	0.9886     	12206.2	12209.7
93 	40    	12209.4	0.795439   	12206.2	12209.7
94 	40    	12209.5	0.666128   	12206.2	12209.7
95 	40    	12209.6	0.482491   	12206.2	12209.7
96 	39    	12209.6	0.481971   	12206.2	12209.7
97 	38    	12209.7	0.0373117  	12209.4	12209.7
98 	34    	12209.7	0.0373117  	12209.4	12209.7
99 	38    	12209.7	0.0133492  	12209.6	12209.7
100	39    	12209.7	0.0133492  	12209.6	12209.7
101	40    	12209.7	0.0133492  	12209.6	12209.7
102	36    	12209.7	0.0133492  	12209.6	12209.7
103	40    	12209.7	0          	12209.7	12209.7
104	36    	12209.7	0          	12209.7	12209.7
105	44    	12209.7	0          	12209.7	12209.7
106	35    	12209.7	0          	12209.7	12209.7
107	39    	12209.7	0          	12209.7	12209.7
108	40    	12209.7	0          	12209.7	12209.7
109	34    	12209.7	0          	12209.7	12209.7
110	42    	12209.7	0          	12209.7	12209.7
111	35    	12209.7	0          	12209.7	12209.7
112	37    	12209.7	0          	12209.7	12209.7
113	39    	12209.7	0          	12209.7	12209.7
114	40    	12209.7	0          	12209.7	12209.7
115	40    	12209.7	0          	12209.7	12209.7
116	36    	12209.7	0          	12209.7	12209.7
117	26    	12209.7	0          	12209.7	12209.7
118	41    	12209.7	0          	12209.7	12209.7
119	39    	12209.7	0          	12209.7	12209.7
120	38    	12209.7	0          	12209.7	12209.7
121	35    	12209.7	0          	12209.7	12209.7
122	42    	12209.7	0          	12209.7	12209.7
123	42    	12209.7	0          	12209.7	12209.7
124	31    	12209.7	0          	12209.7	12209.7
125	41    	12209.7	0          	12209.7	12209.7
126	38    	12209.7	0          	12209.7	12209.7
127	38    	12209.7	0          	12209.7	12209.7
128	33    	12209.7	0          	12209.7	12209.7
129	39    	12209.7	0          	12209.7	12209.7
130	35    	12209.7	0          	12209.7	12209.7
131	32    	12209.7	0          	12209.7	12209.7
132	32    	12209.7	0          	12209.7	12209.7
133	35    	12209.7	0          	12209.7	12209.7
134	41    	12209.7	0          	12209.7	12209.7
135	37    	12209.7	0          	12209.7	12209.7
136	40    	12209.7	0          	12209.7	12209.7
137	36    	12209.7	0          	12209.7	12209.7
138	37    	12209.7	0          	12209.7	12209.7
139	38    	12209.7	0          	12209.7	12209.7
140	39    	12209.7	0          	12209.7	12209.7
141	35    	12209.7	0          	12209.7	12209.7
142	38    	12209.7	0          	12209.7	12209.7
143	37    	12209.7	0.000432172	12209.7	12209.7
144	35    	12209.7	0.000432172	12209.7	12209.7
145	32    	12209.7	0.000733108	12209.7	12209.7
146	35    	12209.7	0.000733108	12209.7	12209.7
147	40    	12209.7	0.000926083	12209.7	12209.7
148	43    	12209.7	0.00113169 	12209.7	12209.7
149	38    	12209.7	0.00149836 	12209.7	12209.7
150	37    	12209.7	0.00153232 	12209.7	12209.7
151	37    	12209.7	0.00141461 	12209.7	12209.7
152	36    	12209.7	0.00113169 	12209.7	12209.7
153	41    	12209.7	0.000837467	12209.7	12209.7
154	41    	12209.7	0.000432172	12209.7	12209.7
155	39    	12209.7	0.000432172	12209.7	12209.7
156	40    	12209.7	0.0700084  	12209.7	12210.2
157	33    	12209.7	0.118757   	12209.7	12210.2
158	37    	12209.7	0.162477   	12209.7	12210.2
159	35    	12209.8	0.219312   	12209.7	12210.2
160	38    	12209.9	0.248187   	12209.7	12210.2
161	37    	12210  	0.246773   	12209.7	12210.2
162	33    	12210  	0.219312   	12209.7	12210.2
163	30    	12210.1	0.192409   	12209.7	12210.5
164	37    	12210.1	0.199173   	12209.7	12210.5
165	39    	12210.2	0.163782   	12209.7	12210.5
166	39    	12210.2	0.160586   	12209.7	12210.5
167	34    	12210.3	0.208646   	12209.7	12210.5
168	38    	12210.4	0.169863   	12210.2	12210.5
169	39    	12210.4	0.150961   	12210.2	12210.5
170	31    	12210.5	0.119419   	12210.2	12210.5
171	40    	12210.5	0.0817336  	12210.2	12210.5
172	35    	12210.5	0.0481825  	12210.2	12210.5
173	26    	12210.5	1.81899e-12	12210.5	12210.5
174	43    	12210.5	1.81899e-12	12210.5	12210.5
175	37    	12210.5	1.81899e-12	12210.5	12210.5
176	37    	12210.5	1.81899e-12	12210.5	12210.5
177	31    	12210.5	1.81899e-12	12210.5	12210.5
178	38    	12210.5	1.81899e-12	12210.5	12210.5
179	38    	12210.5	1.81899e-12	12210.5	12210.5
180	33    	12210.5	1.81899e-12	12210.5	12210.5
181	38    	12210.5	1.81899e-12	12210.5	12210.5
182	37    	12210.5	1.81899e-12	12210.5	12210.5
183	36    	12210.5	1.81899e-12	12210.5	12210.5
184	39    	12210.5	1.81899e-12	12210.5	12210.5
185	36    	12210.5	1.81899e-12	12210.5	12210.5
186	37    	12210.5	1.81899e-12	12210.5	12210.5
187	36    	12210.5	1.81899e-12	12210.5	12210.5
188	43    	12210.5	1.81899e-12	12210.5	12210.5
189	38    	12210.5	1.81899e-12	12210.5	12210.5
190	39    	12210.5	1.81899e-12	12210.5	12210.5
191	39    	12210.5	1.81899e-12	12210.5	12210.5
192	37    	12210.5	1.81899e-12	12210.5	12210.5
