__name__: __main__
__doc__: None
__package__: None
__loader__: <_frozen_importlib_external.SourceFileLoader object at 0x7f78928954c0>
__spec__: None
__annotations__: {}
__builtins__: <module 'builtins' (built-in)>
__file__: /home/vlaffo/Desktop/ge_q_dts/simple_test_orthogonal.py
__cached__: None
os: <module 'os' from '/usr/lib/python3.8/os.py'>
randrange: <bound method Random.randrange of <random.Random object at 0x1863270>>
gym: <module 'gym' from '/home/vlaffo/Desktop/ge_q_dts/venv/lib/python3.8/site-packages/gym/__init__.py'>
json: <module 'json' from '/usr/lib/python3.8/json/__init__.py'>
string: <module 'string' from '/usr/lib/python3.8/string.py'>
datetime: <module 'datetime' from '/usr/lib/python3.8/datetime.py'>
argparse: <module 'argparse' from '/usr/lib/python3.8/argparse.py'>
subprocess: <module 'subprocess' from '/usr/lib/python3.8/subprocess.py'>
np: <module 'numpy' from '/home/vlaffo/Desktop/ge_q_dts/venv/lib/python3.8/site-packages/numpy/__init__.py'>
time: <built-in function time>
sleep: <built-in function sleep>
random: <module 'numpy.random' from '/home/vlaffo/Desktop/ge_q_dts/venv/lib/python3.8/site-packages/numpy/random/__init__.py'>
EpsGreedyLeaf: <class 'dt.decision_tree.EpsGreedyLeaf'>
PythonDT: <class 'dt.python_decision_tree.PythonDT'>
RandomlyInitializedEpsGreedyLeaf: <class 'dt.decision_tree.RandomlyInitializedEpsGreedyLeaf'>
GrammaticalEvolutionTranslator: <class 'grammatical_evolution.GrammaticalEvolutionTranslator'>
grammatical_evolution: <function grammatical_evolution at 0x7f7870b95430>
differential_evolution: <function differential_evolution at 0x7f7870b955e0>
string_to_dict: <function string_to_dict at 0x7f7892696820>
parser: ArgumentParser(prog='simple_test_orthogonal.py', usage=None, description=None, formatter_class=<class 'argparse.HelpFormatter'>, conflict_handler='error', add_help=True)
date: 2023-05-03_15-34-56
logdir: logs/gym/2023-05-03_15-34-56_olwozrpl
logfile: logs/gym/2023-05-03_15-34-56_olwozrpl/log.txt
args: Namespace(crossover={'function': 'tools.cxOnePoint'}, cxp=0.5, df=0.9, environment_name='gym_examples:gym_examples/GridWorld-v0', episode_len=100, episodes=50, eps=0.05, generations=200, genotype_len=100, input_space=3, jobs=1, lambda_=50, learning_rate='auto', low=-10, mp=0.5, mutation={'function': 'tools.mutUniformInt', 'low': 0, 'up': 40000, 'indpb': 0.1}, n_actions=6, seed=5, selection={'function': 'tools.selTournament', 'tournsize': 2}, types='#0,5,1,1;0,5,1,1;0,5,1,1', up=10)
best: None
input_space_size: 3
lr: auto
CLeaf: <class '__main__.CLeaf'>
grammar: {'bt': ['<if>'], 'if': ['if <condition>:{<action>}else:{<action>}'], 'condition': ['_in_0<comp_op><const_type_0>', '_in_1<comp_op><const_type_1>', '_in_2<comp_op><const_type_2>'], 'action': ['out=_leaf;leaf="_leaf"', '<if>'], 'comp_op': [' < ', ' > '], 'const_type_0': ['0.0', '1.0', '2.0', '3.0', '4.0'], 'const_type_1': ['0.0', '1.0', '2.0', '3.0', '4.0'], 'const_type_2': ['0.0', '1.0', '2.0', '3.0', '4.0']}
types: 0,5,1,1;0,5,1,1;0,5,1,1
index: 2
type_: 0,5,1,1
rng: ['0', '5', '1', '1']
start: 0
stop: 5
step: 1
divisor: 1
consts_: ['0.0', '1.0', '2.0', '3.0', '4.0']
f: <_io.TextIOWrapper name='logs/gym/2023-05-03_15-34-56_olwozrpl/log.txt' mode='a' encoding='UTF-8'>
[2023-05-03 15:34:56.601088] New best at generation 0 with fitness (-1000.0,)
[16740, 23496, 34736, 1900, 30515, 16321, 3398, 10279, 7419, 24365, 30740, 16159, 24953, 35635, 6682, 37613, 16340, 859, 14203, 26748, 18316, 11932, 25522, 10459, 4714, 9094, 29152, 8303, 8666, 116, 348, 13726, 14121, 10869, 10910, 18959, 20555, 13034, 35338, 13420, 11905, 12902, 25114, 19581, 1413, 23670, 27191, 10876, 9548, 17289, 4268, 21748, 19749, 39525, 38413, 221, 39058, 22144, 4326, 20313, 23288, 20058, 31506, 20695, 12109, 31537, 30968, 11542, 3735, 16789, 1498, 23438, 26495, 1184, 35983, 27448, 23998, 24665, 37913, 594, 29676, 3062, 11856, 12879, 7800, 16127, 30291, 22569, 33586, 23251, 34386, 16442, 30333, 7081, 38650, 24071, 19389, 2400, 28375, 5975]
Leaves
{'leaf_0': -5.56, 7.41, -5.87, 8.37, -0.23, 2.23, 'leaf_1': 5.32, 0.37, -4.06, -6.25, -8.39, 4.77, 'leaf_2': -1.17, -6.83, 7.60, -4.52, -1.72, -4.08, 'leaf_3': 2.58, 1.60, 2.00, -4.68, -4.31, -4.93, 'leaf_4': -3.45, -7.12, -6.69, 9.28, 9.20, -6.23, 'leaf_5': -9.51, -5.91, 4.00, 5.59, -9.54, 1.55}
gen	nevals	avg  	std	min  	max  
0  	50    	-1000	0  	-1000	-1000
1  	39    	-1000	0  	-1000	-1000
2  	37    	-1000	0  	-1000	-1000
3  	39    	-1000	0  	-1000	-1000
4  	38    	-1000	0  	-1000	-1000
5  	40    	-1000	0  	-1000	-1000
6  	35    	-1000	0  	-1000	-1000
7  	33    	-1000	0  	-1000	-1000
8  	35    	-1000	0  	-1000	-1000
9  	42    	-1000	0  	-1000	-1000
10 	37    	-1000	0  	-1000	-1000
11 	39    	-1000	0  	-1000	-1000
12 	36    	-1000	0  	-1000	-1000
13 	31    	-1000	0  	-1000	-1000
14 	39    	-1000	0  	-1000	-1000
15 	42    	-1000	0  	-1000	-1000
16 	39    	-1000	0  	-1000	-1000
17 	37    	-1000	0  	-1000	-1000
18 	37    	-1000	0  	-1000	-1000
19 	37    	-1000	0  	-1000	-1000
20 	39    	-1000	0  	-1000	-1000
21 	39    	-1000	0  	-1000	-1000
22 	36    	-1000	0  	-1000	-1000
23 	34    	-1000	0  	-1000	-1000
24 	40    	-1000	0  	-1000	-1000
25 	36    	-1000	0  	-1000	-1000
26 	29    	-1000	0  	-1000	-1000
27 	40    	-1000	0  	-1000	-1000
28 	36    	-1000	0  	-1000	-1000
29 	39    	-1000	0  	-1000	-1000
30 	31    	-1000	0  	-1000	-1000
31 	35    	-1000	0  	-1000	-1000
32 	43    	-1000	0  	-1000	-1000
33 	37    	-1000	0  	-1000	-1000
34 	39    	-1000	0  	-1000	-1000
35 	37    	-1000	0  	-1000	-1000
36 	37    	-1000	0  	-1000	-1000
37 	37    	-1000	0  	-1000	-1000
38 	39    	-1000	0  	-1000	-1000
39 	44    	-1000	0  	-1000	-1000
40 	37    	-1000	0  	-1000	-1000
41 	38    	-1000	0  	-1000	-1000
42 	31    	-1000	0  	-1000	-1000
43 	32    	-1000	0  	-1000	-1000
44 	33    	-1000	0  	-1000	-1000
45 	37    	-1000	0  	-1000	-1000
46 	39    	-1000	0  	-1000	-1000
47 	44    	-1000	0  	-1000	-1000
48 	40    	-1000	0  	-1000	-1000
49 	42    	-1000	0  	-1000	-1000
50 	35    	-1000	0  	-1000	-1000
51 	38    	-1000	0  	-1000	-1000
52 	42    	-1000	0  	-1000	-1000
53 	31    	-1000	0  	-1000	-1000
54 	33    	-1000	0  	-1000	-1000
55 	44    	-1000	0  	-1000	-1000
56 	44    	-1000	0  	-1000	-1000
57 	37    	-1000	0  	-1000	-1000
58 	38    	-1000	0  	-1000	-1000
59 	37    	-1000	0  	-1000	-1000
60 	27    	-1000	0  	-1000	-1000
61 	38    	-1000	0  	-1000	-1000
62 	36    	-1000	0  	-1000	-1000
63 	30    	-1000	0  	-1000	-1000
64 	37    	-1000	0  	-1000	-1000
65 	40    	-1000	0  	-1000	-1000
66 	41    	-1000	0  	-1000	-1000
67 	37    	-1000	0  	-1000	-1000
68 	38    	-1000	0  	-1000	-1000
69 	40    	-1000	0  	-1000	-1000
70 	34    	-1000	0  	-1000	-1000
71 	36    	-1000	0  	-1000	-1000
72 	36    	-1000	0  	-1000	-1000
73 	42    	-1000	0  	-1000	-1000
74 	38    	-1000	0  	-1000	-1000
75 	38    	-1000	0  	-1000	-1000
76 	39    	-1000	0  	-1000	-1000
77 	39    	-1000	0  	-1000	-1000
78 	42    	-1000	0  	-1000	-1000
79 	30    	-1000	0  	-1000	-1000
80 	34    	-1000	0  	-1000	-1000
81 	37    	-1000	0  	-1000	-1000
82 	35    	-1000	0  	-1000	-1000
83 	34    	-1000	0  	-1000	-1000
84 	39    	-1000	0  	-1000	-1000
85 	42    	-1000	0  	-1000	-1000
86 	44    	-1000	0  	-1000	-1000
87 	39    	-1000	0  	-1000	-1000
88 	34    	-1000	0  	-1000	-1000
89 	36    	-1000	0  	-1000	-1000
90 	40    	-1000	0  	-1000	-1000
91 	38    	-1000	0  	-1000	-1000
92 	42    	-1000	0  	-1000	-1000
93 	40    	-1000	0  	-1000	-1000
94 	40    	-1000	0  	-1000	-1000
95 	40    	-1000	0  	-1000	-1000
96 	39    	-1000	0  	-1000	-1000
97 	38    	-1000	0  	-1000	-1000
98 	34    	-1000	0  	-1000	-1000
99 	38    	-1000	0  	-1000	-1000
100	39    	-1000	0  	-1000	-1000
101	40    	-1000	0  	-1000	-1000
102	36    	-1000	0  	-1000	-1000
103	40    	-1000	0  	-1000	-1000
104	36    	-1000	0  	-1000	-1000
105	44    	-1000	0  	-1000	-1000
106	35    	-1000	0  	-1000	-1000
107	39    	-1000	0  	-1000	-1000
108	40    	-1000	0  	-1000	-1000
109	34    	-1000	0  	-1000	-1000
110	42    	-1000	0  	-1000	-1000
111	35    	-1000	0  	-1000	-1000
112	37    	-1000	0  	-1000	-1000
113	39    	-1000	0  	-1000	-1000
114	40    	-1000	0  	-1000	-1000
